"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.547250000E-1,-6.971740127E-1,-3.100262489E-3,-2.357954085E-1
1.647040000E-1,-6.004785895E-1,2.479288913E-2,-2.622794807E-1
1.746830000E-1,-5.077960491E-1,1.430269610E-2,-2.894935310E-1
1.846930000E-1,-3.863442242E-1,5.887107458E-3,-3.183230460E-1
1.946720000E-1,-2.718126476E-1,8.230283111E-2,-3.617884219E-1
2.046510000E-1,-2.323347330E-1,1.892431229E-1,-4.078890681E-1
2.146310000E-1,-2.519633770E-1,2.367486358E-1,-4.282234907E-1
2.246100000E-1,-2.759885490E-1,1.965700537E-1,-4.276173711E-1
2.345890000E-1,-2.687228620E-1,1.294756532E-1,-4.475435317E-1
2.445241250E-1,-2.558419406E-1,7.434024662E-2,-4.646151960E-1
2.545341250E-1,-2.918583155E-1,2.036093362E-2,-4.283274114E-1
2.645131250E-1,-3.865345120E-1,-4.476906732E-2,-3.658080995E-1
2.744931250E-1,-5.184330344E-1,-9.403692186E-2,-3.342291117E-1
2.844721250E-1,-6.963617802E-1,-1.593307108E-1,-3.768056035E-1
2.944511250E-1,-8.478367329E-1,-3.133556247E-1,-5.236365795E-1
3.044301250E-1,-8.207776546E-1,-5.323358774E-1,-7.842527628E-1
3.144101250E-1,-5.399336219E-1,-8.346567750E-1,-1.078344584E0
3.244191250E-1,-1.208953783E-1,-1.000716090E0,-1.253169894E0
3.343991250E-1,2.428922504E-1,-9.910739064E-1,-1.253337741E0
3.443781250E-1,2.832708359E-1,-8.293619752E-1,-1.092667937E0
3.543571250E-1,9.547456354E-2,-9.153068066E-1,-9.660741687E-1
3.643361250E-1,-2.161736041E-1,-1.178743482E0,-8.982900977E-1
3.743161250E-1,-5.233557820E-1,-1.566244245E0,-9.234900475E-1
3.842951250E-1,-6.351355910E-1,-1.903455257E0,-9.137777686E-1
3.943051250E-1,-5.341382027E-1,-2.153120756E0,-7.229818702E-1
4.042841250E-1,-3.315685391E-1,-2.155919075E0,-4.403479993E-1
4.142631250E-1,-1.623383164E-1,-1.901170850E0,-1.410133094E-1
4.242421250E-1,-1.174496561E-1,-1.596109748E0,6.424449384E-2
4.342221250E-1,-3.422269523E-1,-1.806960344E0,3.635999560E-1
4.442011250E-1,-7.204189897E-1,-2.071953773E0,1.129364491E0
4.541801250E-1,-8.407417536E-1,-2.146390200E0,1.644155502E0
4.641901250E-1,-7.555562854E-1,-2.528473377E0,1.973833799E0
4.741691250E-1,-6.090022326E-1,-2.613583803E0,2.177169800E0
4.841481250E-1,-4.434963763E-1,-2.348135948E0,2.170123816E0
4.941281250E-1,-3.316763937E-1,-2.029072523E0,1.970434308E0
5.041071250E-1,-3.297658265E-1,-1.753112316E0,1.731163383E0
5.140861250E-1,-4.831979871E-1,-1.422566533E0,1.407468677E0
5.240651250E-1,-7.747273445E-1,-1.219563603E0,9.838732481E-1
5.340751250E-1,-1.116592050E0,-1.258610010E0,5.701971650E-1
5.440541250E-1,-1.335111856E0,-1.204459906E0,3.140141070E-1
5.540341250E-1,-1.397553444E0,-1.233637333E0,3.833935261E-1
5.640131250E-1,-1.347754240E0,-1.389142513E0,6.193791628E-1
5.739921250E-1,-1.231886983E0,-1.494419336E0,7.129580379E-1
5.839711250E-1,-1.146614194E0,-1.596173644E0,6.138037443E-1
5.939511250E-1,-1.090018868E0,-1.851597190E0,5.158035159E-1
6.039601250E-1,-1.008537054E0,-2.119858265E0,5.942857862E-1
6.139401250E-1,-7.894710898E-1,-2.455653429E0,8.403820395E-1
6.239191250E-1,-3.713883758E-1,-2.934227467E0,1.091142893E0
6.338981250E-1,1.705299467E-1,-3.425235510E0,1.256414652E0
6.438771250E-1,6.311827898E-1,-3.875862122E0,1.340120435E0
6.538571250E-1,8.913248777E-1,-4.393257618E0,1.532080173E0
6.638361250E-1,8.981716037E-1,-5.026042461E0,1.883513570E0
6.738461250E-1,7.664962411E-1,-5.724184990E0,2.196125269E0
6.838251250E-1,6.827585101E-1,-6.423875809E0,2.434247732E0
6.938041250E-1,8.223375678E-1,-6.747167587E0,2.724201202E0
7.037831250E-1,1.143763423E0,-6.697288513E0,2.903092623E0
7.137631250E-1,1.537970304E0,-6.399200439E0,2.956948996E0
7.237421250E-1,1.823477983E0,-5.862279415E0,2.900326252E0
7.337211250E-1,1.777605534E0,-5.370819569E0,2.711544275E0
7.437311250E-1,1.460361838E0,-4.746054649E0,2.583426476E0
7.537101250E-1,1.029767990E0,-4.023212910E0,2.594152451E0
7.636891250E-1,7.417738438E-1,-3.767252922E0,2.562930584E0
7.736691250E-1,9.351569414E-1,-3.700939894E0,2.289154768E0
7.836481250E-1,1.650722265E0,-3.950932503E0,2.033104420E0
7.936271250E-1,2.696980953E0,-4.445434093E0,1.865941048E0
8.036061250E-1,3.591803074E0,-4.750765324E0,1.827490091E0
8.136161250E-1,3.877853394E0,-4.860552311E0,1.915665388E0
8.235951250E-1,3.784922123E0,-4.602614880E0,1.968733191E0
8.335751250E-1,3.661850691E0,-4.428221226E0,1.835739374E0
8.435541250E-1,3.689229488E0,-4.796914577E0,1.585215569E0
8.535331250E-1,3.834654808E0,-4.945457458E0,1.340195894E0
8.635121250E-1,3.783341408E0,-4.401543140E0,1.194851756E0
8.734921250E-1,3.462388992E0,-3.486487389E0,1.071655512E0
8.835011250E-1,3.155262709E0,-2.781126976E0,8.358266950E-1
8.934811250E-1,3.099793434E0,-2.562350273E0,6.269333363E-1
9.034601250E-1,3.284762859E0,-2.786528349E0,5.506119132E-1
9.134391250E-1,3.580185890E0,-3.197652578E0,5.465170145E-1
9.234181250E-1,3.837553501E0,-3.463062525E0,5.514084101E-1
9.333981250E-1,4.036144257E0,-3.580604792E0,4.757114351E-1
9.433771250E-1,4.191337585E0,-3.581504822E0,2.998991311E-1
9.533871250E-1,4.196033478E0,-3.461029768E0,1.296074986E-1
9.633661250E-1,4.078832150E0,-3.192740917E0,-1.811084896E-2
9.733451250E-1,3.898029804E0,-2.974583626E0,-1.690118015E-1
9.833241250E-1,3.663559675E0,-2.639743567E0,-2.666462064E-1
9.933041250E-1,3.480807543E0,-2.455588102E0,-2.413527668E-1
1.003283125E0,3.463528633E0,-2.478028297E0,-2.082858831E-1
1.013293125E0,3.504650354E0,-2.590489149E0,-2.125655562E-1
1.023272125E0,3.436615467E0,-2.877028942E0,-2.304351032E-1
1.033251125E0,3.309325457E0,-3.464956522E0,-2.085552812E-1
1.043230125E0,3.078119993E0,-3.451066971E0,-2.348318845E-1
1.053210125E0,2.602575064E0,-2.903830528E0,-4.099206328E-1
1.063189125E0,1.965083003E0,-2.102407217E0,-6.276218295E-1
1.073168125E0,1.407969832E0,-1.577676892E0,-6.391976476E-1
1.083178125E0,1.001734138E0,-1.614560843E0,-5.686501861E-1
1.093157125E0,7.703883648E-1,-1.834444523E0,-4.643159807E-1
1.103136125E0,6.837488413E-1,-2.062357187E0,-4.899193347E-1
1.113116125E0,6.567803025E-1,-1.809758306E0,-6.789864898E-1
1.123095125E0,5.819273591E-1,-1.343318939E0,-6.839122176E-1
1.133074125E0,5.811746716E-1,-1.180059910E0,-3.485542238E-1
1.143053125E0,7.418136001E-1,-1.471559882E0,-3.020395897E-2
1.153063125E0,8.538622856E-1,-1.725685477E0,1.757012755E-1
1.163042125E0,1.057946444E0,-1.653749228E0,4.304976463E-1
1.173022125E0,1.165117025E0,-1.354914069E0,5.788087845E-1
1.183001125E0,1.039235592E0,-1.050904989E0,3.955918550E-1
1.192980125E0,7.669171095E-1,-7.752321362E-1,2.045119703E-1
1.202959125E0,6.515678763E-1,-9.115220308E-1,1.256480515E-1
1.212939125E0,6.532266736E-1,-1.209079862E0,2.957872152E-1
1.222948125E0,6.293242574E-1,-1.260985732E0,4.241372049E-1
1.232928125E0,6.903181076E-1,-1.243993521E0,4.426342845E-1
1.242907125E0,6.975360513E-1,-1.097453594E0,3.941588998E-1
1.252872292E0,1.026939869E0,-1.222522497E0,5.378254652E-1
1.262851292E0,1.407662749E0,-1.402163625E0,5.188312531E-1
1.272831292E0,1.640520215E0,-1.233136415E0,6.890777349E-1
1.282810292E0,1.930449009E0,-1.640369773E0,3.488200009E-1
1.292820292E0,1.728573442E0,-1.525923491E0,1.895475835E-1
1.302799292E0,1.354660511E0,-1.614889145E0,-1.217783466E-1
1.312778292E0,1.155357242E0,-1.231302023E0,-4.376716912E-2
1.322757292E0,1.321238875E0,-1.112470984E0,3.576280922E-2
1.332737292E0,1.404648542E0,-1.371893764E0,2.857048512E-1
1.342716292E0,1.594142795E0,-1.436190128E0,2.922661006E-1
1.352695292E0,1.655025959E0,-1.638137817E0,4.884038866E-1
1.362705292E0,1.835950136E0,-1.699219823E0,5.386433601E-1
1.372684292E0,1.851380229E0,-1.518210888E0,5.390780568E-1
1.382663292E0,1.762054324E0,-8.520582914E-1,6.918194294E-1
1.392643292E0,1.756529808E0,-5.335180163E-1,7.841531038E-1
1.402622292E0,1.672911644E0,-1.897563487E-1,6.998145580E-1
1.412601292E0,1.263220310E0,-1.503624301E-2,5.078178048E-1
1.422580292E0,1.417166471E0,2.661399916E-2,5.946927667E-1
1.432590292E0,1.590931416E0,-6.405651569E-2,5.678310394E-1
1.442569292E0,1.633898854E0,-3.491492569E-1,6.735388637E-1
1.452549292E0,1.567643523E0,-5.944647193E-1,7.043579221E-1
1.462528292E0,1.429412127E0,-8.806762099E-1,8.821572065E-1
1.472507292E0,8.536210060E-1,-7.725348473E-1,7.315202951E-1
1.482486292E0,1.654070258E0,-7.932283878E-1,1.159789324E0
1.492466292E0,1.617569327E0,-7.539092302E-1,8.530867100E-1
1.502475292E0,8.652293086E-1,-9.748283029E-1,5.798205137E-1
1.512455292E0,1.330244303E0,-8.157960773E-1,1.282113433E0
1.522434292E0,1.829856038E0,-4.342341051E-2,1.152483821E0
1.532413292E0,1.461304426E0,5.404946804E-1,1.147193193E0
1.542392292E0,1.445064545E0,9.675083160E-1,1.073349833E0
1.552372292E0,1.142284751E0,1.095096111E0,1.045054197E0
1.562351292E0,8.342103362E-1,1.075113416E0,1.093505859E0
1.572361292E0,8.228627443E-1,8.753278255E-1,1.537201405E0
1.582340292E0,9.126802683E-1,6.437411904E-1,1.774839044E0
1.592319292E0,8.818931580E-1,4.548817575E-1,1.689819574E0
1.602298292E0,3.652282059E-1,4.770632386E-1,1.461218834E0
1.612278292E0,-8.955999464E-2,2.647895515E-1,1.343756557E0
1.622257292E0,-2.775908709E-1,1.030080300E-2,1.267156601E0
1.632236292E0,-2.340694070E-1,-4.105017483E-1,1.278380752E0
1.642246292E0,-1.239349246E-1,-9.065927267E-1,1.259620667E0
1.652225292E0,-8.069548756E-2,-1.218428373E0,1.212737083E0
1.662204292E0,-8.691290766E-2,-1.075030684E0,1.084172249E0
1.672184292E0,-2.253304794E-2,-8.972283602E-1,8.519248962E-1
1.682163292E0,6.318371743E-2,-7.826612592E-1,6.260794997E-1
1.692142292E0,1.889219582E-1,-6.345440745E-1,4.792539179E-1
1.702152292E0,2.865180075E-1,-5.128335953E-1,3.593530953E-1
1.712131292E0,3.470128775E-1,-4.655623138E-1,2.552462220E-1
