"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.317929840E0,6.730304260E0,7.093748474E0
1.003099995E-2,-2.394121399E0,6.609355774E0,7.124584351E0
2.006199997E-2,-2.254461823E0,6.354585571E0,6.804400177E0
3.009299998E-2,-2.026785278E0,6.145470428E0,6.192921753E0
4.012399999E-2,-1.973496094E0,6.055208130E0,6.084247742E0
5.015500000E-2,-2.128723297E0,5.946983185E0,6.415957947E0
6.018699997E-2,-2.141596527E0,5.882617035E0,6.609954529E0
7.021799998E-2,-2.106419678E0,5.846242676E0,6.668782196E0
8.024899999E-2,-1.995650024E0,5.834566956E0,6.641389160E0
9.028000000E-2,-1.843416595E0,5.837710419E0,6.683900757E0
1.003110000E-1,-1.649420013E0,5.748645630E0,6.786287842E0
1.103420000E-1,-1.373843079E0,5.544619904E0,6.976392517E0
1.203730000E-1,-1.164877625E0,5.238506470E0,7.116950226E0
1.304040000E-1,-1.180594940E0,5.150040436E0,7.076234894E0
1.404350000E-1,-1.271605682E0,5.285209351E0,6.750811615E0
1.504660000E-1,-1.349743195E0,5.527405701E0,6.450386353E0
1.604970000E-1,-1.386267242E0,5.731581116E0,6.363417206E0
1.705280000E-1,-1.495689697E0,5.770500183E0,6.478078766E0
1.805590000E-1,-1.759441223E0,5.789660339E0,6.833290100E0
1.905910000E-1,-1.973346405E0,5.919141083E0,7.235803070E0
2.006220000E-1,-2.207609253E0,5.988297272E0,7.494764557E0
2.106530000E-1,-2.363584900E0,5.934109955E0,7.808961182E0
2.206840000E-1,-2.318528595E0,5.638624420E0,8.205935669E0
2.307150000E-1,-2.135459290E0,5.241949310E0,8.558602295E0
2.407460000E-1,-1.926344147E0,4.923711090E0,8.575367432E0
2.507770000E-1,-1.877994690E0,4.896018677E0,8.337212677E0
2.608080000E-1,-2.248623962E0,5.112318878E0,7.970475311E0
2.708390000E-1,-2.602637787E0,5.565875702E0,7.824229431E0
2.808700000E-1,-2.672243042E0,5.727539520E0,7.702981567E0
2.909010000E-1,-2.636617126E0,5.421276398E0,7.780670013E0
3.009320000E-1,-2.613864441E0,5.089266815E0,8.352031860E0
3.109630000E-1,-2.899021454E0,4.759203186E0,8.728798370E0
3.209940000E-1,-3.262016602E0,4.734055481E0,8.745862885E0
3.310260000E-1,-3.396586761E0,4.909490662E0,8.617429962E0
3.410570000E-1,-3.180735626E0,4.955295410E0,8.550818481E0
3.510880000E-1,-2.937491455E0,4.814737701E0,8.582103424E0
3.611190000E-1,-2.774330750E0,4.249363403E0,8.616382141E0
3.711500000E-1,-2.799029388E0,3.887865143E0,8.426726532E0
3.811810000E-1,-2.815195770E0,4.105811920E0,8.205486603E0
3.912120000E-1,-2.629132690E0,4.345014496E0,8.002059631E0
4.012430000E-1,-2.711311798E0,4.490062866E0,8.051007843E0
4.112740000E-1,-2.569107513E0,4.593048706E0,8.660839691E0
4.213050000E-1,-2.254461823E0,4.611759796E0,9.368567963E0
4.313360000E-1,-2.197879486E0,4.703219604E0,1.005384293E1
4.413670000E-1,-2.149080963E0,4.521796875E0,1.019170624E1
4.513980000E-1,-1.980232086E0,4.217629395E0,1.010623398E1
4.614290000E-1,-1.799707489E0,3.791166229E0,9.998308411E0
4.714606666E-1,-1.524579620E0,3.237168274E0,9.715696106E0
4.814916666E-1,-1.496138763E0,3.137625275E0,9.384584656E0
4.915226666E-1,-1.219813385E0,3.003055115E0,9.303752747E0
5.015536667E-1,-7.771838379E-1,3.089275818E0,8.819060669E0
5.115846666E-1,-4.796026611E-1,3.167712708E0,7.986042938E0
5.216156666E-1,-3.342549133E-1,3.634292450E0,7.419022064E0
5.316466666E-1,-1.631607056E-1,3.809428253E0,7.240742798E0
5.416776667E-1,1.616638184E-2,3.733685760E0,7.632029114E0
5.517086667E-1,-1.962419128E-1,3.500770111E0,8.586145020E0
