"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,4.913101718E-2,1.702568680E-1,-4.668755829E-2
3.970313000E-3,9.021607041E-2,2.654820383E-1,-4.239404574E-2
7.940625000E-3,1.321039647E-1,3.576005101E-1,-3.480186686E-2
1.191093800E-2,1.688955128E-1,4.338539541E-1,-2.574360557E-2
1.588125000E-2,1.994387656E-1,4.978551567E-1,-1.677261479E-2
1.985156300E-2,2.223025858E-1,5.483999252E-1,-8.237954229E-3
2.382656300E-2,2.341359109E-1,5.883679390E-1,-2.268928103E-3
2.779375000E-2,2.357067168E-1,6.176022291E-1,3.944444004E-3
3.176406300E-2,2.276956588E-1,6.386334300E-1,8.726646192E-3
3.573437500E-2,2.084446698E-1,6.496813297E-1,1.389282104E-2
3.970468800E-2,1.832595766E-1,6.519677639E-1,1.780235767E-2
4.367500000E-2,1.539380401E-1,6.432236433E-1,2.106612362E-2
4.764687500E-2,1.219112501E-1,6.290515661E-1,2.403318323E-2
5.161718800E-2,9.114108980E-2,6.139195561E-1,2.616248466E-2
5.558593800E-2,5.902703479E-2,5.970073342E-1,2.715732343E-2
5.955781300E-2,2.326523885E-2,5.805663466E-1,3.014183603E-2
6.352812500E-2,-1.268854365E-2,5.663418770E-1,3.722787276E-2
6.749843800E-2,-4.872959107E-2,5.533042550E-1,4.916592315E-2
7.146875000E-2,-8.279842138E-2,5.428148508E-1,6.658431143E-2
7.543906300E-2,-1.097637564E-1,5.405284762E-1,8.632398397E-2
7.940937500E-2,-1.252099127E-1,5.492725372E-1,1.081755087E-1
8.338125000E-2,-1.315105557E-1,5.712637305E-1,1.324006766E-1
8.735156300E-2,-1.247212291E-1,6.115982533E-1,1.546710730E-1
9.132031300E-2,-1.038470864E-1,6.743428707E-1,1.756673902E-1
9.529218800E-2,-7.143632323E-2,7.587819099E-1,1.966636926E-1
9.926250000E-2,-2.417281084E-2,8.691216111E-1,2.141693532E-1
1.032328130E-1,3.659955412E-2,1.006583691E0,2.361954004E-1
1.072046880E-1,1.149299294E-1,1.158025980E0,2.589544952E-1
1.111750000E-1,2.053728998E-1,1.327148318E0,2.802475095E-1
1.151437500E-1,3.114190996E-1,1.513479710E0,2.966361642E-1
1.191156250E-1,4.247258604E-1,1.698728919E0,3.076840937E-1
1.230859380E-1,5.471781492E-1,1.891744971E0,3.156777024E-1
1.270562500E-1,6.715154052E-1,2.084150076E0,3.204773664E-1
1.310265630E-1,7.870213389E-1,2.259712696E0,3.274412155E-1
1.349968750E-1,8.962091208E-1,2.417525291E0,3.379830122E-1
1.389687500E-1,9.940522909E-1,2.544916868E0,3.527834117E-1
1.429390630E-1,1.070585012E0,2.624818087E0,3.689800501E-1
1.469093750E-1,1.132107854E0,2.649427176E0,3.829950392E-1
1.508796880E-1,1.170731902E0,2.628430843E0,3.895051181E-1
1.548500000E-1,1.186509728E0,2.566960335E0,3.919660449E-1
1.588203130E-1,1.183717251E0,2.477913857E0,3.933448493E-1
1.627906250E-1,1.166700244E0,2.370820284E0,3.991218805E-1
1.667625000E-1,1.134586215E0,2.247931719E0,3.994360566E-1
1.707328130E-1,1.086938739E0,2.125706196E0,3.877947032E-1
1.747015630E-1,1.024211526E0,2.001840353E0,3.678804934E-1
1.786734380E-1,9.520072937E-1,1.878497839E0,3.467096686E-1
1.826437500E-1,8.800473809E-1,1.767128468E0,3.318743706E-1
1.866140630E-1,8.060279489E-1,1.686005473E0,3.270921409E-1
1.905843750E-1,7.451508641E-1,1.633523464E0,3.276506662E-1
1.945546880E-1,6.981316805E-1,1.616227269E0,3.284011483E-1
1.985265630E-1,6.703809500E-1,1.631900311E0,3.296577930E-1
2.024968750E-1,6.554583907E-1,1.667766809E0,3.290818334E-1
2.064671880E-1,6.538177729E-1,1.723303199E0,3.244217932E-1
2.104375000E-1,6.634868979E-1,1.796345234E0,3.174928427E-1
2.144078130E-1,6.785141826E-1,1.874745369E0,3.084345758E-1
2.183781250E-1,6.919183135E-1,1.949079037E0,3.030764163E-1
2.223531250E-1,6.951297522E-1,2.000391722E0,2.986781895E-1
2.263187500E-1,6.824237108E-1,2.021579981E0,2.922553718E-1
2.302906250E-1,6.285628676E-1,2.055683613E0,2.663547099E-1
2.342609380E-1,5.401270390E-1,2.007215977E0,2.855707705E-1
