"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.343156891E0,-9.089398499E0,-1.026714935E0
1.001699999E-2,1.243464203E0,-9.749226379E0,-9.372010803E-1
2.003399999E-2,1.194965057E0,-1.011880783E1,-9.663903809E-1
3.004999999E-2,1.234033813E0,-1.009800110E1,-9.942324829E-1
4.006699999E-2,1.393452301E0,-9.728269958E0,-9.122030640E-1
5.008299999E-2,1.555565186E0,-9.253607025E0,-9.345066833E-1
6.009999999E-2,1.675765228E0,-9.005722504E0,-1.014590149E0
7.011700000E-2,1.802102509E0,-9.012308807E0,-1.070573730E0
8.013300000E-2,1.908980255E0,-9.097930756E0,-1.040037231E0
9.014999999E-2,1.870809631E0,-9.260193329E0,-9.330097961E-1
1.001660000E-1,1.773362274E0,-9.533375244E0,-7.089257812E-1
1.101830000E-1,1.738784180E0,-9.592951355E0,-5.291496277E-1
1.202000000E-1,1.636995850E0,-9.569599915E0,-4.233197021E-1
1.302160000E-1,1.761087799E0,-9.523046722E0,-3.858975220E-1
1.402330000E-1,1.988914032E0,-9.484576721E0,-4.418811035E-1
1.502490000E-1,2.213746490E0,-9.638606415E0,-5.535488892E-1
1.602660000E-1,2.463127899E0,-9.895921326E0,-8.928932190E-1
1.702820000E-1,2.374212799E0,-1.004860382E1,-1.199156342E0
1.802990000E-1,1.985171814E0,-1.016551071E1,-1.099763031E0
1.903160000E-1,1.846410370E0,-1.032013916E1,-1.057700500E0
2.003320000E-1,1.619631958E0,-1.022553589E1,-1.191821594E0
2.103490000E-1,1.426832886E0,-1.005998016E1,-1.275347900E0
2.203650000E-1,1.217268677E0,-9.896669769E0,-1.193468170E0
2.303820000E-1,1.171164551E0,-9.680369568E0,-1.130748596E0
2.403990000E-1,1.222358093E0,-9.355395355E0,-1.191222839E0
2.504147500E-1,1.323996735E0,-9.128616943E0,-1.141077118E0
2.604317500E-1,1.466350708E0,-9.020541687E0,-1.082848206E0
2.704477500E-1,1.569037170E0,-9.054670715E0,-1.131946106E0
2.804647500E-1,1.695973206E0,-9.196875000E0,-1.082249451E0
2.904817500E-1,1.796114960E0,-9.247320099E0,-1.015488281E0
3.004977500E-1,1.878892822E0,-9.147477722E0,-9.020242310E-1
3.105147500E-1,1.983674927E0,-8.993747406E0,-7.776329041E-1
3.205307500E-1,2.107617188E0,-8.818162537E0,-6.975494385E-1
3.305477500E-1,2.227517853E0,-8.680897980E0,-6.580316162E-1
3.405647500E-1,2.311044159E0,-8.643924866E0,-7.029382324E-1
3.505807500E-1,2.348316650E0,-8.743617554E0,-8.187973022E-1
3.605977500E-1,2.284998322E0,-8.994495850E0,-9.036708069E-1
3.706137500E-1,2.124831390E0,-9.244476013E0,-8.677455139E-1
3.806307500E-1,2.032623138E0,-9.397008820E0,-7.379653931E-1
3.906467500E-1,2.036814423E0,-9.323062592E0,-5.574407959E-1
4.006637500E-1,2.066153412E0,-9.193881226E0,-3.562591553E-1
4.106807500E-1,1.984573059E0,-9.231453094E0,-2.486329651E-1
4.206967500E-1,1.916165314E0,-9.383836212E0,-3.722758484E-1
4.307137500E-1,1.977537689E0,-9.430389404E0,-6.578819275E-1
4.407297500E-1,2.056573334E0,-9.410480804E0,-9.008267212E-1
4.507467500E-1,2.049987030E0,-9.391021271E0,-9.885443115E-1
4.607637500E-1,2.069596252E0,-9.326804810E0,-9.342073059E-1
4.707797500E-1,2.233655090E0,-9.175020447E0,-7.658074951E-1
4.807967500E-1,2.366878052E0,-8.884175262E0,-6.024971008E-1
4.908127500E-1,2.293979645E0,-8.759334869E0,-5.894741821E-1
5.008297500E-1,2.087259521E0,-8.979976044E0,-7.129673767E-1
5.108467500E-1,1.799557800E0,-9.342671814E0,-8.397537231E-1
5.208627500E-1,1.639989624E0,-9.524094543E0,-9.939331055E-1
5.308797500E-1,1.512903900E0,-9.413624268E0,-1.140029297E0
5.408957500E-1,1.417252808E0,-9.276659088E0,-1.276246033E0
5.509127500E-1,1.455273743E0,-9.166937256E0,-1.464105377E0
5.609297500E-1,1.433269501E0,-9.039851532E0,-1.772913208E0
5.709457500E-1,9.704319763E-1,-8.883426819E0,-1.971699829E0
5.809627500E-1,2.038760376E-1,-8.532406769E0,-2.021845551E0
5.909787500E-1,-4.492158508E-1,-7.939040680E0,-1.974394226E0
6.009957500E-1,-7.201524353E-1,-7.412435760E0,-2.032922516E0
6.110117500E-1,-8.738827515E-1,-7.117099915E0,-2.242187347E0
6.210287500E-1,-1.097368011E0,-7.012467499E0,-2.431244202E0
6.310457500E-1,-1.232536926E0,-7.217840424E0,-2.448159027E0
6.410617500E-1,-1.031654663E0,-8.221503296E0,-2.724484406E0
6.510787500E-1,-4.161346436E-1,-1.005414230E1,-3.105442200E0
6.610947500E-1,6.680607605E-1,-1.248583557E1,-3.275488586E0
6.711117500E-1,2.086660767E0,-1.474912903E1,-3.235821075E0
6.811287500E-1,3.501368866E0,-1.635079834E1,-2.731370087E0
6.911447500E-1,5.246140594E0,-1.696077988E1,-2.218835907E0
7.011617500E-1,7.539521484E0,-1.570354431E1,-2.004930725E0
7.111777500E-1,8.916058960E0,-1.355970245E1,-1.655108185E0
7.211947500E-1,8.277337189E0,-1.137050491E1,-1.407523041E0
7.312117500E-1,6.603817291E0,-9.894873505E0,-8.190966797E-1
7.412277500E-1,4.896318054E0,-9.262438660E0,-1.646575928E-2
7.512447500E-1,4.482129364E0,-9.087003479E0,7.408094788E-1
7.612607500E-1,3.783681793E0,-8.477620697E0,1.054557037E0
7.712777500E-1,3.153342590E0,-8.495433655E0,8.219407654E-1
7.812937500E-1,2.549797668E0,-8.579858093E0,5.712121582E-1
7.913107500E-1,1.753603363E0,-8.685538330E0,5.291496277E-1
8.013277500E-1,1.500180359E0,-9.015751648E0,2.908451843E-1
8.113437500E-1,1.385668488E0,-9.745933228E0,-1.425036621E-1
8.213607500E-1,1.340312805E0,-1.012958542E1,-3.113525391E-1
8.313767500E-1,1.353186035E0,-1.001716919E1,-4.827461243E-1
8.413937500E-1,1.491648102E0,-9.646539917E0,-5.634283447E-1
8.514107500E-1,1.721869354E0,-9.250912628E0,-5.409750366E-1
8.614267500E-1,1.976190491E0,-8.958121490E0,-4.668791199E-1
8.714437500E-1,2.319277039E0,-8.741222534E0,-3.354524231E-1
8.814597500E-1,2.636617126E0,-8.535699921E0,-1.660047913E-1
8.914767500E-1,2.769840088E0,-8.476273499E0,6.975494385E-2
9.014937500E-1,2.786754913E0,-8.455466766E0,3.183879089E-1
9.115097500E-1,2.643652496E0,-8.508905640E0,5.161267090E-1
9.215267500E-1,2.416574707E0,-8.455915833E0,5.869294739E-1
9.315427500E-1,2.232158203E0,-8.310418396E0,5.695655823E-1
9.415597500E-1,2.192939758E0,-8.263416138E0,5.366340637E-1
9.515767500E-1,2.307002563E0,-8.326135712E0,5.800437927E-1
9.615927500E-1,2.532882843E0,-8.456813965E0,7.057823181E-1
9.716097500E-1,3.030298462E0,-8.702602844E0,8.202941895E-1
9.816257500E-1,3.812422028E0,-8.925040283E0,9.443861389E-1
9.916427500E-1,4.639751587E0,-9.137747955E0,1.081351318E0
1.001658750E0,5.357059937E0,-9.415270844E0,1.362766113E0
1.011675750E0,5.817951508E0,-9.602082367E0,1.719624023E0
1.021692750E0,5.976771240E0,-9.709708557E0,1.844314728E0
1.031708750E0,5.891149292E0,-9.879006500E0,1.752705231E0
1.041725750E0,5.627397766E0,-1.020188507E1,1.664538574E0
1.051741750E0,5.417534180E0,-1.053793625E1,1.627864838E0
1.061758750E0,5.415438538E0,-1.073627380E1,1.696422272E0
1.071775750E0,5.531147919E0,-1.086515579E1,1.683549042E0
1.081791750E0,5.521567841E0,-1.112441666E1,1.368903351E0
1.091808750E0,5.175637207E0,-1.131571884E1,1.070573730E0
1.101824750E0,4.689298553E0,-1.152887558E1,5.020559692E-1
1.111841750E0,3.978426819E0,-1.195339279E1,-1.983375549E-1
1.121858750E0,2.878514099E0,-1.240275833E1,-7.801776123E-1
1.131874750E0,1.646875305E0,-1.236518646E1,-1.348545685E0
1.141891750E0,6.394702148E-1,-1.170446045E1,-1.670975189E0
1.151907750E0,1.827699280E-1,-1.059900925E1,-1.527872772E0
1.161924750E0,1.442999268E-1,-9.274563446E0,-1.123264160E0
1.171940750E0,3.854484558E-1,-8.246351624E0,-6.614744568E-1
1.181957750E0,8.445437622E-1,-7.476203156E0,-2.817141724E-1
1.191974750E0,1.253193970E0,-7.042105865E0,-2.499801636E-1
1.201990750E0,1.807940369E0,-7.170389099E0,-4.315525818E-1
1.212007750E0,2.085313568E0,-7.057673492E0,-9.340576172E-1
1.222023750E0,2.167342987E0,-7.056925049E0,-1.665287018E0
1.232040750E0,2.135758667E0,-7.363936615E0,-2.220183105E0
1.242057750E0,1.889670410E0,-7.929759979E0,-2.600392456E0
1.252073000E0,1.502575378E0,-8.691226501E0,-2.634222107E0
1.262090000E0,1.011596375E0,-9.608219604E0,-2.490820312E0
1.272106000E0,4.951702881E-1,-1.034393967E1,-2.132914581E0
1.282123000E0,7.604187012E-2,-1.081276474E1,-1.779798889E0
1.292140000E0,-2.466870117E-1,-1.086545517E1,-1.505120087E0
1.302156000E0,-4.523593140E-1,-1.073148376E1,-1.169667664E0
1.312173000E0,-3.417393494E-1,-1.045470932E1,-7.788304138E-1
1.322189000E0,6.780899048E-2,-9.984237671E0,-4.384382629E-1
1.332206000E0,6.991960144E-1,-9.214238892E0,-1.884580994E-1
1.342223000E0,1.301543427E0,-8.569379883E0,-1.279838562E-1
1.352239000E0,1.687141571E0,-8.272547150E0,-3.974235535E-1
1.362256000E0,1.542991333E0,-8.474177856E0,-6.424639893E-1
1.372272000E0,1.436263275E0,-8.819958801E0,-6.285429382E-1
1.382289000E0,1.527872772E0,-9.123677216E0,-8.788224792E-1
1.392305000E0,1.218017120E0,-9.492959290E0,-1.033750305E0
1.402322000E0,9.656419373E-1,-9.782606964E0,-8.437953186E-1
1.412339000E0,1.249751129E0,-1.000414627E1,-8.051756287E-1
1.422355000E0,1.289718018E0,-1.011431717E1,-9.729766846E-1
1.432372000E0,1.521735535E0,-1.009186386E1,-1.244062958E0
1.442388000E0,1.634451141E0,-9.914333038E0,-1.394500122E0
1.452405000E0,1.763931885E0,-9.706864471E0,-1.309626617E0
1.462422000E0,1.793719940E0,-9.476643219E0,-1.046324158E0
1.472438000E0,1.876348114E0,-9.240584106E0,-7.309300232E-1
1.482455000E0,1.998793488E0,-9.060358887E0,-3.884422302E-1
1.492471000E0,2.034419403E0,-8.979227600E0,-1.999841309E-1
1.502488000E0,2.031874695E0,-9.044791260E0,-1.655557251E-1
1.512505000E0,2.042352905E0,-9.169481964E0,-1.965412903E-1
1.522521000E0,2.114802246E0,-9.248816986E0,-2.661465454E-1
1.532538000E0,2.212399292E0,-9.327403564E0,-3.044668579E-1
1.542554000E0,2.415077820E0,-9.364825745E0,-3.647914124E-1
1.552571000E0,2.564616852E0,-9.406588898E0,-4.245172119E-1
1.562587000E0,2.730322266E0,-9.410630493E0,-4.797523499E-1
1.572604000E0,2.738255768E0,-9.374854889E0,-4.638853455E-1
1.582621000E0,2.548151093E0,-9.104067993E0,-4.038601685E-1
1.592637000E0,2.111958160E0,-8.881929932E0,-2.719844055E-1
1.602654000E0,1.686243439E0,-8.731043701E0,-1.369651794E-1
1.612670000E0,1.424138489E0,-8.626111908E0,-3.457809448E-2
1.622687000E0,1.324745178E0,-8.677904205E0,-5.927673340E-2
1.632704000E0,1.289418640E0,-8.716673584E0,-1.872605896E-1
1.642720000E0,1.211131439E0,-8.688382416E0,-3.372486877E-1
1.652737000E0,1.220861206E0,-8.706494751E0,-4.990621948E-1
1.662753000E0,1.495989075E0,-8.863218842E0,-6.848258972E-1
1.672770000E0,1.814227295E0,-9.277557220E0,-7.325765991E-1
1.682787000E0,2.087259521E0,-9.642198944E0,-5.816903687E-1
1.692803000E0,2.265688477E0,-9.897717590E0,-4.584965515E-1
1.702820000E0,2.273771667E0,-9.978250122E0,-3.936813354E-1
1.712836000E0,2.074386292E0,-9.616751862E0,-4.028123474E-1
1.722853000E0,1.887874146E0,-8.826694794E0,-7.824229431E-1
1.732870000E0,1.854343872E0,-7.970026245E0,-1.277892609E0
1.742886000E0,2.107766876E0,-7.358996887E0,-1.452878723E0
1.752903000E0,2.618953857E0,-7.205116882E0,-1.531165924E0
1.762919000E0,2.708617401E0,-7.698640594E0,-1.882485352E0
1.772936000E0,2.029180298E0,-8.952583008E0,-2.417622528E0
1.782953000E0,1.085243225E0,-1.003962250E1,-2.842139740E0
1.792969000E0,2.189945984E-1,-1.042881317E1,-3.262315979E0
1.802986000E0,-6.020480347E-1,-1.042566971E1,-3.342249756E0
1.813002000E0,-1.111588440E0,-1.032298325E1,-3.110681305E0
1.823019000E0,-1.394799500E0,-1.023077499E1,-3.102149048E0
1.833035000E0,-1.256636810E0,-1.083776276E1,-3.317850494E0
1.843052000E0,-6.891668701E-1,-1.218945190E1,-3.241060181E0
1.853069000E0,3.086581421E-1,-1.363394806E1,-3.149300995E0
1.863085000E0,1.833537140E0,-1.466680023E1,-3.270698547E0
1.873102000E0,3.790866852E0,-1.486453903E1,-3.005001068E0
1.883118000E0,5.570665741E0,-1.386476807E1,-2.877466278E0
1.893135000E0,7.139403534E0,-1.228166016E1,-2.618953857E0
1.903152000E0,7.897427216E0,-1.056832306E1,-2.113455048E0
1.913168000E0,7.417225800E0,-8.918304291E0,-1.461410980E0
1.923185000E0,5.953719177E0,-7.419620819E0,-4.580474854E-2
1.933201000E0,4.509073334E0,-6.778953094E0,1.334175568E0
1.943218000E0,3.556005249E0,-6.451883240E0,2.020049286E0
1.953235000E0,2.906655579E0,-6.314468994E0,1.809586945E0
1.963251000E0,2.520907745E0,-6.763984222E0,1.350491638E0
1.973268000E0,2.370919647E0,-7.359745331E0,4.270619202E-1
1.983284000E0,2.166594543E0,-8.047115936E0,1.645079041E-1
1.993301000E0,1.817670135E0,-8.981772308E0,-3.391946411E-1
2.003318000E0,2.059417419E0,-1.058568695E1,-1.085841980E0
2.013334000E0,2.413431244E0,-1.176508438E1,-1.445993042E0
2.023351000E0,2.693049774E0,-1.259660522E1,-1.437760162E0
2.033367000E0,2.927761688E0,-1.238449631E1,-1.173110504E0
2.043384000E0,2.919079742E0,-1.172571625E1,-7.135661316E-1
2.053401000E0,2.820285187E0,-1.113624207E1,-1.836680603E-1
2.063417000E0,2.714904327E0,-1.066726730E1,2.528242493E-1
2.073434000E0,2.616259460E0,-1.030157776E1,6.990463257E-1
2.083450000E0,2.718347168E0,-9.951605530E0,1.097667389E0
2.093467000E0,2.923570404E0,-9.599238281E0,1.246457977E0
2.103484000E0,3.095862122E0,-9.260043640E0,1.117575989E0
2.113500000E0,3.205284576E0,-8.821904755E0,9.201365662E-1
2.123517000E0,3.320544891E0,-8.318351898E0,7.216493225E-1
2.133533000E0,3.480262756E0,-8.040529633E0,4.680766296E-1
2.143550000E0,3.733835449E0,-7.924969940E0,2.469863892E-1
2.153567000E0,3.895199890E0,-7.807314606E0,2.070195007E-1
2.163583000E0,3.945195923E0,-7.729925537E0,3.195854187E-1
2.173600000E0,4.007765808E0,-7.763755188E0,5.483097839E-1
2.183616000E0,4.067341919E0,-7.998467102E0,8.375083923E-1
2.193633000E0,4.184548187E0,-8.473579102E0,1.046024780E0
2.203650000E0,4.375700684E0,-9.110055542E0,1.096769257E0
2.213666000E0,4.524341583E0,-9.678872681E0,9.846524048E-1
2.223683000E0,4.507726135E0,-1.009096573E1,7.367678833E-1
2.233699000E0,4.345463562E0,-1.041818527E1,5.399272156E-1
2.243716000E0,4.167333984E0,-1.056667648E1,5.128335571E-1
2.253734167E0,4.005819855E0,-1.056143738E1,6.505471802E-1
2.263750167E0,3.798051910E0,-1.053075119E1,8.984317017E-1
2.273767167E0,3.477418671E0,-1.044527893E1,1.136885834E0
2.283783167E0,3.415597229E0,-1.074660233E1,1.066083069E0
2.293800167E0,3.435356140E0,-1.112456635E1,7.396119690E-1
2.303817167E0,3.161874847E0,-1.116812576E1,3.650907898E-1
2.313833167E0,2.559527435E0,-1.115989288E1,-2.079176331E-1
2.323850167E0,1.688788147E0,-1.093880264E1,-1.005608826E0
2.333866167E0,8.934919739E-1,-1.053134995E1,-1.550924835E0
2.343883167E0,4.260140991E-1,-1.021281235E1,-1.505120087E0
2.353900167E0,2.468367004E-1,-9.455986176E0,-1.333876190E0
2.363916167E0,4.595443726E-1,-8.540939026E0,-1.078058167E0
2.373933167E0,9.859996033E-1,-8.001460876E0,-8.014334106E-1
2.383949167E0,1.614243164E0,-8.057294769E0,-7.026388550E-1
2.393966167E0,2.001936951E0,-8.592132568E0,-1.271306305E0
2.403983167E0,2.287692719E0,-9.287286987E0,-1.969005432E0
2.413999167E0,2.353106689E0,-9.481433258E0,-2.353406067E0
