,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
1,0.005005,-5.827486992000001,4.776432514,5.537788391
2,0.01001,-5.827486992000001,4.776432514,5.537788391
3,0.015015,-5.827486992000001,4.776432514,5.537788391
4,0.02002,-4.7093949319999995,4.029441357,7.55131197
5,0.025024,-4.683058739,3.933673382,7.747636795
6,0.029968,-4.891354084,3.8905777930000003,8.106766701
7,0.034973,-4.414907932,3.981557369,8.291120529
8,0.039978,-6.16506958,3.620033026,8.259995461
9,0.044983,-5.841852188,4.292803763999999,7.1826052670000005
10,0.049988,-5.880159377999999,4.6806645389999995,6.715735912
11,0.054993,-5.477933407,4.656722069,6.912060261000001
12,0.059998,-5.056553841,4.632780075,7.079654217000001
13,0.064819,-4.730942726,4.42209053,7.419631004
14,0.070007,-4.675876141,4.326322556,7.541735172
15,0.075012,-4.505887508,4.141968727,7.685387611
16,0.080017,-4.187458992,3.931279182,7.788338184
17,0.085022,-3.921702385,3.787626982,7.862558365
18,0.089966,-3.6679170130000003,3.6391866210000003,7.936778545
19,0.094971,-3.509899616,3.5769374369999998,7.9319901470000005
20,0.099975,-3.4404678339999997,3.478775024,7.778761387
21,0.10498,-3.450044632,3.433285236,7.635109425
22,0.109985,-3.505111217,3.41892004,7.438784599
23,0.11499,-3.6750996110000003,3.430891037,7.376535416
24,0.119995,-3.854664803,3.4931402210000004,7.448361397
25,0.125,-3.991134167,3.552995205,7.639897822999999
26,0.130005,-4.141968727,3.435679436,7.802703381000001
27,0.13501,-3.9384617810000004,3.579331636,8.099584579
28,0.140014,-3.509899616,3.6080620289999996,8.532935143
29,0.145019,-2.693476915,3.5314474110000003,9.02374649
30,0.150024,-0.5817909836999999,3.299209833,8.38928318
31,0.154968,-1.158793569,2.97359848,8.999804497000001
32,0.159973,-2.1643583769999997,2.97599268,10.17535686
33,0.164978,-1.908178806,3.203441858,11.50413895
34,0.169983,-1.89620769,3.34469986,12.83292103
35,0.174987,-1.146822572,3.572149038,12.52406883
36,0.179992,0.7015010715000001,3.5290532110000004,11.27429581
37,0.184997,1.268926859,3.1364042760000004,10.89122391
38,0.190002,0.7445967197,2.86107111,11.11867237
39,0.195007,0.07900865376,2.738966703,11.20246983
40,0.200012,-0.3734954596,2.693476915,10.99178028
41,0.205017,-0.2992752194,2.961627483,10.37407589
42,0.210022,-0.08379705995,3.409343243,9.91438961
43,0.214965,-0.3663128614,3.490746021,9.775525092999999
44,0.21997,-0.9193734526999999,3.335123062,9.629479408
45,0.224975,-1.419761658,2.978386879,9.212887764
46,0.22998,-1.541865945,2.6072857380000003,8.700529099
47,0.234985,-1.26653266,2.410961151,8.090007782
48,0.23999,-0.9169792533,2.422932148,7.747636795
49,0.244873,-0.3782838583,2.655169725,7.6422920229999995
50,0.25,0.05746084079,2.7772738930000003,7.079654217000001
51,0.255004,0.3136404157,3.064578056,7.32146883
52,0.260009,0.14604631070000001,3.615244627,8.963891029
53,0.265014,-0.2059013397,4.039018154,10.87685871
54,0.270019,-0.2202665508,4.074931145,11.6023016
55,0.275024,0.17956513170000002,3.845088005,10.96304989
56,0.279968,0.8188169598999999,3.287238836,10.12268448
57,0.284973,1.388636947,3.253720045,9.351752281
58,0.289977,1.5658079390000001,3.325546265,8.252813339
59,0.294982,1.242590666,3.368641853,7.443572998
60,0.299987,1.048660398,3.854664803,6.677428722
61,0.304992,0.23702596129999998,3.912125587,6.897695065
62,0.309997,-0.6488286853,3.871424198,7.479485989
63,0.315002,-0.8882488012,3.821146011,7.817068577000001
64,0.320007,-0.8044517636,3.775655985,7.841010571
65,0.325012,-0.6775590777,3.53384161,7.867346764
66,0.330016,-0.6105214357,3.093308687,7.807491778999999
67,0.335021,-0.08619125932,2.7940332889999997,7.706935406
68,0.339965,0.6895300745999999,2.7772738930000003,7.687781811
69,0.34497,1.0462661979999999,2.93529129,8.025363922
70,0.349975,1.323993564,3.2465374469999997,8.212111473
