"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,-3.540208042E-1,3.547477722E-1,-5.750072747E-2
9.909000000E-3,-4.413745403E-1,4.219429493E-1,-8.315706253E-2
1.990200000E-2,-4.847459793E-1,4.573731422E-1,-1.039264873E-1
2.981300000E-2,-4.829133749E-1,4.555405378E-1,-1.191981137E-1
4.013700000E-2,-4.651982784E-1,4.317167997E-1,-1.222524419E-1
5.010000000E-2,-4.542027116E-1,4.091147780E-1,-1.118677333E-1
6.031200000E-2,-4.444288611E-1,3.871236145E-1,-9.720696509E-2
7.020300000E-2,-4.169399440E-1,3.614673018E-1,-8.315706253E-2
7.994600000E-2,-3.479121625E-1,3.272588253E-1,-7.827014476E-2
9.011900000E-2,-2.422324866E-1,2.838874161E-1,-8.193533123E-2
1.006560000E-1,-1.438831836E-1,2.502897978E-1,-9.109831601E-2
1.098370000E-1,-9.257049859E-2,2.570093274E-1,-1.039264873E-1
1.199260000E-1,-1.108964533E-1,3.168741167E-1,-1.137003303E-1
1.298530000E-1,-2.520063221E-1,4.787534177E-1,-1.308045536E-1
1.402960000E-1,-3.137037158E-1,5.453376770E-1,-1.418001354E-1
1.502520000E-1,-3.686815798E-1,5.850439668E-1,-1.515739709E-1
1.600200000E-1,-4.218268692E-1,6.058133841E-1,-1.589043438E-1
1.698600000E-1,-4.761938751E-1,6.088677049E-1,-1.607369483E-1
1.799270000E-1,-5.275065899E-1,5.948177576E-1,-1.619586945E-1
1.898150000E-1,-5.702671409E-1,5.691614151E-1,-1.650130153E-1
2.001790000E-1,-5.879822373E-1,5.190705061E-1,-1.717325151E-1
2.099040000E-1,-5.818735957E-1,4.353819788E-1,-1.778411865E-1
2.198620000E-1,-5.611041784E-1,3.516934514E-1,-1.839498281E-1
2.298240000E-1,-5.336152315E-1,2.954938412E-1,-1.979997456E-1
2.398540000E-1,-5.152892470E-1,2.423485667E-1,-2.071627080E-1
2.499150000E-1,-5.079588890E-1,1.879815608E-1,-2.004432082E-1
2.603630000E-1,-5.165109634E-1,1.330036819E-1,-1.784520447E-1
2.698180000E-1,-5.446107984E-1,9.635176510E-2,-1.552391648E-1
2.802710000E-1,-5.788192749E-1,1.042930111E-1,-1.448544562E-1
2.898790000E-1,-5.947017670E-1,1.690447330E-1,-1.485196501E-1
3.000220000E-1,-5.812627077E-1,2.576201856E-1,-1.582934856E-1
3.098000000E-1,-5.421673656E-1,3.303131759E-1,-1.595152318E-1
3.200090000E-1,-4.804699123E-1,3.822367191E-1,-1.466870606E-1
3.297890000E-1,-4.089986980E-1,4.158343077E-1,-1.320262849E-1
3.399710000E-1,-3.405817747E-1,4.372145832E-1,-1.234741732E-1
3.498490000E-1,-2.825495899E-1,4.567622542E-1,-1.185872480E-1
3.599030000E-1,-1.909198165E-1,5.380073190E-1,-1.063699424E-1
3.698790000E-1,-1.591548175E-1,5.917634368E-1,-1.106460020E-1
3.803970000E-1,-1.377745271E-1,6.314697266E-1,-1.167546585E-1
3.898310000E-1,-1.237246245E-1,6.534608603E-1,-1.155329272E-1
4.001770000E-1,-1.163942516E-1,6.540716887E-1,-1.033156216E-1
4.100650000E-1,-1.151725203E-1,6.308588386E-1,-8.682225645E-2
4.203180000E-1,-1.188377142E-1,5.978721380E-1,-6.483110785E-2
4.302870000E-1,-1.212811768E-1,5.783244371E-1,-3.917476907E-2
4.398900000E-1,-1.255572289E-1,5.728266239E-1,-1.657275483E-2
4.501250000E-1,-1.347202063E-1,5.697723031E-1,-1.301124692E-3
4.598700000E-1,-1.493809670E-1,5.654962659E-1,9.694449604E-3
4.698560000E-1,-1.634308696E-1,5.551115274E-1,2.069002390E-2
4.799240000E-1,-1.744264513E-1,5.410616398E-1,3.046386689E-2
4.898660000E-1,-1.823676974E-1,5.337312818E-1,3.535079211E-2
5.000330000E-1,-1.878654808E-1,5.227357149E-1,3.779425472E-2
5.098790000E-1,-1.927524060E-1,4.964685142E-1,4.268117249E-2
5.202050000E-1,-1.927524060E-1,4.653143883E-1,5.001156032E-2
5.298870000E-1,-1.866437495E-1,4.353819788E-1,5.856367201E-2
5.399370000E-1,-1.738155782E-1,4.115582407E-1,6.589405239E-2
5.499400000E-1,-1.591548175E-1,3.889562190E-1,6.772664934E-2
5.599940000E-1,-1.475483775E-1,3.632998765E-1,6.589405239E-2
5.698590000E-1,-1.414397210E-1,3.370326757E-1,5.978540331E-2
5.798800000E-1,-1.420505941E-1,3.187067211E-1,5.245501548E-2
5.898510000E-1,4.548504576E-2,1.232298389E-1,1.373652816E-1
5.999480000E-1,4.915023223E-2,4.647035301E-1,1.251479685E-1
6.099160000E-1,1.372005045E-2,4.579840004E-1,9.765904397E-2
6.200430000E-1,-5.216773599E-3,4.323276579E-1,1.300348938E-1
6.303950000E-1,-2.598619089E-2,3.596346974E-1,1.624107659E-1
6.399830000E-1,-2.598619089E-2,2.490680814E-1,1.721846163E-1
6.499010000E-1,-2.171013504E-2,1.452209949E-1,1.868453622E-1
6.600000000E-1,1.860697195E-2,4.198475927E-2,2.118908465E-1
6.698870000E-1,6.564359367E-2,-3.070820309E-2,2.412123680E-1
6.799190000E-1,9.557598829E-2,-7.407964021E-2,2.583166063E-1
6.898470000E-1,1.010737717E-1,-1.034011766E-1,2.320494056E-1
6.999460000E-1,1.016846448E-1,-9.179472923E-2,1.685194075E-1
7.099620000E-1,9.863030910E-2,-5.453195423E-2,8.971779794E-2
7.199770000E-1,8.458042145E-2,-3.070820309E-2,2.740954235E-2
7.298380000E-1,5.953494087E-2,-3.070820309E-2,-6.902590394E-4
7.398760000E-1,3.387860581E-2,-4.292551428E-2,6.029259413E-3
7.498760000E-1,1.372005045E-2,-6.858184934E-2,4.756809771E-2
7.599490000E-1,1.310918480E-2,-8.202088624E-2,1.068220213E-1
7.698890000E-1,3.143514320E-2,-6.125146896E-2,1.563021243E-1
7.802550000E-1,5.770234391E-2,-3.559512645E-2,1.972300708E-1
7.900780000E-1,8.396954834E-2,-1.649428159E-4,2.167777717E-1
7.998970000E-1,1.102367491E-1,3.831956908E-2,2.033387423E-1
8.098590000E-1,1.334496289E-1,6.703023612E-2,1.648542285E-1
8.204240000E-1,1.682689488E-1,1.287276298E-1,6.467232108E-2
8.301180000E-1,1.694906801E-1,1.611034870E-1,3.718338907E-2
8.398700000E-1,1.542190462E-1,1.702664644E-1,1.946829632E-2
8.499060000E-1,1.328387707E-1,1.635469496E-1,2.191175520E-2
8.600060000E-1,1.145128161E-1,1.427775323E-1,3.962684423E-2
8.698240000E-1,1.071824282E-1,1.146777198E-1,4.878982902E-2
8.801140000E-1,1.071824282E-1,6.580850482E-2,1.519223675E-2
8.898400000E-1,1.420017481E-1,7.863667607E-2,-4.772688448E-2
8.999080000E-1,1.878166348E-1,1.042930111E-1,-6.483110785E-2
9.098570000E-1,2.018665373E-1,1.348362863E-1,-5.627899617E-2
9.199420000E-1,1.462778002E-1,1.482753158E-1,-3.550957888E-2
9.300160000E-1,3.937638924E-2,1.598817557E-1,-2.329227328E-2
9.398970000E-1,-8.218578994E-2,1.843163669E-1,-2.207054198E-2
9.498870000E-1,-1.842002869E-1,2.081401050E-1,-2.451400273E-2
9.598690000E-1,-2.452868223E-1,2.026423216E-1,-1.779448614E-2
9.698650000E-1,-2.507846057E-1,1.666012704E-1,-3.744583577E-3
9.801640000E-1,-1.994719207E-1,1.244515628E-1,2.802040800E-2
9.898650000E-1,-1.133399159E-1,9.574089944E-2,6.650491804E-2
9.999530000E-1,-1.193629019E-2,6.825196743E-2,9.093952924E-2
1.009846000E0,8.213695884E-2,8.963225037E-2,9.521558136E-2
1.019920000E0,1.511647254E-1,1.165103167E-1,1.019350961E-1
1.029850000E0,1.682689488E-1,1.947010756E-1,1.019350961E-1
1.039927000E0,1.578842402E-1,2.460137606E-1,7.627876103E-2
1.049847000E0,1.676580906E-1,2.307421267E-1,5.795280635E-2
1.059987000E0,1.065715700E-1,2.148596346E-1,1.685194075E-1
1.069848000E0,6.075667217E-2,2.130270302E-1,2.913033068E-1
1.079899000E0,3.754379228E-2,2.032531947E-1,4.085894525E-1
1.089948000E0,3.326774016E-2,2.032531947E-1,5.044953227E-1
1.099900000E0,5.098282918E-2,1.910358816E-1,5.399255157E-1
1.110233000E0,7.663917542E-2,1.995880008E-1,5.154908895E-1
1.119891000E0,9.740857780E-2,2.264660746E-1,4.354675114E-1
1.129822000E0,1.090150177E-1,2.612853944E-1,3.016880453E-1
1.139949000E0,1.407800168E-1,2.954938412E-1,1.538586617E-1
1.149864000E0,2.122512460E-1,3.125980794E-1,4.390290380E-2
1.159895000E0,3.093788326E-1,3.248153627E-1,1.824656501E-2
1.169855000E0,3.930673897E-1,3.095437288E-1,5.734194070E-2
1.180032000E0,4.309410155E-1,2.661722898E-1,1.104872152E-1
1.189838000E0,4.058955610E-1,1.989771277E-1,1.398087442E-1
1.199869000E0,3.222070038E-1,1.415558010E-1,1.288131773E-1
1.209829000E0,2.055317312E-1,1.110125333E-1,8.422001451E-2
1.220443000E0,9.252166748E-2,1.122342646E-1,2.740954235E-2
1.229946000E0,1.677437499E-2,1.733208001E-1,-1.779448614E-2
1.239978000E0,-3.995042294E-3,2.832765281E-1,-4.345082492E-2
1.249887000E0,2.899168059E-2,3.944540024E-1,-2.145967633E-2
1.260036000E0,1.053498387E-1,4.903598428E-1,8.910693228E-2
1.269917000E0,1.933144331E-1,5.752701163E-1,2.564840019E-1
1.279908000E0,2.684508562E-1,5.960395336E-1,3.841548264E-1
1.289888000E0,3.784066141E-1,5.801570415E-1,4.458522201E-1
1.299963000E0,3.099896908E-1,5.215139389E-1,3.603310883E-1
1.309916000E0,2.122512460E-1,5.276226401E-1,2.589274645E-1
1.319909000E0,1.175671369E-1,5.355638266E-1,1.868453622E-1
1.329848000E0,1.616350934E-2,5.380073190E-1,1.544695199E-1
1.340053000E0,-2.965138294E-2,5.868765116E-1,1.300348938E-1
1.349895000E0,-3.384176642E-3,6.510173678E-1,1.086546257E-1
1.359949000E0,9.068906307E-2,7.279863954E-1,9.399385005E-2
1.370002000E0,2.324097902E-1,8.006793857E-1,9.765904397E-2
1.379921000E0,4.101715982E-1,8.581007123E-1,1.220936552E-1
1.389882000E0,5.958746076E-1,8.813135624E-1,1.569129825E-1
1.399906000E0,7.430931330E-1,8.471051455E-1,1.709628701E-1
1.409983000E0,8.225055933E-1,7.444797754E-1,1.422522068E-1
1.420411000E0,8.371663690E-1,6.418544054E-1,6.222885847E-2
1.429901000E0,7.870754600E-1,6.357457638E-1,-2.390313894E-2
1.439890000E0,6.856718063E-1,6.607912183E-1,-7.827014476E-2
1.449952000E0,5.470054150E-1,6.259719133E-1,-1.204198450E-1
1.459922000E0,3.808500767E-1,5.703831911E-1,-1.680673361E-1
1.469991000E0,1.786536574E-1,5.099075437E-1,-2.370951176E-1
1.479984000E0,-1.926667430E-2,4.500427544E-1,-3.256705701E-1
1.489933000E0,-1.292224228E-1,3.596346974E-1,-4.044722021E-1
1.499903000E0,-1.628200114E-1,2.124161720E-1,-5.077084303E-1
1.509859000E0,-1.475483775E-1,7.252801955E-2,-6.463748217E-1
1.519918000E0,-7.668800652E-2,-1.088989601E-1,-9.194315672E-1
1.529879000E0,-1.804494299E-2,-1.321118325E-1,-9.847941399E-1
1.539938000E0,7.847176492E-2,-1.192836687E-1,-9.609704018E-1
1.549946000E0,2.153055817E-1,-7.224704325E-2,-8.565124273E-1
1.559922000E0,3.704653680E-1,-5.662729964E-3,-7.123482227E-1
1.569890000E0,5.170729756E-1,7.191715389E-2,-5.797904730E-1
1.579885000E0,6.270287633E-1,1.611034870E-1,-4.942693710E-1
1.589856000E0,7.064412236E-1,2.686157525E-1,-4.484544992E-1
1.599928000E0,7.791341543E-1,3.547477722E-1,-4.081373811E-1
1.609834000E0,8.622118831E-1,4.127799571E-1,-3.549921215E-1
1.619941000E0,9.477329850E-1,4.414906502E-1,-3.024576902E-1
1.629892000E0,1.036919355E0,4.634817839E-1,-2.651949227E-1
1.639835000E0,1.131603479E0,4.714230299E-1,-2.627514601E-1
1.649873000E0,1.236061335E0,4.811968803E-1,-3.006251156E-1
1.660088000E0,1.352125764E0,4.958576560E-1,-3.507160544E-1
1.669862000E0,1.460248947E0,5.380073190E-1,-3.916440308E-1
1.679890000E0,1.529276729E0,5.966503620E-1,-4.331828654E-1
1.689838000E0,1.542715788E0,6.754519939E-1,-4.637261331E-1
1.699889000E0,1.507896423E0,7.261537910E-1,-4.655587077E-1
1.709887000E0,1.421153545E0,7.487558126E-1,-4.307394028E-1
1.719881000E0,1.286152363E0,7.493667006E-1,-3.580464423E-1
1.729868000E0,1.125494719E0,7.365385294E-1,-2.792448103E-1
1.739894000E0,9.721676111E-1,7.023300529E-1,-2.187691629E-1
1.749849000E0,8.310577273E-1,6.577368975E-1,-2.670274973E-1
1.759808000E0,8.756508827E-1,5.563332438E-1,-3.366661370E-1
1.769798000E0,9.630045891E-1,5.154052973E-1,-3.873679638E-1
1.779879000E0,1.065019131E0,5.239574313E-1,-4.215764105E-1
1.789888000E0,1.165811896E0,5.893200040E-1,-4.441784322E-1
1.799840000E0,1.239115715E0,6.614021063E-1,-4.490653574E-1
1.809811000E0,1.272713304E0,6.882801652E-1,-4.625043869E-1
1.819873000E0,1.258663416E0,6.711759567E-1,-5.040432215E-1
1.829849000E0,1.247056961E0,6.045916080E-1,-5.278669596E-1
1.840076000E0,1.240337491E0,5.068532228E-1,-5.303103924E-1
1.849847000E0,1.209183335E0,3.889562190E-1,-5.370299220E-1
1.859904000E0,1.125494719E0,2.515115440E-1,-5.639079809E-1
1.869839000E0,1.001489162E0,1.116233990E-1,-6.201075912E-1
1.880266000E0,8.444967866E-1,-1.649428159E-4,-7.044069767E-1
1.889801000E0,6.789522767E-1,-9.851425141E-2,-7.838194966E-1
1.899931000E0,5.323446393E-1,-1.809810549E-1,-8.302452564E-1
1.909867000E0,4.217780530E-1,-2.329045832E-1,-8.296343684E-1
1.919885000E0,3.503068089E-1,-2.591718137E-1,-7.954258919E-1
1.929861000E0,3.008267283E-1,-2.713890970E-1,-7.245655656E-1
1.939837000E0,2.641748190E-1,-2.628369927E-1,-6.176641583E-1
1.949879000E0,2.330206782E-1,-2.518414259E-1,-4.863281250E-1
1.959892000E0,1.982013434E-1,-2.512305379E-1,-3.482725918E-1
1.969878000E0,1.432234794E-1,-2.573392093E-1,-2.352625132E-1
1.979970000E0,-3.637089953E-2,-2.915476561E-1,-1.344697475E-1
1.989819000E0,-1.359419376E-1,-4.735855162E-1,-1.411892623E-1
2.000351000E0,-2.275717258E-1,-5.884281993E-1,-1.802846491E-1
2.009816000E0,-3.002646863E-1,-6.794471145E-1,-2.370951176E-1
2.019969000E0,-3.418035209E-1,-7.380901575E-1,-2.853534818E-1
2.029861000E0,-3.503556252E-1,-7.533618212E-1,-3.103989363E-1
2.040287000E0,-3.314188123E-1,-7.362576127E-1,-3.018468320E-1
2.049923000E0,-2.929342985E-1,-6.996056437E-1,-2.535884678E-1
2.059917000E0,-2.403998971E-1,-6.275236011E-1,-1.735651195E-1
2.070031000E0,-1.713721305E-1,-5.114591718E-1,-8.560052514E-2
2.079990000E0,-1.005117446E-1,-4.033359885E-1,-1.911988482E-3
2.089860000E0,-2.965138294E-2,-3.294213116E-1,7.383529842E-2
