"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.785446167E0,3.690383911E0,6.535629272E0
4.821777000E-3,-1.785446167E0,3.690383911E0,6.535629272E0
9.704589000E-3,-1.785446167E0,3.690383911E0,6.535629272E0
1.458740200E-2,-1.785446167E0,3.690383911E0,6.535629272E0
1.947021400E-2,-1.785446167E0,3.690383911E0,6.535629272E0
2.435302700E-2,-1.785446167E0,3.690383911E0,6.535629272E0
2.923583900E-2,-2.055847168E0,4.815017700E0,9.952575684E0
3.411865200E-2,-2.141983032E0,5.061477661E0,1.006025696E1
3.900146400E-2,-2.098907471E0,5.071044922E0,9.978897095E0
4.388427700E-2,-1.907485962E0,4.783905029E0,9.835327148E0
4.876708900E-2,-1.462417603E0,4.379531860E0,9.641510010E0
5.364990200E-2,-9.718933105E-1,3.824386597E0,9.488372803E0
5.853271400E-2,-5.794677734E-1,3.422393799E0,9.270614624E0
6.341552700E-2,-3.869628906E-2,3.001251221E0,9.110305786E0
6.829833900E-2,5.116577148E-1,2.560974121E0,8.859054565E0
7.318115200E-2,9.304046631E-1,2.127883911E0,8.574310303E0
7.806396400E-2,1.294113159E0,1.934066772E0,8.287170410E0
8.294677700E-2,1.643463135E0,1.871841431E0,7.966537476E0
8.782958900E-2,1.909072876E0,1.831161499E0,7.842102051E0
9.271240200E-2,2.078964233E0,1.843124390E0,7.913894653E0
9.756469700E-2,2.174667358E0,1.867065430E0,8.074203491E0
1.024475090E-1,2.205780029E0,1.895767212E0,8.179489136E0
1.073303220E-1,2.038284302E0,1.919708252E0,8.038314819E0
1.122131340E-1,1.243865967E0,2.199661255E0,6.820373535E0
1.170959470E-1,1.097900391E0,2.644729614E0,6.291549683E0
1.219787590E-1,1.760711670E0,2.639938354E0,6.995040894E0
1.268615720E-1,2.004776001E0,2.513122559E0,7.796646118E0
1.317443840E-1,2.368484497E0,2.367156982E0,9.060058594E0
1.366271970E-1,2.753738403E0,2.465270996E0,1.017988586E1
1.415100090E-1,3.062408447E0,2.687805176E0,1.054359436E1
1.463928220E-1,2.954727173E0,3.128082275E0,1.049334717E1
1.512756340E-1,2.725021362E0,3.025192261E0,1.052445984E1
1.561584470E-1,2.495315552E0,2.685409546E0,1.082116699E1
1.610412590E-1,2.356521606E0,2.470046997E0,1.115615845E1
1.659240720E-1,2.452239990E0,2.369552612E0,1.130931091E1
1.708068840E-1,2.500091553E0,2.319305420E0,1.108917236E1
1.756896970E-1,1.880355835E0,2.807434082E0,1.082835388E1
1.805725090E-1,1.877960205E0,2.415023804E0,1.026364136E1
1.854553220E-1,2.129211426E0,1.900558472E0,9.928649902E0
1.903381340E-1,2.437881470E0,1.563171387E0,9.749191284E0
1.951904290E-1,2.734588623E0,2.245132446E0,1.019903564E1
2.000732420E-1,2.126815796E0,2.668655396E0,1.064170837E1
2.049560540E-1,1.813354492E0,1.922088623E0,1.081399536E1
2.098388670E-1,2.492919922E0,1.103744507E0,1.125904846E1
2.147216790E-1,3.555328369E0,3.882904053E-1,1.137869263E1
2.196044920E-1,4.423919678E0,-1.500854492E-1,1.109394836E1
2.244873040E-1,5.218338013E0,-5.161895752E-1,1.064170837E1
2.293701170E-1,5.771087646E0,-8.105010986E-1,1.024928284E1
2.342529290E-1,6.070190430E0,-1.169433594E0,9.919082642E0
2.391357420E-1,5.969680786E0,-1.391967773E0,9.742004395E0
2.440185540E-1,5.684936523E0,-1.403930664E0,9.483581543E0
2.489013670E-1,5.337982178E0,-1.164642334E0,9.112701416E0
2.537841790E-1,4.892913818E0,-6.238708496E-1,8.737014771E0
2.586669920E-1,4.328216553E0,1.442260742E-1,8.421173096E0
2.635498040E-1,3.842468262E0,8.836059570E-1,8.258453369E0
2.684326170E-1,3.438079834E0,1.261672974E0,8.485778809E0
2.732849120E-1,3.320831299E0,1.565567017E0,8.973907471E0
2.781982420E-1,2.703491211E0,1.520095825E0,9.237121582E0
2.830810540E-1,2.655624390E0,1.271240234E0,9.517074585E0
2.879638670E-1,3.194015503E0,1.003250122E0,9.596038818E0
2.928161620E-1,3.751541138E0,7.328643799E-1,9.395050049E0
2.976989740E-1,4.134399414E0,3.380432129E-1,8.923660278E0
3.025817870E-1,4.306671143E0,-2.816925049E-1,8.074203491E0
3.074645990E-1,5.014953613E0,-6.501922607E-1,7.219970703E0
3.123474120E-1,5.967300415E0,-6.645507812E-1,6.918472290E0
3.172302240E-1,6.395614624E0,-7.028350830E-1,6.899337769E0
3.221130370E-1,6.371688843E0,-9.995422363E-1,6.896942139E0
3.269958490E-1,6.357330322E0,-1.291473389E0,6.880187988E0
3.318786620E-1,6.412353516E0,-1.406326294E0,6.932830811E0
3.367614740E-1,6.737777710E0,-1.624069214E0,6.686370850E0
3.416442870E-1,7.103881836E0,-1.714996338E0,6.021163940E0
3.465270990E-1,7.426910400E0,-1.731750488E0,4.942001343E0
