"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,5.307662659E0,-1.074121353E1,-1.439406738E0
1.001700001E-2,4.271966400E0,-9.785151672E0,-5.664221191E-1
2.003300001E-2,3.374283142E0,-9.134903870E0,9.116043091E-2
3.005000000E-2,2.307301941E0,-8.805888062E0,3.529660034E-1
4.006675001E-2,1.281784515E0,-8.500972137E0,5.022056580E-1
5.008375000E-2,7.388635254E-1,-7.934400330E0,7.216493225E-1
6.009975000E-2,4.334985352E-1,-7.706574097E0,6.321354675E-1
7.011675001E-2,3.701802063E-1,-8.431217194E0,-2.426454163E-1
8.013375000E-2,4.544549561E-1,-8.690328369E0,-1.177601166E0
9.015075001E-2,1.426533508E-1,-8.912167053E0,-9.635462952E-1
1.001667500E-1,-8.681945801E-3,-9.127269745E0,-6.050418091E-1
1.101837500E-1,-3.248245239E-2,-9.336983643E0,-5.703140259E-1
1.202007500E-1,1.058299255E-1,-9.999505920E0,-5.545967102E-1
1.302177500E-1,4.933740234E-1,-1.026310776E1,-6.146218872E-1
1.402337500E-1,7.466473389E-1,-1.002061203E1,-4.324507141E-1
1.502507500E-1,8.000862122E-1,-9.759854279E0,-7.110214233E-2
1.602677500E-1,8.810678101E-1,-9.357640686E0,3.474275208E-1
1.702847500E-1,1.031205597E0,-9.164242859E0,5.920188904E-1
1.803007500E-1,1.200653229E0,-9.014853516E0,7.035369873E-1
1.903177500E-1,1.371747437E0,-8.908275146E0,7.692503357E-1
2.003347500E-1,1.596430206E0,-8.868158569E0,8.382568359E-1
2.103507500E-1,1.954785004E0,-8.874295807E0,8.234376526E-1
2.203677500E-1,2.466870117E0,-9.138945465E0,6.643185425E-1
2.303847500E-1,3.156336365E0,-9.615404663E0,5.423222351E-1
2.404017500E-1,3.859873352E0,-1.020308258E1,5.080435181E-1
2.504177500E-1,4.364324341E0,-1.057460999E1,5.345384216E-1
2.604347500E-1,4.542154541E0,-1.075393707E1,5.721102905E-1
2.704517500E-1,4.461771698E0,-1.085138443E1,7.262896729E-1
2.804687500E-1,4.195924530E0,-1.089090225E1,9.183403015E-1
2.904847500E-1,3.862418060E0,-1.080707657E1,1.015787659E0
3.005017500E-1,3.477718048E0,-1.053254745E1,1.076860657E0
3.105187500E-1,3.131787415E0,-1.027283752E1,1.197509766E0
3.205357500E-1,2.828518066E0,-1.010743149E1,1.455872498E0
3.305517500E-1,2.675386505E0,-1.018422180E1,1.705403595E0
3.405687500E-1,2.721790009E0,-1.032208511E1,1.772913208E0
3.505857500E-1,2.853067017E0,-1.037746994E1,1.594184875E0
3.606027500E-1,2.868185577E0,-1.042716660E1,1.080153809E0
3.706187500E-1,2.507286072E0,-1.069001999E1,5.601351929E-1
3.806357500E-1,1.835333405E0,-1.084809128E1,5.254074097E-2
3.906527500E-1,1.075363770E0,-1.088730972E1,-5.703140259E-1
4.006697500E-1,1.393601990E-1,-1.109507767E1,-1.338067474E0
4.106857500E-1,-7.385641479E-1,-1.144834305E1,-1.993404694E0
4.207027500E-1,-1.383572845E0,-1.165940414E1,-2.249522095E0
4.307197500E-1,-1.502276001E0,-1.145298340E1,-2.101180573E0
4.407367500E-1,-1.183139648E0,-1.065798660E1,-1.541195068E0
4.507527500E-1,-8.469387817E-1,-9.565857697E0,-1.161434784E0
4.607697500E-1,-3.855981445E-1,-8.638087006E0,-1.098565521E0
4.707867500E-1,1.068777466E-1,-7.781867523E0,-1.106499023E0
4.808027500E-1,6.477030945E-1,-7.152426453E0,-1.145418091E0
4.908197500E-1,1.192270660E0,-6.997049561E0,-1.312321014E0
5.008367500E-1,1.479822693E0,-7.281907196E0,-1.629810791E0
5.108537500E-1,1.326990509E0,-7.730374603E0,-1.911674652E0
5.208697500E-1,6.662644958E-1,-8.375982056E0,-1.894610138E0
5.308867500E-1,-1.209484863E-1,-9.419312439E0,-1.703158264E0
