"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.839977500E-1,2.236858606E0,-2.834668756E-1,1.929284930E0
8.939767500E-1,2.511950731E0,-9.325250387E-1,1.615768790E0
9.039867500E-1,2.554429293E0,-7.776720524E-1,1.184511662E0
9.139967500E-1,2.763182878E0,6.134093404E-1,1.343054652E0
9.239757500E-1,2.313383579E0,7.402708530E-1,1.425761819E0
9.339857500E-1,1.092926741E0,-5.829342604E-1,1.109733820E0
9.439957500E-1,1.752846122E0,-1.301185250E0,1.088821173E0
9.539747500E-1,2.064748049E0,-2.511723518E0,8.889461160E-1
9.639847500E-1,1.992952585E0,-2.773109913E0,9.146788716E-1
9.739937500E-1,1.247103930E0,-1.995132327E0,1.130372047E0
9.839737500E-1,5.100083351E-1,-1.093652010E0,1.356425405E0
9.939827500E-1,1.945468187E-1,-1.594726205E0,1.097222328E0
1.003992750E0,3.785162568E-1,-2.452686310E0,6.467522979E-1
1.013971750E0,4.991052449E-1,-2.802496195E0,2.957170606E-1
1.023981750E0,2.500286102E-1,-2.549310684E0,1.630425826E-2
1.033991750E0,-2.224529237E-1,-2.407995462E0,-3.451708555E-1
1.043970750E0,-4.691162407E-1,-2.763100147E0,-7.332745790E-1
1.053980750E0,-5.187247992E-1,-3.328331947E0,-1.077038050E0
1.063990750E0,-4.904514253E-1,-3.818874598E0,-1.526704192E0
1.074000750E0,-4.763901830E-1,-3.958137751E0,-1.286977291E0
1.083979750E0,-7.116387486E-1,-4.169319153E0,-8.772187233E-1
1.093989750E0,-1.261001825E0,-4.331135750E0,-6.419425607E-1
1.103998750E0,-3.010629177E0,-4.552780628E0,-1.461860061E0
1.113978750E0,-3.218148232E0,-4.992116928E0,-2.336446762E0
1.123987750E0,-1.858525515E0,-5.162208557E0,-2.025762081E0
1.133997750E0,-1.154187560E0,-5.087100983E0,-1.556441665E0
1.143976750E0,-6.219529510E-1,-4.238753796E0,-1.441997409E0
1.153986750E0,-6.250358224E-1,-3.161315441E0,-2.020605326E0
1.163996750E0,-3.823489547E-1,-1.601675391E0,-2.570321560E0
1.173975750E0,-6.512593031E-1,-8.042932749E-1,-2.285769939E0
1.183985750E0,-6.715483069E-1,-4.805726409E-1,-1.668191314E0
1.193995750E0,-9.323551655E-1,-5.937801600E-1,-1.131215692E0
1.203974750E0,-8.860461712E-1,-4.682677090E-1,-5.636219978E-1
1.213984750E0,-9.014198184E-1,-5.323803425E-1,-3.341469765E-1
1.223993750E0,-9.853615761E-1,-6.741619706E-1,-2.453713268E-1
1.233973750E0,-9.617824554E-1,-6.914021969E-1,-1.059367359E-1
1.243982750E0,-9.358657002E-1,-1.002110720E0,-5.395273864E-2
1.253992750E0,-7.749660611E-1,-1.381516576E0,-2.213515714E-2
1.264002750E0,-9.698187709E-1,-1.531555295E0,3.745028973E-1
1.273981750E0,-1.424113870E0,-1.080098033E0,1.008438468E0
1.283991750E0,-1.575938106E0,7.763422728E-1,1.861483812E0
1.294001750E0,-1.566218972E0,1.875728726E0,2.180345774E0
1.303980750E0,-1.264292955E0,2.157213449E0,1.873417974E0
1.313947625E0,-9.172008634E-1,1.002373695E0,1.030806899E0
1.323957625E0,-4.356143773E-1,1.826521307E-1,1.096067548E0
1.333936625E0,4.384390712E-1,-9.895744324E-1,5.539954305E-1
1.343946625E0,8.965221047E-1,-1.887757540E0,3.265888095E-1
1.353955625E0,4.649609029E-1,-1.269581676E0,5.417757034E-1
1.363935625E0,-4.510366917E-1,7.005538344E-1,1.299820662E0
1.373944625E0,-1.309839606E0,2.720609188E0,1.914355159E0
1.383954625E0,-1.714070797E0,3.300267220E0,2.083413601E0
1.393933625E0,-1.922333241E0,3.610159636E0,2.080352545E0
1.403943625E0,-2.070424795E0,3.504815340E0,1.184867263E0
1.413953625E0,-1.891270638E0,3.105630636E0,5.235798359E-1
1.423932625E0,-1.795013070E0,2.975450993E0,3.812707216E-2
1.433942625E0,-2.033834219E0,2.994530439E0,-8.727957606E-1
1.443952625E0,-2.412331104E0,2.732854366E0,-1.500865221E0
1.453931625E0,-3.055548906E0,3.298054218E0,-1.879674315E0
1.463941625E0,-3.054074049E0,3.201917887E0,-2.165808439E0
1.473950625E0,-2.197322845E0,1.699225068E0,-2.290718317E0
1.483960625E0,-9.462976456E-1,-3.402054012E-1,-2.278368235E0
1.493939625E0,-2.760109119E-2,-8.500867486E-1,-2.314992905E0
1.503949625E0,6.994866133E-1,-8.559985757E-1,-2.509614944E0
1.513959625E0,1.415551782E0,-1.180976868E0,-2.158534288E0
1.523938625E0,1.962765455E0,-1.407244921E0,-1.366394877E0
1.533948625E0,2.148236752E0,-1.321652532E0,-2.669252753E-1
1.543958625E0,1.858216882E0,-1.204756379E0,9.571793675E-1
1.553937625E0,1.442310452E0,-9.069443941E-1,1.914223075E0
1.563947625E0,1.170816660E0,-5.430102348E-1,2.371116877E0
1.573957625E0,9.509801865E-1,-6.946136355E-1,2.719866276E0
1.583936625E0,7.149877548E-1,-1.125841618E0,3.084897757E0
1.593946625E0,2.300064415E-1,-2.110909700E0,3.486593723E0
1.603955625E0,2.206224948E-1,-3.094674587E0,3.542243004E0
1.613935625E0,6.392890215E-1,-2.450096369E0,2.670463562E0
1.623944625E0,7.608808875E-1,-1.397576809E0,9.547775984E-1
1.633954625E0,5.394749641E-1,-4.264983833E-1,-1.832696795E-1
1.643933625E0,1.627825648E-1,-1.951614916E-1,-9.979724884E-2
1.653943625E0,-2.722651698E-2,5.353265405E-1,-1.453471482E-1
