"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.316284200E-2,-4.357299805E-1,1.929168701E-1,5.468902588E-1
2.822876000E-2,-4.474487305E-1,2.024993896E-1,5.516815186E-1
3.332519500E-2,-4.740753174E-1,2.328643799E-1,5.484771729E-1
3.839111300E-2,-5.102844238E-1,2.642974854E-1,5.362243652E-1
4.348754900E-2,-5.385284424E-1,2.845306396E-1,5.159912109E-1
4.852294900E-2,-5.592956543E-1,3.106231689E-1,4.866943359E-1
5.358886700E-2,-5.859222412E-1,3.532409668E-1,4.579315186E-1
5.865478500E-2,-6.077575684E-1,4.107666016E-1,4.339599609E-1
6.375122100E-2,-6.189422607E-1,4.981231689E-1,4.051971436E-1
6.884765600E-2,-6.264038086E-1,6.094360352E-1,3.721771240E-1
7.394409200E-2,-6.375885010E-1,7.100982666E-1,3.242492676E-1
7.904052700E-2,-6.535644531E-1,8.038482666E-1,2.581939697E-1
8.410644500E-2,-6.599578857E-1,9.130401611E-1,2.054595947E-1
8.920288100E-2,-6.573028564E-1,1.022766113E0,1.697845459E-1
9.426879900E-2,-6.604919434E-1,1.082412720E0,1.388854980E-1
9.936523400E-2,-6.786041260E-1,1.097854614E0,1.165161133E-1
1.044311520E-1,-6.897888184E-1,1.064300537E0,1.016082764E-1
1.094970700E-1,-6.791381836E-1,9.769592285E-1,1.000061035E-1
1.145629880E-1,-6.658172607E-1,8.416595459E-1,1.058654785E-1
1.196289060E-1,-6.423797607E-1,6.749572754E-1,1.181182861E-1
1.246948240E-1,-6.088256836E-1,5.327301025E-1,1.415557861E-1
1.297912600E-1,-5.646209717E-1,4.246063232E-1,1.703186035E-1
1.348876950E-1,-5.007019043E-1,3.607025146E-1,2.044067383E-1
1.399841310E-1,-4.266662598E-1,3.436584473E-1,2.422180176E-1
1.450805660E-1,-3.462371826E-1,3.660278320E-1,2.794952393E-1
1.501464840E-1,-2.722015381E-1,4.113006592E-1,3.087921143E-1
1.552124020E-1,-1.997680664E-1,4.539031982E-1,3.290405273E-1
1.603088380E-1,-1.363830566E-1,4.895935059E-1,3.391571045E-1
1.653747560E-1,-9.643554688E-2,4.922637939E-1,3.423461914E-1
1.704711910E-1,-6.660461426E-2,4.118347168E-1,3.396911621E-1
1.755065920E-1,-5.169677734E-2,2.467193604E-1,3.301086426E-1
1.806030270E-1,-5.541992188E-2,3.312683105E-2,3.183898926E-1
1.856689450E-1,-6.448364258E-2,-1.692657471E-1,3.056030273E-1
1.907653810E-1,-7.353210449E-2,-2.976379395E-1,2.906799316E-1
1.958618160E-1,-8.792114258E-2,-3.748626709E-1,2.736358643E-1
2.009277340E-1,-1.065521240E-1,-4.377136230E-1,2.576599121E-1
2.060241700E-1,-1.315917969E-1,-5.074920654E-1,2.464752197E-1
2.110900880E-1,-1.630096436E-1,-5.911102295E-1,2.416839600E-1
2.161865230E-1,-1.992340088E-1,-6.896514893E-1,2.448883057E-1
2.212524410E-1,-2.386474609E-1,-7.897949219E-1,2.587280273E-1
2.263488770E-1,-2.764587402E-1,-8.792724609E-1,2.810974121E-1
2.314147950E-1,-3.084259033E-1,-9.234771729E-1,3.135833740E-1
2.364807130E-1,-3.281250000E-1,-8.931121826E-1,3.562011719E-1
2.415771480E-1,-3.222656250E-1,-7.743377686E-1,4.073333740E-1
2.466430660E-1,-2.897796631E-1,-6.198730469E-1,4.563293457E-1
