,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
8667,44.008056,0.2873041928,4.635174274,8.403648376
8668,44.013,0.2466027737,4.630385876,8.51617527
8669,44.018005,0.27054479719999996,4.630385876,8.599972725
8670,44.02301,0.2729389966,4.647145271,8.702922821
8671,44.028015,0.29209262129999997,4.733336926000001,8.789113998
8672,44.03302,0.43095630409999997,4.745307922,8.841787338
8673,44.039004,0.6584054828,4.623203278,8.731653214
8674,44.045046,0.8595184088,4.57531929,8.599972725
8675,44.050051,0.9385270476,4.584896088,8.540117264
8676,44.055056,0.9337386489,4.548983097,8.559270859
8677,44.06,0.8188169598999999,4.477157116,8.590395927000001
8678,44.065004,0.6584054828,4.350264548999999,8.616731644
8679,44.070009,0.4860229492,4.283226967,8.652645111
8680,44.076052,0.2418143749,4.371812343999999,8.743624687
8681,44.081057,0.06943184882,4.532223701,8.899248123
8682,44.086,-0.1364694983,4.663905144,9.028534889
8683,44.091005,-0.1723825186,4.659116745,8.896853447
8684,44.09601,-0.07900865376,4.594472885,8.741230011
8685,44.100954,0.04548983276000001,4.534617901,8.494627953
8686,44.107058,0.2250549644,4.419696331,8.180987358
8687,44.112001,0.29209262129999997,4.402936935,8.020575523
8688,44.117006,0.2968810201,4.34787035,7.8960771560000005
8689,44.123049,0.3016694188,4.311957359,7.824251175
8690,44.128054,0.29209262129999997,4.319139957,7.869740963
8691,44.133058,0.2418143749,4.34787035,8.037335396
8692,44.138002,0.23942017559999998,4.400542736,8.240841866
8693,44.143007,0.14604631070000001,4.448426723,8.446743965
8694,44.148012,0.052672438319999994,4.450820923,8.66940403
8695,44.153017,-0.1101332754,4.417302132,8.870517731
8696,44.158022,-0.21068975329999998,4.350264548999999,8.975862503
8697,44.163027,-0.21068975329999998,4.249708176,9.02374649
8698,44.168032,-0.09337386489,4.139574528,8.923190117
8699,44.173036,-0.055066637689999996,4.158728123,8.793902397
8700,44.178041,-0.047884032130000004,4.252102375,8.66940403
8701,44.183046,0.01197100803,4.335899353,8.549694061
8702,44.188051,0.1364694983,4.388571739,8.520963669
8703,44.192934,0.2968810201,4.364629745,8.552088737
8704,44.198,0.3543418646,4.402936935,8.614337921
8705,44.203005,0.323217243,4.474762917,8.664615631
8706,44.209047,0.2777273953,4.527435303,8.645462036
8707,44.215028,0.2011129409,4.4891281130000005,8.599972725
8708,44.220033,0.1436520964,4.472368717,8.585607528999999
8709,44.226015,0.09337386489,4.448426723,8.564059258
8710,44.23102,0.0191536136,4.412513733,8.55448246
8711,44.236024,0.02394201607,4.412513733,8.518569946
8712,44.241029,-0.0287304204,4.441244125,8.50420475
8713,44.245973,-0.007182605098999999,4.434061527,8.537723541
8714,44.251039,0.03112462163,4.446032524,8.645462036
8715,44.256044,0.05027823523,4.436455727,8.710105896
8716,44.261049,0.0,4.436455727,8.750806808
8717,44.26703,-0.047884032130000004,4.46279192,8.7843256
8718,44.272035,-0.06464344262999999,4.481945515,8.736441612
8719,44.27704,-0.05027823523,4.4316673280000005,8.6957407
8720,44.282045,-0.047884032130000004,4.398148537,8.623914719
