"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-3.875235558E0,4.153173923E0,7.314449310E0
3.970313000E-3,-3.821117163E0,4.165384293E0,7.288754463E0
7.940625000E-3,-3.798286200E0,4.134633064E0,7.270702362E0
1.191093800E-2,-3.946573257E0,3.999763012E0,7.277472973E0
1.588125000E-2,-4.096785545E0,3.934650183E0,7.288189411E0
1.985312500E-2,-4.565388203E0,3.454804420E0,7.004418850E0
2.382343800E-2,-4.622533321E0,3.296126127E0,6.453369617E0
2.779375000E-2,-4.365280628E0,3.481159687E0,6.168564796E0
3.176406300E-2,-4.223161221E0,3.759222269E0,6.235794067E0
3.573437500E-2,-4.269829273E0,4.078695297E0,6.551234722E0
3.970468800E-2,-4.455752850E0,4.421841145E0,7.024961472E0
4.367500000E-2,-4.657823563E0,4.638918877E0,7.320932388E0
4.764531300E-2,-4.806503296E0,4.794446468E0,7.486525059E0
5.161562500E-2,-4.858381271E0,4.847789288E0,7.508140087E0
5.558750000E-2,-4.853956699E0,4.784859657E0,7.464488983E0
5.955781300E-2,-4.849762440E0,4.644214630E0,7.359374046E0
6.352812500E-2,-4.821721077E0,4.452774525E0,7.242804527E0
6.749843800E-2,-4.657335281E0,4.174003601E0,7.161028385E0
7.146875000E-2,-4.512850285E0,3.952616215E0,7.112177372E0
7.543906300E-2,-4.538084984E0,3.925322533E0,7.104286194E0
7.941093800E-2,-4.643046379E0,4.012624741E0,7.150245190E0
8.338125000E-2,-4.720734119E0,4.126282215E0,7.270175457E0
8.735156300E-2,-4.780876160E0,4.219273090E0,7.411538601E0
9.132187500E-2,-4.828597069E0,4.294134617E0,7.532541275E0
9.529218800E-2,-4.829746723E0,4.299191475E0,7.568483353E0
9.926250000E-2,-4.846218586E0,4.283657551E0,7.516739845E0
1.032328130E-1,-4.812163353E0,4.220508099E0,7.433928967E0
1.072046880E-1,-4.774718285E0,4.155309677E0,7.340334892E0
1.111750000E-1,-4.744407654E0,4.076329708E0,7.179913998E0
1.151453130E-1,-4.695843697E0,3.988462448E0,6.944650173E0
1.191156250E-1,-4.656597614E0,3.922611952E0,6.699608326E0
1.230859380E-1,-4.580682755E0,3.881728649E0,6.567505836E0
1.270562500E-1,-4.453627110E0,3.866664648E0,6.447489262E0
1.310265630E-1,-4.416986465E0,3.939994097E0,6.381036282E0
1.349968750E-1,-4.444318295E0,4.039717197E0,6.250264645E0
1.389687500E-1,-4.503684998E0,4.121369362E0,6.141347885E0
1.429375000E-1,-4.562917709E0,4.242860794E0,6.010653019E0
1.469093750E-1,-4.602613449E0,4.314485550E0,5.896535873E0
1.508796880E-1,-4.683173180E0,4.355646610E0,5.628212929E0
1.548500000E-1,-4.810880184E0,4.345772743E0,5.162837505E0
1.588218750E-1,-4.862116337E0,4.262148380E0,4.707431793E0
1.627906250E-1,-4.892646790E0,4.181769848E0,4.477186203E0
1.667609380E-1,-4.896726608E0,4.196700096E0,4.515254021E0
1.707328130E-1,-4.997541428E0,4.377213478E0,4.832725048E0
1.747031250E-1,-5.169885635E0,4.611155987E0,5.141969681E0
1.786734380E-1,-5.457314491E0,4.919328213E0,5.470769882E0
1.826437500E-1,-5.803027630E0,5.173228264E0,5.824537277E0
1.866140630E-1,-6.238581181E0,5.210797787E0,6.092544556E0
1.905843750E-1,-7.017146587E0,5.161477566E0,6.541619778E0
1.945562500E-1,-8.456579208E0,5.284836292E0,7.528375626E0
1.985265630E-1,-9.438603401E0,5.375777721E0,7.948576927E0
2.024968750E-1,-9.164573669E0,5.384962082E0,7.692139149E0
2.064671880E-1,-8.386035919E0,5.424159527E0,7.284924030E0
2.104375000E-1,-7.741258621E0,5.345428944E0,6.925506115E0
2.144078130E-1,-7.406213760E0,5.203328133E0,6.709932327E0
2.183796880E-1,-7.177060127E0,4.962969303E0,6.657164097E0
2.223484380E-1,-7.109773636E0,4.694924355E0,6.560601234E0
2.263203130E-1,-7.140275478E0,4.572714329E0,6.525281906E0
2.302906250E-1,-7.091108322E0,4.538266659E0,6.480069637E0
2.342609380E-1,-6.993022442E0,4.616920948E0,6.414487839E0
2.382312500E-1,-6.906965256E0,4.717639923E0,6.440852642E0
2.422015630E-1,-6.873944759E0,4.778462887E0,6.443716526E0
2.461718750E-1,-6.893012047E0,4.797510624E0,6.465436459E0
2.501437500E-1,-7.018382072E0,4.853850842E0,6.560457706E0
2.541140630E-1,-7.350553513E0,5.059733391E0,6.791919231E0
2.580843750E-1,-7.724164009E0,5.274895668E0,7.089556694E0
2.620546880E-1,-8.241627693E0,5.552632809E0,7.472466469E0
2.660250000E-1,-8.609741211E0,5.724775791E0,7.518186092E0
2.699953130E-1,-8.794669151E0,5.819078445E0,7.037392139E0
2.739656250E-1,-8.740503311E0,5.851457596E0,6.147457600E0
2.779375000E-1,-8.584228516E0,5.871942520E0,5.136271477E0
2.819062500E-1,-8.480673790E0,5.910038948E0,4.250828743E0
2.858781250E-1,-8.344693184E0,5.955701351E0,3.227766752E0
2.898484380E-1,-8.217455864E0,6.010623932E0,2.551366806E0
2.938187500E-1,-8.095265388E0,6.047504425E0,2.244812965E0
