"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.853745222E0,5.484594822E0,9.110654831E0
2.474720000E-3,-1.729204178E0,5.597160816E0,9.232800484E0
4.949440000E-3,-1.650168538E0,5.455854893E0,9.244775772E0
7.424152000E-3,-1.516047478E0,5.393584251E0,9.216035843E0
9.898872000E-3,-1.346001029E0,5.221142769E0,9.249566078E0
1.237358400E-2,-4.861889780E-1,4.852309704E0,9.328601837E0
1.484830400E-2,3.400927782E-1,4.603227615E0,9.445957184E0
1.732301600E-2,1.341211051E-1,4.433181286E0,9.510622978E0
1.979773600E-2,-1.772314459E-1,4.243974686E0,9.956096649E0
2.227244800E-2,-4.119433761E-1,4.140988827E0,1.008063793E1
2.474716800E-2,-5.460644960E-1,3.997287750E0,9.929751396E0
2.722188000E-2,-6.801855564E-1,3.877536774E0,9.491462708E0
2.969660000E-2,-8.190967441E-1,3.784131050E0,9.081914902E0
3.217132000E-2,-9.819580317E-1,3.786525965E0,8.710686684E0
3.464603200E-2,-1.161584496E0,3.721860409E0,8.363408089E0
3.712075200E-2,-1.271755457E0,3.695515394E0,8.080796242E0
3.959547200E-2,-1.446591854E0,3.638034821E0,7.699987888E0
4.207017600E-2,-1.700463891E0,3.645219803E0,7.379055500E0
4.454489600E-2,-1.877695441E0,3.587739468E0,7.149133682E0
4.701961600E-2,-2.138752460E0,3.403322935E0,6.926396847E0
4.949433600E-2,-2.239343405E0,3.456013441E0,6.864126205E0
5.196904000E-2,-2.392624617E0,3.381767750E0,6.547983646E0
5.444376000E-2,-2.622546434E0,3.456013441E0,6.444997787E0
5.691848000E-2,-2.720742226E0,3.475173473E0,6.411467552E0
5.939320000E-2,-2.890788794E0,3.499123573E0,6.294111729E0
6.186792000E-2,-2.857258320E0,3.508703709E0,6.365962029E0
6.434262400E-2,-3.010539770E0,3.570974350E0,6.440207958E0
6.681734400E-2,-2.996169567E0,3.676355124E0,6.540798664E0
6.929206400E-2,-3.120710611E0,3.805686235E0,6.682104588E0
7.176678400E-2,-3.036884785E0,3.858376741E0,6.619834423E0
7.424148800E-2,-2.988984585E0,3.990102768E0,6.799460888E0
7.671620800E-2,-2.902763844E0,4.047583103E0,6.849756241E0
7.919092800E-2,-2.897973776E0,4.164938927E0,6.926396847E0
8.166564800E-2,-2.773432732E0,4.241580009E0,7.223379135E0
8.413753800E-2,-2.632126570E0,4.174519062E0,7.333549976E0
8.661225800E-2,-2.469265223E0,4.406836033E0,7.369475365E0
8.908697800E-2,-2.236948252E0,4.476291656E0,7.568262100E0
9.156169800E-2,-2.030976534E0,4.517006874E0,7.589817047E0
9.403641800E-2,-1.875300407E0,4.569697380E0,7.642507553E0
9.651112200E-2,-1.678908706E0,4.617598057E0,7.565866947E0
9.898750600E-2,-1.513652444E0,4.608017921E0,7.594607353E0
1.014622580E-1,-1.367556214E0,4.672683239E0,7.774233818E0
1.039369940E-1,-1.322050810E0,4.737349033E0,7.920330048E0
1.064117300E-1,-1.235830188E0,4.684658527E0,8.076005936E0
1.088864820E-1,-1.147214413E0,4.660708427E0,8.059241295E0
1.113612180E-1,-1.456171989E0,4.380490780E0,8.198152542E0
1.138359540E-1,-2.584226131E0,3.626059771E0,8.954977989E0
1.163107060E-1,-3.005749702E0,3.096760273E0,9.917776108E0
1.187854420E-1,-2.727927446E0,3.211721420E0,9.939331055E0
1.212601780E-1,-1.975891232E0,3.487148523E0,8.950188637E0
1.237349140E-1,-1.422641635E0,3.724255562E0,8.073611259E0
1.262096660E-1,-1.312470794E0,3.621269703E0,7.426955700E0
1.286844020E-1,-1.623823285E0,3.182981014E0,7.597002506E0
1.311591380E-1,-1.992656350E0,2.981799364E0,7.726333141E0
1.336338900E-1,-2.193837881E0,2.718347311E0,7.750283718E0
1.361086260E-1,-2.212998152E0,2.852468491E0,7.486831188E0
1.385833620E-1,-2.177072763E0,2.902763844E0,7.139553547E0
1.410581140E-1,-1.983076215E0,3.070415258E0,6.617439270E0
1.435328500E-1,-1.963916063E0,3.118315458E0,6.389912605E0
1.460075860E-1,-1.839375019E0,3.300337076E0,6.370752335E0
1.484823380E-1,-1.642983437E0,3.319497108E0,6.507268429E0
1.509570740E-1,-1.595083117E0,3.441643238E0,6.749165535E0
1.534318100E-1,-1.389111400E0,3.580554247E0,7.187453747E0
1.559065620E-1,-1.281335473E0,3.733835697E0,7.278464794E0
1.583812980E-1,-1.022673368E0,3.980522633E0,7.156318665E0
1.608560340E-1,-8.167017102E-1,4.083508492E0,7.474856377E0
1.633307860E-1,-6.753955483E-1,4.368515968E0,7.723938465E0
1.658055220E-1,-3.305127025E-1,4.421206474E0,8.020920753E0
1.682802580E-1,1.916015707E-2,4.610412598E0,8.370594025E0
1.707549940E-1,3.999682665E-1,4.581672668E0,8.349038124E0
1.732297460E-1,8.622070551E-1,4.720583916E0,8.578960419E0
1.757044980E-1,1.317260742E0,4.631968021E0,8.856782913E0
1.781792180E-1,1.475332141E0,4.653522968E0,9.292675972E0
1.806539700E-1,1.801054716E0,4.689448357E0,9.568103790E0
1.831287220E-1,2.212998152E0,4.713398457E0,9.436377525E0
1.856034420E-1,2.533930779E0,4.619992733E0,9.898615837E0
1.880781940E-1,2.766247749E0,4.572092533E0,9.671089172E0
1.905529460E-1,3.017724752E0,4.327800274E0,9.874666214E0
1.930276660E-1,3.290756941E0,4.121828556E0,1.004231739E1
1.955024180E-1,3.448828220E0,3.954177380E0,9.905800819E0
1.979751540E-1,3.614084721E0,3.683540106E0,1.029618931E1
2.004498740E-1,3.448828220E0,3.491938591E0,1.054527187E1
2.029245940E-1,3.441643238E0,3.283571959E0,1.065065193E1
2.053993140E-1,3.345842361E0,3.056045055E0,1.073447800E1
2.078740340E-1,3.166215897E0,2.926713943E0,1.073447800E1
2.103487540E-1,2.974614382E0,2.759062529E0,1.079435349E1
2.128234740E-1,2.830913305E0,2.668051958E0,1.095960999E1
2.152981940E-1,2.747087479E0,2.639311552E0,1.080872345E1
2.177729140E-1,2.498005390E0,2.641706705E0,1.087338924E1
2.202476340E-1,2.565066099E0,2.517165661E0,1.060275173E1
2.227223540E-1,2.565066099E0,2.524350643E0,1.021236324E1
2.251970740E-1,2.600991249E0,2.543510914E0,1.000878716E1
2.276717940E-1,2.565066099E0,2.562670946E0,9.668694496E0
2.301465140E-1,2.569856167E0,2.663261890E0,9.594449043E0
2.326212340E-1,2.593806267E0,2.696792126E0,9.177715302E0
2.350959540E-1,2.711162329E0,2.735112429E0,9.196875572E0
2.375706740E-1,2.756667614E0,2.876418591E0,8.887917519E0
2.400453940E-1,2.818938017E0,2.945874214E0,8.885522842E0
2.425201140E-1,3.012934685E0,2.921923876E0,8.854387283E0
2.449948340E-1,3.192561150E0,3.003354549E0,8.765771866E0
2.474695540E-1,3.319497108E0,2.962639332E0,8.487949371E0
2.499442740E-1,3.484753609E0,3.005749702E0,8.411309242E0
2.524189940E-1,3.563789129E0,3.082390308E0,8.183781624E0
2.548937140E-1,3.863166571E0,3.139870644E0,7.893984795E0
2.573684340E-1,3.997287750E0,3.106340408E0,7.539521694E0
2.598431540E-1,4.320615292E0,2.996169567E0,7.352710247E0
2.623178740E-1,4.421206474E0,2.986589432E0,6.888076305E0
2.647925940E-1,4.418811321E0,3.039279938E0,6.571933746E0
2.672673140E-1,4.505032063E0,3.034489870E0,6.231841087E0
2.697420340E-1,4.572092533E0,3.060835123E0,6.112090111E0
2.722167540E-1,3.822451353E0,3.240461588E0,5.812712669E0
2.746914740E-1,2.478845358E0,3.551814079E0,5.292993546E0
2.771661940E-1,-1.724414080E-1,4.313430309E0,4.763694286E0
2.796409140E-1,-2.828518152E0,4.900210381E0,4.502636909E0
2.821156340E-1,-4.548142433E0,5.398374081E0,5.089416504E0
2.845903540E-1,-5.233118057E0,5.671406269E0,5.740861893E0
2.870650740E-1,-5.213957787E0,6.006709099E0,5.934858799E0
2.895397940E-1,-4.809199333E0,6.140830517E0,5.688171864E0
2.920145140E-1,-3.958967447E0,6.088140011E0,5.496570110E0
2.944892020E-1,-2.771037817E0,5.839057922E0,5.429509640E0
2.969853940E-1,-1.563947797E0,5.578000546E0,5.563630581E0
2.994603060E-1,-4.885840118E-1,5.170847416E0,5.767207146E0
3.019352180E-1,5.508545041E-1,4.818779469E0,5.848638058E0
3.044100980E-1,1.542392612E0,4.464316368E0,6.109694958E0
3.068850100E-1,2.450105190E0,4.028422832E0,6.660549641E0
3.093598900E-1,3.245251656E0,3.563789129E0,7.194639206E0
3.118348020E-1,3.937412262E0,3.329077244E0,7.721543312E0
3.143096820E-1,4.493056774E0,3.075205326E0,7.958650112E0
3.167845940E-1,5.024751186E0,2.912343979E0,8.114326477E0
3.192595060E-1,5.498965263E0,2.696792126E0,8.119116783E0
3.217343860E-1,5.851032734E0,2.610571384E0,8.432864189E0
3.242092980E-1,5.910908222E0,2.500400543E0,8.531060219E0
3.266841780E-1,6.023474216E0,2.414179802E0,8.162226677E0
3.291590900E-1,5.903723240E0,2.450105190E0,8.507109642E0
3.316339700E-1,5.858218193E0,2.318378925E0,8.337063789E0
3.341088820E-1,5.645061493E0,2.258503437E0,8.183781624E0
3.365837620E-1,5.439089775E0,2.167492867E0,8.217312813E0
3.390586740E-1,5.096601963E0,2.110012293E0,8.078401566E0
3.415335860E-1,4.837939739E0,1.971101165E0,7.989785671E0
3.440084660E-1,4.500241756E0,1.860930204E0,7.951465130E0
3.464833780E-1,4.390070915E0,1.944755912E0,7.676037788E0
3.489582580E-1,4.212839603E0,1.966311097E0,7.515571594E0
3.514331700E-1,4.083508492E0,1.822609901E0,7.101233006E0
3.539080500E-1,3.791316032E0,1.906435609E0,7.072493076E0
3.563829620E-1,3.642824888E0,1.944755912E0,6.615044117E0
3.588578420E-1,3.391347885E0,2.016606569E0,6.648574352E0
3.613327540E-1,3.089575291E0,2.205813169E0,6.423442841E0
3.638076660E-1,2.897973776E0,2.253713369E0,6.356381893E0
3.662825460E-1,2.524350643E0,2.459685087E0,6.143225193E0
3.687574580E-1,2.320774078E0,2.632126570E0,6.066584587E0
3.712323380E-1,2.133962393E0,2.713557243E0,5.863008022E0
3.737072500E-1,1.987866282E0,2.811753035E0,5.791157246E0
3.761821300E-1,1.951941013E0,2.988984585E0,5.613925934E0
3.786570420E-1,2.019001484E0,3.060835123E0,5.551655293E0
3.811319540E-1,2.090852022E0,3.202141285E0,5.369634151E0
3.836068340E-1,2.265688658E0,3.336262465E0,5.089416504E0
3.860817460E-1,2.406994820E0,3.494333744E0,5.295388222E0
3.885566260E-1,2.368674517E0,3.503913641E0,5.187612534E0
3.910315380E-1,2.342329264E0,3.518283844E0,5.388793945E0
3.935064180E-1,2.339934111E0,3.477568626E0,5.441484451E0
3.959871860E-1,2.672842026E0,3.527863979E0,5.697751522E0
3.984620980E-1,2.641706705E0,3.276386976E0,5.879773140E0
4.009370420E-1,3.010539770E0,2.826123238E0,6.385122299E0
4.034119860E-1,3.376977682E0,2.416574717E0,6.478528023E0
4.058869300E-1,3.693120241E0,1.860930204E0,6.627019405E0
4.083618740E-1,3.935017347E0,1.346001029E0,6.725214958E0
4.108367860E-1,4.018843174E0,1.003513217E0,7.043752670E0
4.133117300E-1,3.935017347E0,7.664062977E-1,7.290439606E0
4.157866740E-1,3.719465494E0,5.269043446E-1,7.848479271E0
4.182616180E-1,3.623664618E0,3.041674793E-1,8.387358665E0
4.207365620E-1,3.348237514E0,1.173559651E-1,9.031619072E0
4.232114740E-1,3.290756941E0,-1.077758819E-1,9.484277725E0
4.256864180E-1,2.996169567E0,-4.167334139E-1,9.948911667E0
4.281613620E-1,2.802172899E0,-5.748047233E-1,1.014051342E1
4.306363060E-1,2.495610476E0,-9.675879478E-1,1.044947052E1
4.331112500E-1,2.392624617E0,-1.130449295E0,1.070334244E1
4.355861620E-1,2.246528387E0,-1.245410204E0,1.089733887E1
4.380611380E-1,2.179467916E0,-1.525627494E0,1.125898743E1
4.405360820E-1,2.016606569E0,-1.647773504E0,1.142424393E1
4.430109620E-1,1.968706131E0,-1.700463891E0,1.144579887E1
4.454859060E-1,1.815424919E0,-1.983076215E0,1.134281254E1
4.479608500E-1,1.810634851E0,-2.177072763E0,1.141466331E1
4.504357940E-1,1.738784313E0,-2.313588858E0,1.117037201E1
4.529107380E-1,1.654958606E0,-2.433339834E0,1.090691948E1
4.553856820E-1,1.437011838E0,-2.531535864E0,1.082548904E1
4.578606260E-1,1.350791097E0,-2.603386402E0,1.052132130E1
4.603355700E-1,1.195114851E0,-2.478845358E0,1.033450985E1
4.628105140E-1,9.723779559E-1,-2.457290173E0,9.663904190E0
4.652854580E-1,9.244775772E-1,-2.256108522E0,9.513017654E0
4.677603380E-1,8.406518698E-1,-2.083667040E0,9.043594360E0
4.702352820E-1,3.784131110E-1,-1.987866282E0,8.914262772E0
4.727102260E-1,1.221460029E-1,-1.815424919E0,8.382568359E0
4.751851700E-1,-4.909790158E-1,-1.678908706E0,8.435258865E0
4.776601140E-1,-6.538403630E-1,-1.518442392E0,7.563471794E0
4.801350580E-1,-8.071216345E-1,-1.350791097E0,6.842571259E0
4.826100020E-1,-7.831714153E-1,-1.207089901E0,6.322851658E0
4.850849460E-1,-6.658154726E-1,-1.171164632E0,5.989943981E0
4.875598900E-1,-6.921606660E-1,-1.209484935E0,5.542075634E0
4.900348340E-1,-5.819897652E-1,-1.259780288E0,5.357658863E0
4.925097140E-1,-5.819897652E-1,-1.377136230E0,5.175637245E0
4.949820340E-1,-5.340893865E-1,-1.501677275E0,4.933740616E0
4.974569780E-1,-4.909790158E-1,-1.542392612E0,4.907395363E0
4.999319220E-1,-5.101391673E-1,-1.662143588E0,4.734953880E0
5.024068020E-1,-8.646020889E-1,-1.726809144E0,4.507426739E0
5.048817460E-1,-9.364526868E-1,-1.635798454E0,4.172124386E0
5.073566900E-1,-9.915381074E-1,-1.623823285E0,3.661984921E0
5.098315700E-1,-9.196875095E-1,-1.575922966E0,3.247646570E0
5.123065140E-1,-7.472461462E-1,-1.472937107E0,2.744692564E0
5.147814580E-1,-5.556445718E-1,-1.480122089E0,2.399809599E0
5.172563380E-1,-1.173559651E-1,-1.602268100E0,1.944755912E0
5.197312820E-1,2.155517638E-1,-1.674118757E0,1.597478151E0
5.222062260E-1,5.460644960E-1,-1.930385828E0,1.183139682E0
5.246811060E-1,8.981323838E-1,-2.052531719E0,7.137158513E-1
5.271560500E-1,1.243015170E0,-2.356699228E0,2.323169112E-1
5.296309940E-1,1.463356972E0,-2.634521484E0,-1.101709008E-1
5.321058740E-1,1.604663134E0,-2.857258320E0,-4.119433761E-1
5.345808180E-1,1.753154397E0,-3.099155426E0,-8.143066764E-1
5.370557620E-1,1.705253959E0,-3.271596909E0,-1.173559666E0
5.395306420E-1,1.702858925E0,-3.376977682E0,-1.468147039E0
5.420055860E-1,1.745969296E0,-3.527863979E0,-1.784289598E0
5.444805300E-1,1.698068976E0,-3.760180712E0,-1.872905374E0
