"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.757786400E-2,-6.822342873E0,-1.399420166E1,-3.442255974E0
1.993947900E-2,-7.123999596E0,-1.457596779E1,-3.605054617E0
2.229671900E-2,-7.485508442E0,-1.521279716E1,-3.748700619E0
2.464328100E-2,-7.784770966E0,-1.580892754E1,-4.225126266E0
2.698984400E-2,-8.096003532E0,-1.634520721E1,-4.526782990E0
2.933718700E-2,-8.644251823E0,-1.708737755E1,-4.816468239E0
3.168447900E-2,-9.716809273E0,-1.851904678E1,-4.938568115E0
3.403104200E-2,-1.090667629E1,-2.033138084E1,-5.678344250E0
3.637760400E-2,-1.171109295E1,-2.200246239E1,-7.246479034E0
3.872489600E-2,-1.224737072E1,-2.367114830E1,-8.852919579E0
4.107223900E-2,-1.271182632E1,-2.508606148E1,-9.413138390E0
4.341880200E-2,-1.300629997E1,-2.584977722E1,-8.752367020E0
4.576536400E-2,-1.328641033E1,-2.640760422E1,-7.440401077E0
4.811265600E-2,-1.327443886E1,-2.664940834E1,-5.972818375E0
5.046000000E-2,-1.277886105E1,-2.609636879E1,-5.302470684E0
5.280656200E-2,-1.181882668E1,-2.499269104E1,-5.036725998E0
5.515312500E-2,-1.093301105E1,-2.394886398E1,-4.842803955E0
5.750041700E-2,-1.014295769E1,-2.283800125E1,-4.277796268E0
5.984776000E-2,-9.532463074E0,-2.181093407E1,-3.573931456E0
6.219432300E-2,-9.185318947E0,-2.089399338E1,-3.059200287E0
6.454088500E-2,-9.101525307E0,-1.995550728E1,-2.905977964E0
6.688817700E-2,-9.230807304E0,-1.907208633E1,-3.169328690E0
6.923552100E-2,-9.407969475E0,-1.837061310E1,-3.506896734E0
7.158208300E-2,-9.771872520E0,-1.796840477E1,-3.535625935E0
7.392864600E-2,-1.031533337E1,-1.763562584E1,-3.339309692E0
7.627593700E-2,-1.085639954E1,-1.733157539E1,-3.171722889E0
7.862328100E-2,-1.116763210E1,-1.698682594E1,-2.858095884E0
8.096984400E-2,-1.126578999E1,-1.645533371E1,-2.601927519E0
8.331640600E-2,-1.100962162E1,-1.560542965E1,-2.319423676E0
8.566369800E-2,-1.045179653E1,-1.456399632E1,-1.883697748E0
8.801104200E-2,-9.712019920E0,-1.338370609E1,-1.574859023E0
9.035760400E-2,-8.981820107E0,-1.226326752E1,-1.131950736E0
9.270416700E-2,-8.146280289E0,-1.127450466E1,-4.639972150E-1
9.505145800E-2,-7.435232639E0,-1.058739853E1,3.595727384E-1
9.739880200E-2,-6.724184990E0,-1.015406704E1,6.444705129E-1
9.974531200E-2,-6.025108337E0,-9.830863953E0,6.731997132E-1
1.020918750E-1,-5.390671730E0,-9.646517754E0,8.096633554E-1
1.044392190E-1,-4.835240841E0,-9.450201988E0,1.180748582E0
1.067865620E-1,-4.421061993E0,-9.419078827E0,1.412976265E0
1.091330730E-1,-3.980547905E0,-9.543571472E0,1.513528347E0
1.114796350E-1,-3.212042093E0,-9.749464989E0,9.964030385E-1
1.138269790E-1,-2.587182522E0,-1.005351448E1,2.949320972E-1
1.161743230E-1,-2.019780874E0,-1.028334904E1,-2.676811218E-1
1.185208330E-1,-1.198605299E0,-1.031686592E1,-6.172195077E-1
1.208673960E-1,-1.978719532E-1,-1.018519020E1,-7.105893493E-1
1.232147390E-1,5.442986488E-1,-1.014927864E1,-5.238496661E-1
1.255620830E-1,1.176340699E0,-1.016603756E1,-5.358201265E-1
1.279085940E-1,1.777259469E0,-1.024025440E1,-6.172195077E-1
1.302551560E-1,2.311143637E0,-1.033601856E1,-6.483427882E-1
1.326025000E-1,2.667864323E0,-1.047008801E1,-8.494471312E-1
1.349497920E-1,2.933609247E0,-1.055148792E1,-1.347419620E0
1.372963540E-1,3.151472330E0,-1.054909325E1,-1.601194143E0
1.396428640E-1,3.453128815E0,-1.050839329E1,-1.567676783E0
1.419902080E-1,3.694932699E0,-1.038150692E1,-1.627529263E0
1.443375520E-1,3.783514261E0,-1.019476700E1,-1.869333148E0
1.466841140E-1,3.857731342E0,-1.000084496E1,-2.020161390E0
1.490306250E-1,4.027712345E0,-9.878746033E0,-2.058466911E0
1.513779690E-1,4.353309631E0,-9.665670395E0,-2.068043470E0
1.537253120E-1,4.690877438E0,-9.375984192E0,-2.072831631E0
1.560718230E-1,4.887194157E0,-9.229944229E0,-2.077619791E0
