"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-5.999523926E-1,3.577261047E0,8.696465607E0
9.997999994E-3,-5.493576050E-1,3.643722839E0,8.851692810E0
1.999700000E-2,-5.119354248E-1,3.667673035E0,9.043444061E0
2.999499999E-2,-4.680766296E-1,3.681444397E0,9.241482239E0
3.999299998E-2,-4.558021545E-1,3.688779144E0,9.349557495E0
4.999199999E-2,-4.525090027E-1,3.737727356E0,9.301657104E0
5.998999998E-2,-4.200265503E-1,3.812571716E0,9.130562897E0
6.998799997E-2,-4.866380310E-1,3.801045685E0,8.929231567E0
7.998599997E-2,-5.731581116E-1,3.849844208E0,8.893006897E0
8.998499997E-2,-5.879772949E-1,3.974983978E0,8.938063202E0
9.998299996E-2,-5.689668274E-1,4.093088379E0,8.996292114E0
1.099810000E-1,-5.486091614E-1,4.324058075E0,9.001381531E0
1.199800000E-1,-4.802014160E-1,4.828658752E0,9.037755890E0
1.299780000E-1,-4.903802490E-1,5.057532806E0,9.113049316E0
1.399759999E-1,-5.933660889E-1,4.691094818E0,8.965007172E0
1.499739999E-1,-6.947053528E-1,4.242178345E0,8.758436737E0
1.599729999E-1,-7.482939148E-1,3.906127167E0,8.636739807E0
1.699709999E-1,-8.328680420E-1,3.647315369E0,8.567284241E0
1.799689999E-1,-8.526269531E-1,3.437302094E0,8.638087006E0
1.899679999E-1,-8.425978088E-1,3.324287109E0,8.826994171E0
1.999659999E-1,-8.502319336E-1,3.286715240E0,9.007518768E0
2.099639999E-1,-8.214916992E-1,3.325185242E0,9.125922546E0
2.199620000E-1,-7.361691284E-1,3.457061005E0,9.226064301E0
2.299610000E-1,-5.676196289E-1,3.666625214E0,9.348809052E0
2.399590000E-1,-2.378553772E-1,3.909719696E0,9.578281860E0
2.499570000E-1,1.736389160E-1,4.164340210E0,1.016715729E1
2.599560000E-1,3.712280273E-1,4.404440918E0,1.056637711E1
2.699540000E-1,3.649411011E-1,4.411925354E0,9.910141754E0
2.799520000E-1,3.110531616E-1,4.223467255E0,8.927734680E0
2.899500000E-1,3.451821899E-1,4.020938416E0,8.275391235E0
2.999490000E-1,4.538562012E-1,3.860322418E0,7.752229156E0
3.099470000E-1,5.629792786E-1,3.725452881E0,7.235354004E0
3.199450000E-1,7.705975342E-1,3.666475525E0,7.008126526E0
3.299440000E-1,1.057251434E0,3.689228210E0,7.183711395E0
3.399420000E-1,1.177900543E0,3.725003815E0,7.563471680E0
3.499400000E-1,1.132993927E0,3.704646149E0,7.969128113E0
