"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.257085876E0,-5.600603485E0,2.846480713E0
9.933999972E-3,2.000889130E0,-5.996829529E0,3.218157806E0
1.986799994E-2,2.459235992E0,-6.799759827E0,4.015998688E0
2.980300004E-2,2.483036499E0,-7.363487549E0,3.715423737E0
3.973700001E-2,3.292104034E0,-8.338859253E0,2.935994568E0
4.967099999E-2,4.354295197E0,-9.810598755E0,2.757864990E0
5.960499996E-2,5.768853607E0,-1.186088516E1,2.947370911E0
6.953900005E-2,7.195836182E0,-1.425350967E1,3.477119293E0
7.947400003E-2,8.177494812E0,-1.627101425E1,4.410877533E0
8.940800000E-2,8.389753418E0,-1.691078384E1,5.802084503E0
9.934199997E-2,8.106542358E0,-1.567809723E1,7.062014465E0
1.092759999E-1,7.360344086E0,-1.347752335E1,7.786358185E0
1.192100000E-1,6.476731567E0,-1.265752853E1,8.431217194E0
1.291450000E-1,6.067183228E0,-1.411055695E1,8.998387756E0
1.390790000E-1,5.458548889E0,-1.567510345E1,8.329129486E0
1.490130000E-1,4.211342468E0,-1.599079697E1,6.008954315E0
1.589470000E-1,2.824027405E0,-1.455573120E1,3.536845093E0
1.688810000E-1,1.415606232E0,-1.104597977E1,1.589394836E0
1.788160000E-1,-1.178050232E-1,-7.651189270E0,-9.267228699E-1
1.887500000E-1,-9.045689392E-1,-5.252277832E0,-1.867666168E0
1.986839999E-1,-1.409768372E0,-3.745211792E0,-1.581161957E0
2.086180000E-1,-1.692230988E0,-3.338058472E0,-9.412426758E-1
2.185520000E-1,-1.495839386E0,-4.509223022E0,-3.107537842E-1
2.284870000E-1,-1.464704132E0,-7.270381165E0,2.469863892E-2
2.384210000E-1,-1.958078156E0,-1.092503128E1,2.868035889E-1
2.483550000E-1,-2.718945923E0,-1.468955292E1,1.225501556E0
2.582890000E-1,-3.609593811E0,-1.822579926E1,2.532583466E0
2.682230000E-1,-3.929029541E0,-1.986204666E1,4.233346710E0
2.781580000E-1,-3.256178741E0,-1.615500549E1,5.187761993E0
2.880919999E-1,-2.568808136E0,-1.086350922E1,3.524271240E0
2.980260000E-1,-1.817670135E0,-8.259075165E0,2.249671783E0
3.079600000E-1,-1.078207855E0,-6.857839050E0,1.824106750E0
3.178940000E-1,-5.918692017E-1,-5.999673615E0,1.621128845E0
3.278290000E-1,-3.643423462E-1,-5.499862976E0,1.508562927E0
3.377630000E-1,-3.465293884E-1,-5.277425537E0,1.472637634E0
3.476970000E-1,-4.805007935E-1,-5.411396942E0,1.406924286E0
3.576310000E-1,-6.873706055E-1,-5.873336334E0,1.564097443E0
3.675650000E-1,-8.334667969E-1,-6.491401062E0,2.054328003E0
3.774990001E-1,-1.035546570E0,-7.120692444E0,2.912942505E0
3.874340000E-1,-1.139131165E0,-7.767048340E0,3.985462189E0
3.973680000E-1,-8.493338013E-1,-8.458011475E0,5.155728607E0
4.073020000E-1,-4.192781067E-1,-9.139244843E0,6.129154358E0
4.172360000E-1,-9.026229858E-2,-9.460177460E0,6.542893982E0
4.271700000E-1,7.559280396E-2,-9.182804260E0,6.244115295E0
4.371050000E-1,1.317260742E-1,-8.419092407E0,5.204527130E0
4.470390000E-1,1.305285645E-1,-7.610623627E0,3.558999023E0
4.569730000E-1,1.815724182E-1,-7.113208008E0,1.761686554E0
4.669070001E-1,2.621049500E-1,-6.957980804E0,8.277786255E-2
