"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.275634800E-2,5.029296875E-1,1.133056641E0,5.645446777E-1
1.770019500E-2,5.210418701E-1,1.149032593E0,5.613403320E-1
2.264404300E-2,5.753784180E-1,1.191650391E0,5.709228516E-1
2.761840800E-2,6.403503418E-1,1.241714478E0,5.890350342E-1
3.256225600E-2,6.957550049E-1,1.285400391E0,6.082153320E-1
3.747558600E-2,7.394256592E-1,1.353576660E0,6.316528320E-1
4.241943400E-2,7.745819092E-1,1.424942017E0,6.572113037E-1
4.733276400E-2,7.948150635E-1,1.489929199E0,6.785278320E-1
5.227661100E-2,7.958831787E-1,1.551712036E0,6.966247559E-1
5.722045900E-2,7.916259766E-1,1.626281738E0,7.200622559E-1
6.216430700E-2,7.788391113E-1,1.718963623E0,7.467041016E-1
6.707763700E-2,7.628631592E-1,1.803115845E0,7.850494385E-1
7.199096700E-2,7.522125244E-1,1.833999634E0,8.383178711E-1
7.693481400E-2,7.287750244E-1,1.873413086E0,8.873138428E-1
8.187866200E-2,7.042694092E-1,1.958633423E0,9.235382080E-1
8.682251000E-2,6.946868896E-1,2.045989990E0,9.554901123E-1
9.173584000E-2,6.978759766E-1,2.107772827E0,9.746704102E-1
9.667968700E-2,7.202453613E-1,2.149322510E0,9.938354492E-1
1.015930180E-1,7.671203613E-1,2.137603760E0,9.959716797E-1
1.065063480E-1,8.235778809E-1,2.141860962E0,9.725341797E-1
1.114196780E-1,8.885650635E-1,2.157852173E0,9.256591797E-1
1.163940430E-1,9.663238525E-1,2.148254395E0,8.532257080E-1
1.213378910E-1,1.041961670E0,2.152511597E0,7.552185059E-1
1.262817380E-1,1.099487305E0,2.149322510E0,6.497650146E-1
1.311950680E-1,1.138900757E0,2.105651855E0,5.442962646E-1
1.361389160E-1,1.166595459E0,2.052383423E0,4.441680908E-1
1.410522460E-1,1.187896729E0,1.957580566E0,3.642730713E-1
1.459655760E-1,1.194290161E0,1.836135864E0,3.131408691E-1
1.509094240E-1,1.177246094E0,1.733871460E0,2.811737061E-1
1.558532710E-1,1.135696411E0,1.659301758E0,2.673339844E-1
1.607971190E-1,1.078170776E0,1.619888306E0,2.651977539E-1
1.657409670E-1,1.006805420E0,1.619888306E0,2.715911865E-1
