"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.318607941E0,5.225184174E0,8.150251465E0
1.393700001E-2,-1.208437042E0,5.013374634E0,8.069120178E0
2.393300000E-2,-1.109941864E0,5.301824799E0,8.097411346E0
3.391200001E-2,-1.193019104E0,5.361101532E0,7.843539276E0
4.389100001E-2,-1.096469879E0,5.180277557E0,7.757767639E0
5.387400000E-2,-1.312470703E0,5.025349731E0,7.994425507E0
6.385300000E-2,-1.356778564E0,5.350174255E0,8.150401154E0
7.383100000E-2,-1.057251434E0,5.589676208E0,8.172106018E0
8.380800001E-2,-1.044228516E0,5.530698853E0,8.077951813E0
9.378500000E-2,-1.001866608E0,5.410798187E0,8.056396637E0
1.037610000E-1,-8.692424011E-1,5.182073822E0,8.041727142E0
1.137400000E-1,-6.999444580E-1,4.891078949E0,7.992629242E0
1.237170000E-1,-4.474195862E-1,4.845872955E0,7.974666595E0
1.336950000E-1,-3.191363525E-1,4.903054047E0,7.903265076E0
1.436730000E-1,-3.300636292E-1,4.891827393E0,7.980953522E0
1.536510000E-1,-6.448590088E-1,4.863685913E0,8.032596130E0
1.636290000E-1,-9.060658264E-1,4.762795715E0,8.150850220E0
1.736080000E-1,-1.092128906E0,4.581073608E0,8.234526215E0
1.835840000E-1,-1.326391754E0,4.399501190E0,8.386909332E0
1.935650000E-1,-1.576521606E0,4.496050415E0,8.624465332E0
2.035430000E-1,-1.664239197E0,4.639152832E0,8.803792419E0
2.134910000E-1,-1.475781097E0,4.659360809E0,8.875942383E0
2.234960000E-1,-1.044527893E0,4.590354309E0,8.729846191E0
2.334720000E-1,-6.999444580E-1,4.493655396E0,8.437803497E0
2.434250000E-1,-5.324427795E-1,4.525688782E0,8.137078857E0
2.534230000E-1,-4.171824646E-1,4.688400421E0,7.932154999E0
2.633990000E-1,-6.277944946E-1,4.663252716E0,7.807464294E0
2.733670000E-1,-9.105564880E-1,4.586163025E0,7.730973358E0
2.833490000E-1,-1.088686066E0,4.695735168E0,7.821535034E0
2.933260000E-1,-8.364605713E-1,4.771178284E0,8.055947571E0
3.032740000E-1,-2.995271301E-1,4.809348907E0,8.287516022E0
3.132770000E-1,-4.146377563E-2,4.888683929E0,8.496481476E0
3.231865417E-1,-1.755848694E-1,4.860392761E0,8.608448639E0
3.331455417E-1,-2.020797729E-1,4.940476227E0,8.732989655E0
3.431365417E-1,-1.648072815E-1,4.786296844E0,9.094637604E0
3.531125417E-1,-2.983296204E-1,4.152664490E0,9.350156250E0
3.630795417E-1,7.080276489E-1,4.411625977E0,9.301058350E0
3.730605417E-1,1.402882690E0,4.485572205E0,9.485325165E0
3.830355417E-1,1.687740326E0,4.583768005E0,9.472002869E0
3.929845417E-1,1.928140411E0,4.846022644E0,9.019493866E0
4.029865417E-1,2.153122559E0,5.004842377E0,8.328680420E0
4.129625417E-1,2.189197540E0,5.052293701E0,7.548951874E0
4.229285417E-1,2.245031433E0,5.184618530E0,6.875502319E0
4.329145417E-1,1.930385742E0,5.431455231E0,4.901856537E0
4.428905417E-1,1.927391968E0,6.066584473E0,3.313958588E0
4.528655417E-1,2.065105591E0,5.672753448E0,7.436535645E0
4.628415417E-1,2.327958984E0,5.506149902E0,8.785979462E0
4.728145417E-1,2.970572662E0,5.864953766E0,8.777896271E0
4.827735417E-1,2.641407166E0,5.497018890E0,9.350305939E0
4.927715417E-1,1.710942078E0,5.124293976E0,9.716145172E0
5.027475417E-1,1.854493561E0,5.902375946E0,9.200168152E0
5.127105417E-1,2.566712494E0,5.638325043E0,8.478668518E0
5.226975417E-1,3.514990540E0,4.963079224E0,7.270530853E0
5.326765417E-1,3.537144470E0,4.922363892E0,6.521937561E0
5.426485417E-1,3.485801239E0,4.322411499E0,6.289770355E0
5.526295417E-1,3.475173340E0,4.412823486E0,5.634133759E0
5.626045417E-1,3.110381927E0,4.975952454E0,5.407505035E0
5.725555417E-1,2.556084595E0,4.032015381E0,5.864804077E0
5.825575417E-1,2.278112640E0,3.791166229E0,7.148384857E0
5.925355417E-1,1.698667603E0,2.897374878E0,8.275840302E0
6.024935417E-1,1.188378754E0,2.660118256E0,9.282496948E0
6.124895417E-1,1.307381287E0,3.000510406E0,9.774673462E0
6.224655417E-1,1.012793884E0,3.668571167E0,9.963580627E0
6.324215417E-1,2.552192688E-1,3.749702454E0,1.012284943E1
6.424205417E-1,-3.617976379E-1,3.770808563E0,9.988129578E0
6.523965417E-1,-9.319619751E-1,4.169279938E0,9.990524597E0
6.623685417E-1,-1.483415222E0,4.329297180E0,9.281898193E0
6.723485417E-1,-2.019749908E0,4.516408081E0,8.976383514E0
6.823275417E-1,-2.403851166E0,4.564757538E0,8.707392883E0
6.922765417E-1,-2.527344360E0,4.841531982E0,8.542735291E0
7.022555417E-1,-2.353406067E0,4.741839294E0,8.387059021E0
7.122345417E-1,-1.974693604E0,4.664300537E0,8.272846527E0
7.222135417E-1,-1.708996124E0,4.383484497E0,8.407716064E0
7.321855417E-1,-1.405277710E0,4.347409515E0,8.071515198E0
7.421535417E-1,-1.488354950E0,4.230352936E0,7.920928345E0
7.521335417E-1,-1.443747711E0,4.094734955E0,7.909402313E0
7.621195417E-1,-1.042132874E0,4.057612152E0,7.986192627E0
7.721105417E-1,-7.096742249E-1,4.329297180E0,8.057145081E0
7.820795417E-1,-7.066804504E-1,4.331692200E0,8.538693695E0
7.920515417E-1,-7.217990112E-1,4.385729828E0,8.956175537E0
8.020245417E-1,-6.722520447E-1,4.255350952E0,9.212891693E0
8.119965417E-1,-4.495152283E-1,4.184248810E0,9.146878967E0
8.219765417E-1,-1.200503540E-1,4.067940674E0,8.831185455E0
8.319535417E-1,1.167871399E0,3.243305511E0,8.393495636E0
8.419145417E-1,2.775977325E0,1.430874481E0,5.473068695E0
8.519135417E-1,3.840563507E0,2.165995789E0,4.992418213E0
8.618975417E-1,1.619781647E0,2.039059753E0,6.479575653E0
