"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-4.905869007E0,1.527547359E0,9.203592300E0
2.149373100E-2,-2.985660791E0,1.419804931E0,8.298556328E0
2.344373100E-2,-2.997632027E0,1.510787368E0,8.578686714E0
2.541973100E-2,-2.956929445E0,1.553884387E0,8.760651588E0
2.740406400E-2,-2.820455790E0,1.577827096E0,8.983319283E0
2.939256400E-2,-2.698347807E0,1.671203852E0,9.050358772E0
3.138216400E-2,-2.688770533E0,1.711906433E0,8.988107681E0
3.337499700E-2,-2.576239586E0,1.805283189E0,8.916279793E0
3.536913900E-2,-2.389486313E0,1.841197371E0,8.794171333E0
3.736401400E-2,-2.303292274E0,1.872322917E0,8.775016785E0
3.935968000E-2,-2.142875910E0,1.984853864E0,8.743891716E0
4.135598000E-2,-1.992036581E0,2.092596292E0,8.770228386E0
4.335270700E-2,-1.936968327E0,2.157241583E0,8.794171333E0
4.534970700E-2,-1.845985889E0,2.272166729E0,8.825297356E0
4.734716800E-2,-1.786128998E0,2.406246185E0,8.897125244E0
4.934481000E-2,-1.802888989E0,2.525959969E0,8.923461914E0
5.134267600E-2,-1.814860344E0,2.573845387E0,8.988107681E0
5.334086300E-2,-1.893871427E0,2.645673752E0,9.024022102E0
5.533874500E-2,-1.977671027E0,2.748627424E0,9.035993576E0
5.733724500E-2,-2.049499273E0,2.772570133E0,9.043175697E0
5.933587600E-2,-2.147664547E0,2.830032825E0,9.043175697E0
6.133467600E-2,-2.253012657E0,2.839609861E0,9.050358772E0
6.333358000E-2,-2.308080912E0,2.834821463E0,9.052753448E0
6.533258000E-2,-2.411034822E0,2.784541607E0,9.019232750E0
6.733171000E-2,-2.494834423E0,2.715107679E0,8.968953133E0
6.933087600E-2,-2.518777132E0,2.669616461E0,8.925856590E0
7.133015600E-2,-2.554691315E0,2.561874151E0,8.868393898E0
7.332973200E-2,-2.585816860E0,2.434977531E0,8.796566010E0
7.532917600E-2,-2.600182533E0,2.365543604E0,8.789382935E0
7.732867600E-2,-2.621730804E0,2.243435383E0,8.775016785E0
7.932826200E-2,-2.597788095E0,2.133298874E0,8.753468513E0
8.132789500E-2,-2.590605259E0,2.068653345E0,8.763046265E0
8.332926100E-2,-2.545114040E0,1.946545362E0,8.746285439E0
8.533059400E-2,-2.528354168E0,1.838803053E0,8.772623062E0
8.733192700E-2,-2.537931204E0,1.800494671E0,8.794171333E0
8.933329300E-2,-2.583422422E0,1.781340480E0,8.842057228E0
9.133489300E-2,-2.657644987E0,1.738243461E0,8.923461914E0
9.333622600E-2,-2.688770533E0,1.776551962E0,8.954587936E0
9.533755900E-2,-2.782147408E0,1.774157643E0,9.016839027E0
9.733892500E-2,-2.892283916E0,1.798100352E0,9.088666916E0
9.934062500E-2,-2.973689318E0,1.826831698E0,9.155706406E0
1.013419580E-1,-3.002420664E0,1.829225898E0,9.172467232E0
1.033432910E-1,-3.055094719E0,1.850774407E0,9.158101082E0
1.053446910E-1,-3.086220264E0,1.879505754E0,9.172467232E0
1.073460240E-1,-3.093403101E0,1.898659945E0,9.177255630E0
1.093473570E-1,-3.083826065E0,1.917814136E0,9.167677879E0
1.113487230E-1,-3.047911882E0,1.958516836E0,9.191620827E0
1.133500230E-1,-3.026363373E0,1.984853864E0,9.191620827E0
1.153576890E-1,-2.976083517E0,2.013585091E0,9.186832428E0
1.173590550E-1,-2.906649590E0,2.037527800E0,9.162889481E0
1.193601210E-1,-2.858764172E0,2.044710636E0,9.143735886E0
1.213614210E-1,-2.707924843E0,2.023162127E0,9.026415825E0
1.233627540E-1,-2.645673752E0,1.987248063E0,9.024022102E0
1.253641200E-1,-2.571451187E0,1.987248063E0,9.024022102E0
1.273654530E-1,-2.497228622E0,1.996825218E0,9.064723969E0
1.293668530E-1,-2.446948767E0,2.030344963E0,9.098244667E0
1.313681860E-1,-2.413429022E0,2.063864946E0,9.131764412E0
1.333698520E-1,-2.367937803E0,2.094990492E0,9.153312683E0
1.353716850E-1,-2.355966330E0,2.174001455E0,9.201197624E0
1.373735850E-1,-2.413429022E0,2.190761566E0,9.182044029E0
1.393749180E-1,-2.415823221E0,2.212309837E0,9.203592300E0
1.413762840E-1,-2.377514839E0,2.241041183E0,9.289786339E0
1.433776170E-1,-2.233858347E0,2.276955366E0,9.452596664E0
1.453789170E-1,-2.174001455E0,2.312869549E0,9.512454033E0
1.473802830E-1,-2.083019018E0,2.377514839E0,9.601041794E0
1.493816160E-1,-1.987248063E0,2.427794695E0,9.629773140E0
1.513829490E-1,-1.953728199E0,2.497228622E0,9.660899162E0
1.533843150E-1,-1.936968327E0,2.607365370E0,9.701601982E0
1.553856480E-1,-1.922602654E0,2.695953369E0,9.723150253E0
1.573869810E-1,-1.917814136E0,2.746233225E0,9.727938652E0
1.593879810E-1,-1.936968327E0,2.837215662E0,9.749486923E0
1.613893140E-1,-1.960911036E0,2.906649590E0,9.723150253E0
1.633906470E-1,-1.963305354E0,2.925803900E0,9.727938652E0
1.653919800E-1,-1.941756845E0,2.944957972E0,9.663292885E0
1.673933130E-1,-1.932179809E0,2.925803900E0,9.524425507E0
1.693946790E-1,-1.924996972E0,2.892283916E0,9.426259995E0
