"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.292888750E-1,1.076486435E1,-3.994293823E0,5.464985504E0
9.392678750E-1,8.626261597E0,-3.346291351E0,3.354524231E0
9.492468750E-1,7.788603516E0,-3.221151581E0,1.434317322E0
9.592568750E-1,6.435716858E0,-2.840343475E0,-4.945715332E-1
9.692358750E-1,4.828209686E0,-2.539319458E0,-1.480421448E0
9.792158750E-1,3.825295258E0,-2.561623077E0,-1.472038879E0
9.892248750E-1,3.187022552E0,-3.245101776E0,-8.734336853E-1
9.992048750E-1,2.135159912E0,-3.334166565E0,-2.344125366E-1
1.009183875E0,8.821156311E-1,-2.686014404E0,8.280780029E-1
1.019193875E0,1.245260468E0,-3.164718933E0,2.286794586E0
1.029172875E0,3.570375366E0,-3.579356689E0,4.227359161E0
1.039151875E0,6.343358917E0,-3.176843719E0,4.842579803E0
1.049161875E0,8.088130646E0,-2.778522034E0,3.399580536E0
1.059140875E0,7.710915070E0,-2.552042999E0,1.824106750E0
1.069119875E0,7.338190155E0,-2.701881409E0,1.728156281E0
1.079129875E0,7.619006195E0,-2.855911102E0,3.375480652E0
1.089108875E0,7.270979919E0,-3.405119019E0,4.352199554E0
1.099088875E0,6.310427399E0,-3.965703278E0,3.769012299E0
1.109097875E0,5.761069794E0,-4.817581787E0,3.452869720E0
1.119077875E0,5.201233978E0,-5.719156952E0,5.206323395E0
1.129056875E0,4.664450226E0,-6.257287903E0,7.699389038E0
1.139035875E0,9.810598755E-1,-4.483027496E0,4.206702118E0
1.149045875E0,1.874102783E0,-7.126081238E0,3.784579926E0
1.159024875E0,3.803590393E0,-7.080426178E0,6.716383209E0
1.169003875E0,-1.419049072E0,-6.928791504E0,4.884492645E0
1.179013875E0,1.872156830E0,-1.007929001E1,6.652915192E0
1.188992875E0,8.512647858E0,-8.084687805E0,9.386829987E0
1.198972875E0,1.267878433E1,-7.168592834E0,7.682923279E0
1.208981875E0,1.301169205E1,-6.234984283E0,3.818559265E0
1.218961875E0,1.178634018E1,-5.840554504E0,1.513352966E0
1.228940875E0,8.512198792E0,-5.473368073E0,1.606908417E0
1.238950875E0,6.195167084E0,-4.794230347E0,3.052901459E0
1.248929875E0,6.846612396E0,-5.005890198E0,2.688409424E0
1.258908875E0,6.734794922E0,-5.374274139E0,2.098336487E0
1.268918875E0,6.386618958E0,-5.753735046E0,2.610122223E0
1.278897875E0,6.293213196E0,-6.336772614E0,3.728296967E0
1.288876875E0,6.516399078E0,-6.804549866E0,5.094356232E0
1.298886875E0,6.703959045E0,-7.480993195E0,6.502028961E0
1.308865875E0,7.156318359E0,-7.892188110E0,6.998546448E0
1.318845875E0,7.723488922E0,-8.152945862E0,6.610253906E0
1.328855875E0,6.773264923E0,-7.928861847E0,5.097499695E0
1.338834875E0,5.505551147E0,-7.848928070E0,2.848127289E0
1.348813875E0,5.305117950E0,-7.883655853E0,2.920277252E0
1.358823875E0,4.506378937E0,-7.578889618E0,3.920048218E0
1.368802875E0,2.669997711E0,-6.876699829E0,3.305276642E0
1.378781875E0,4.402345276E-1,-6.941814423E0,1.454824677E0
1.388791875E0,-2.460882568E0,-7.318880310E0,1.374142456E-1
1.398770875E0,-5.498964844E0,-1.120599701E1,5.501210175E0
1.408750875E0,1.655602158E1,-2.652633820E0,2.870730286E0
1.418759875E0,1.543739777E0,-4.637506256E0,4.361779633E0
1.428739875E0,-7.097790070E0,-9.761650543E0,3.175795898E0
1.438718875E0,-8.380323029E0,-9.418863373E0,5.648803253E0
1.448728875E0,2.137554932E0,-8.740174713E0,3.726949768E0
1.458707875E0,1.188947571E1,-7.076234894E0,9.077124023E-1
1.468686875E0,1.430081131E1,-4.084705811E0,-1.472487946E0
1.478696875E0,8.950337677E0,-7.389234009E0,-6.574328613E-1
1.488675875E0,4.896467743E0,-7.277865601E0,9.205856323E-2
1.498654875E0,5.684578857E0,-7.802823944E0,5.420228577E-1
1.508664875E0,5.544919281E0,-6.125112762E0,1.792971497E0
1.518643875E0,6.783443756E0,-7.836054840E0,2.489323425E0
1.528623875E0,6.359375610E0,-5.008434906E0,2.548300781E0
1.538602875E0,6.818470917E0,-8.513396301E0,1.553768921E0
1.548612875E0,6.812932434E0,-6.212530975E0,1.191522217E-1
1.558591875E0,4.035308533E0,-8.737480316E0,-7.749385071E-1
1.568570875E0,9.642947388E-1,-7.012317810E0,6.300398254E-1
1.578580875E0,7.660919037E0,-6.809938660E0,-3.703298950E-1
1.588559875E0,-4.881648560E0,-1.006282425E1,1.984722748E0
1.598538875E0,-2.616558838E0,-1.058987823E1,3.140619049E0
1.608548875E0,6.274951172E-1,-9.880952454E0,1.292412415E0
1.618527875E0,2.781216431E0,-1.079345490E1,1.053808594E0
1.628507875E0,3.844455414E0,-1.057116714E1,8.258326721E-1
1.638516875E0,2.569406891E0,-1.032283356E1,8.330177307E-1
1.648515958E0,3.827390900E0,-1.049422714E1,4.605921936E-1
1.658494958E0,5.019511871E0,-1.121931931E1,4.159849548E-1
1.668504958E0,-5.269042969E-1,-1.414094376E1,-1.420545959E0
1.678483958E0,-1.118174744E-1,-1.474882965E1,2.154020691E-1
1.688462958E0,1.242715759E0,-1.839928848E1,3.399879913E0
1.698472958E0,1.523082733E0,-1.728934662E1,4.115242310E0
1.708451958E0,2.374811554E0,-1.925520859E1,4.756957855E0
1.718430958E0,2.984493713E0,-1.852338043E1,3.420986023E0
1.728440958E0,3.576362915E0,-1.570070023E1,2.320324860E0
1.738419958E0,3.258124695E0,-1.419093979E1,1.185534668E0
1.748399958E0,2.589165802E0,-1.265333725E1,-3.079096985E-1
1.758408958E0,2.328258362E0,-1.024439667E1,-1.250200195E0
1.768388958E0,1.306034088E0,-6.357279968E0,-1.028361511E0
1.778367958E0,1.150507507E0,-4.692142639E0,-6.002517700E-2
1.788377958E0,7.447013855E-1,-5.017266541E0,1.481918335E0
1.798356958E0,9.388476562E-1,-5.923482056E0,3.522624664E0
1.808335958E0,1.080303497E0,-7.263046417E0,3.785328369E0
1.818345958E0,5.351371765E-1,-6.990762634E0,1.926942902E0
1.828324958E0,1.694925385E0,-8.886270905E0,-5.818400574E-1
1.838303958E0,2.788551178E0,-1.119536911E1,-1.410067749E0
1.848313958E0,1.434317322E0,-1.020023849E1,-9.285191345E-1
1.858292958E0,1.437011719E-2,-9.458680573E0,-4.728666687E-1
1.868272958E0,4.046086121E-1,-9.800868988E0,2.439926147E-2
1.878281958E0,5.635780334E-1,-9.915081482E0,-1.963916016E-1
1.888261958E0,7.565267944E-1,-9.679172058E0,-3.037184143E-1
1.898240958E0,9.199868774E-1,-9.663305054E0,-1.502874756E-1
1.908219958E0,1.136586456E0,-9.942923584E0,8.592132568E-2
1.918229958E0,1.303938446E0,-1.002315674E1,1.070274353E-1
1.928208958E0,1.362616425E0,-9.995913391E0,-4.790039062E-3
