"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.374441833E0,4.625381470E0,7.552993469E0
9.948000079E-3,-1.842817841E0,4.982389069E0,7.010072479E0
1.989700005E-2,-1.308578796E0,5.015919342E0,7.435338135E0
2.987600002E-2,-6.324348450E-1,4.492757263E0,7.752977600E0
3.982499999E-2,-5.466632080E-1,4.427642670E0,7.770491180E0
4.980400007E-2,-5.295986938E-1,4.846172333E0,8.204438782E0
5.975300004E-2,-6.059399414E-1,4.921765137E0,8.570128326E0
6.973200000E-2,-1.083297272E0,5.112618256E0,9.204209747E0
7.968099997E-2,-1.368304596E0,5.081333313E0,9.148974609E0
8.966000006E-2,-1.302291870E0,4.928650818E0,8.588839417E0
9.960900003E-2,-1.010099487E0,4.681814117E0,8.129744110E0
1.095880000E-1,-5.587879944E-1,4.156257019E0,7.820487213E0
1.195370001E-1,-2.785707092E-1,3.804488525E0,8.181985474E0
1.295160000E-1,-2.960842896E-1,4.038451996E0,8.210725708E0
1.394650000E-1,-4.441264343E-1,4.656367035E0,8.325836334E0
1.494440000E-1,-5.827381897E-1,5.359904022E0,9.141490173E0
1.593930001E-1,-8.418493652E-1,5.654940491E0,1.011446686E1
1.693720000E-1,-1.023122406E0,5.322332153E0,1.035157379E1
1.793210000E-1,-9.026229858E-1,5.400918732E0,1.039917480E1
1.893000000E-1,-5.860313416E-1,5.427114258E0,1.004261627E1
1.992490001E-1,-2.221380615E-1,5.131029968E0,9.736353149E0
2.092280000E-1,-2.095642090E-2,5.135071564E0,9.348060608E0
2.191770000E-1,-1.692979431E-1,5.333259430E0,8.488697662E0
2.291560001E-1,1.230441284E-1,5.050497437E0,8.116571503E0
2.390751251E-1,-5.852828979E-2,5.517077179E0,8.144563293E0
2.490541250E-1,-2.700384521E-1,6.010002136E0,8.362061005E0
2.590031250E-1,-2.612068176E-1,6.098917236E0,8.595725098E0
2.689821250E-1,-7.903564453E-2,6.008654938E0,8.750203857E0
2.789311251E-1,1.480421448E-1,6.095773773E0,8.936266937E0
2.889101250E-1,1.112187195E-1,6.295009460E0,9.236243134E0
2.988591250E-1,1.058299255E-1,5.931415558E0,8.568930817E0
3.088381250E-1,-1.131646729E-1,6.275549927E0,8.290509796E0
3.187871251E-1,-8.557704163E-1,6.431824951E0,8.281827850E0
3.287661250E-1,-1.364712067E0,6.658303986E0,8.879235535E0
3.387151250E-1,-1.300046539E0,6.115532684E0,9.435179443E0
3.486941251E-1,-1.043031006E0,5.661975861E0,8.643775177E0
3.586431250E-1,-8.536747742E-1,5.909860382E0,8.213420105E0
3.685921250E-1,-5.210664368E-1,6.184688873E0,7.865842896E0
3.785711250E-1,-1.366658020E-1,5.874234467E0,7.703879700E0
3.885501251E-1,-4.376898193E-1,5.063670044E0,8.871601410E0
3.984991250E-1,-1.103505249E0,5.139861603E0,9.118737488E0
4.084481250E-1,-1.070723419E0,5.784271545E0,8.969048767E0
4.184271250E-1,-1.544787598E0,6.708599396E0,8.370742950E0
4.284061251E-1,-1.380279694E0,6.564598846E0,6.914571075E0
4.383551250E-1,-1.488654327E0,6.497538300E0,5.815706177E0
4.483341250E-1,-2.208357697E0,6.660549316E0,7.749385071E0
4.582831251E-1,-2.179916840E0,5.629792786E0,7.682474213E0
4.682621250E-1,-1.356179810E-1,6.329737244E0,1.003692810E1
4.782111250E-1,3.188369751E-2,7.486831055E0,1.012524445E1
4.881901250E-1,-4.558021545E-1,7.855214996E0,7.648943939E0
4.981391251E-1,-1.029109955E0,7.032974854E0,9.536967773E0
5.081181250E-1,-1.558858337E0,6.518943787E0,9.780661011E0
5.180671250E-1,-2.003134460E0,6.616391144E0,9.203910370E0
5.280461251E-1,-2.078876953E0,6.753056946E0,8.756939850E0
5.379951251E-1,-2.045346680E0,6.761589203E0,8.628656616E0
5.479741250E-1,-2.304906921E0,6.545588379E0,8.734187164E0
5.579231250E-1,-2.438129883E0,6.195765839E0,8.299042053E0
5.679021251E-1,-2.490221558E0,6.100114746E0,7.728578339E0
5.778511250E-1,-2.465822296E0,6.360273743E0,7.379953308E0
5.877991250E-1,-2.328108673E0,6.569688263E0,7.384593658E0
5.977791250E-1,-2.293530579E0,6.746470642E0,7.506140900E0
6.077271251E-1,-2.140548706E0,6.996750183E0,6.967411194E0
6.177071250E-1,-2.110311584E0,6.982679443E0,6.120322723E0
6.276551250E-1,-2.324067078E0,6.703210602E0,5.480702820E0
6.376351251E-1,-2.731070709E0,6.693630524E0,5.267695770E0
6.475831250E-1,-2.806064758E0,7.069498901E0,5.142406311E0
6.575631250E-1,-2.900368652E0,7.007527771E0,5.148094482E0
6.675111250E-1,-2.897823944E0,7.052883453E0,5.175786896E0
6.774911251E-1,-3.019071808E0,7.144642639E0,5.312153320E0
6.874391250E-1,-3.245700531E0,6.967111816E0,5.154082031E0
6.974181250E-1,-3.255280609E0,6.872658234E0,4.870721283E0
7.073671250E-1,-3.187770996E0,6.890022125E0,4.507875824E0
7.173461250E-1,-2.811154175E0,6.896608429E0,4.612059174E0
7.272951250E-1,-2.324815521E0,7.105274506E0,4.989274750E0
7.372741250E-1,-2.139949951E0,7.762707367E0,5.127287750E0
7.472231251E-1,-2.375859375E0,8.159981232E0,4.690645752E0
7.572021250E-1,-2.882705383E0,8.218659210E0,4.031416626E0
