"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-3.165297270E0,5.211094856E0,6.729277134E0
3.970313000E-3,-3.128206491E0,5.160012245E0,6.831663132E0
7.940625000E-3,-3.055154562E0,5.124022484E0,6.995091438E0
1.191093800E-2,-3.001773357E0,5.047752857E0,7.236628056E0
1.588281300E-2,-2.912958145E0,5.001842022E0,7.440010548E0
1.985312500E-2,-2.826479435E0,4.914242744E0,7.640089512E0
2.382343800E-2,-2.763071537E0,4.841918468E0,7.839775562E0
2.779375000E-2,-2.707075834E0,4.794188023E0,7.961151600E0
3.176406300E-2,-2.675654650E0,4.744934082E0,8.048166275E0
3.573437500E-2,-2.629120827E0,4.727322578E0,8.101672173E0
3.970468800E-2,-2.559181452E0,4.721701145E0,8.147497177E0
4.367656300E-2,-2.473717928E0,4.686506271E0,8.174943924E0
4.764531300E-2,-2.381483555E0,4.654290199E0,8.184780121E0
5.161718800E-2,-2.254332542E0,4.615953445E0,8.204776764E0
5.558750000E-2,-2.159972191E0,4.601971626E0,8.228410721E0
5.955781300E-2,-2.066263199E0,4.563357830E0,8.266364098E0
6.352812500E-2,-1.993814588E0,4.540431023E0,8.285547256E0
6.749843800E-2,-1.952385306E0,4.510675907E0,8.298045158E0
7.146875000E-2,-1.919086814E0,4.480087757E0,8.278784752E0
7.544062500E-2,-1.929219007E0,4.475605965E0,8.260761261E0
7.941093800E-2,-2.007126331E0,4.471717834E0,8.233554840E0
8.338125000E-2,-2.075140953E0,4.466977119E0,8.209401131E0
8.735156300E-2,-2.176980495E0,4.485095978E0,8.151184082E0
9.132187500E-2,-2.271857977E0,4.531687737E0,8.133151054E0
9.529218800E-2,-2.323208809E0,4.543141365E0,8.125422478E0
9.926406300E-2,-2.359849691E0,4.557554722E0,8.113404274E0
1.032343750E-1,-2.390217781E0,4.575271606E0,8.073535919E0
1.072031250E-1,-2.440160990E0,4.606300354E0,7.997830391E0
1.111750000E-1,-2.515999556E0,4.635136127E0,7.929251671E0
1.151453130E-1,-2.642508984E0,4.703888416E0,7.883723259E0
1.191156250E-1,-2.800804138E0,4.798478127E0,7.868151188E0
1.230859380E-1,-2.888767004E0,4.850422859E0,7.840014458E0
1.270562500E-1,-3.023091555E0,4.890961647E0,7.777267456E0
1.310328130E-1,-3.148710489E0,4.939544201E0,7.678290844E0
1.349984380E-1,-3.251670599E0,4.966589451E0,7.610420227E0
1.389687500E-1,-3.337651014E0,5.010776997E0,7.553811550E0
1.429390630E-1,-3.387881517E0,5.079136372E0,7.520523071E0
1.469093750E-1,-3.370327473E0,5.120143890E0,7.543392181E0
1.508796880E-1,-3.340457201E0,5.150310993E0,7.597797871E0
1.548500000E-1,-3.264599323E0,5.143070698E0,7.715745926E0
1.588203130E-1,-3.215614080E0,5.078063488E0,7.739984989E0
