,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
8295,83.00864662,0.4082011414,-7.17023941,2.451003113
8296,83.01865362,0.5041516113000001,-6.809788971000001,2.9862899780000003
8297,83.02866062,0.5135820007,-6.593638457999999,3.30662384
8298,83.03866862,0.6134243774,-6.435567169,3.6092944339999997
8299,83.04867563,0.763711853,-6.317911835,3.96196106
8300,83.05868262,1.0488688659999998,-6.239325256,4.238885193
8301,83.06868962,1.4780264280000002,-6.2635748289999995,4.525988159
8302,83.07869662,2.00088913,-6.423292694,4.655169525
8303,83.08870462,2.692900085,-6.766977997000001,4.563709717
8304,83.09871162,3.584895172,-7.439978485,4.140240326
8305,83.10871862,4.486021271,-8.175249481,3.3943414310000004
8306,83.11872562,5.334606628,-8.881031799,2.526146851
8307,83.12873262,6.129304047000001,-9.461824036,1.9969972230000002
8308,83.13873962,6.5216381839999995,-9.534722443,2.784659271
8309,83.14874762,6.358028412,-9.267977142000001,4.59020462
8310,83.15875462,5.532644806,-9.557325439,5.940396881
8311,83.16876162,4.388573914,-9.583820343,6.451434174
8312,83.17876862,3.67171463,-9.448202362,7.01471283
8313,83.18877562,3.3548236080000002,-9.528285828,7.452851715
8314,83.19878362,3.507206726,-9.464219055,7.592062225
8315,83.20879062,2.783012695,-9.139095154,7.629484406
8316,83.21879762,2.2257215880000003,-8.799451447000001,8.267008667
8317,83.22880462,3.0255084230000002,-8.520431671,8.023165741
8318,83.23881162,3.703748016,-7.97302002,6.863078156
8319,83.24881862,4.210444336,-7.442822571000001,5.354814606000001
8320,83.25882662,3.902983704,-7.548053741,3.1786399839999997
8321,83.26883362,2.723586273,-9.203461304,1.05889801
8322,83.27884062,1.441203003,-10.9712851,-0.7562274170000001
8323,83.28884762,0.3106040955,-13.87509659,-1.6202307130000002
8324,83.29885462,-0.6788383484,-17.85217621,0.3790118408
8325,83.30886162,-1.9911593630000002,-20.87349335,2.243235168
8326,83.31886962,-4.320465546,-19.49620743,2.081271973
8327,83.32887662,-5.820645905,-13.0441745,1.337618408
8328,83.33888362,-5.357359314,-8.225844269,1.248852997
8329,83.34889062,-3.335813141,-6.860533447000001,1.801354065
8330,83.35889763,-1.528022461,-7.162754973999999,2.296075287
8331,83.36890462,-0.5081932068,-7.369475098,2.253414001
8332,83.37891262,-0.03263214111,-7.639214172000001,1.6700770569999999
8333,83.38891962,0.1493893433,-8.178542633,1.1389814759999999
8334,83.39892662,0.1414558411,-8.674311676,1.0975177
8335,83.40893362,0.1263372803,-9.156608734,1.3739927669999998
8336,83.41894062,0.03981719971,-9.94337265,1.558858337
8337,83.42894862,-0.19893630980000002,-10.98700241,1.552122345
8338,83.43895562,-0.6809339904999999,-11.97434921,1.579515381
8339,83.44896262,-1.121617584,-12.40245895,1.985471191
8340,83.45896962,-1.3979429630000002,-12.02030365,2.472109222
8341,83.46897662,-1.6155903630000001,-11.26467499,2.738255768
8342,83.47898362,-1.67441803,-10.29259644,2.847079468
8343,83.48899162,-1.354533234,-9.190139008,2.910397797
8344,83.49899862,-0.7926017761,-8.088729401,2.782114563
8345,83.50900562,-0.4902305603,-7.311246185,2.430495758
8346,83.51901262,-0.1830693054,-6.984026642000001,2.05118454
8347,83.52901962,0.06271957397000001,-6.988367615,1.9233503719999998
8348,83.53902762,0.1549278259,-7.222031707999999,2.223775635
8349,83.54903462,0.20492385859999998,-7.548652496,2.521656189
8350,83.55904163,0.20911514280000001,-8.009843445,2.833308105
8351,83.56904862,0.2875520325,-8.365952911,2.896626434
8352,83.57905562,0.1182540894,-8.586294707999999,2.627935181
8353,83.58906262,-0.1246907043,-8.79316452,2.0695962519999997
8354,83.59907062,-0.2677931213,-8.90079071,0.9186396790000001
8355,83.60907762,-0.2315684509,-9.214687957999999,-0.42197250369999995
8356,83.61908462,-0.330662384,-9.547445984,-1.075663147
8357,83.62909162,-0.047451324460000006,-9.583221587999999,-0.324225769
8358,83.63909862,0.3067121887,-9.42500061,1.1665242
8359,83.64910562,0.5355862427,-9.359736328,2.531535645
8360,83.65911362,0.5047503662,-9.453591156,3.219804382
8361,83.66912062,0.41823028560000003,-9.693542175,3.0485604860000004
8362,83.67912762,0.3737727356,-9.977801056,2.2938299559999997
8363,83.68913462,0.17753082280000002,-10.17943176,1.642234955
8364,83.69914162,-0.1727407837,-10.33885025,1.5441888430000001
8365,83.70914962,-0.6590794373,-10.46713348,1.689686279
8366,83.71915662,-1.079555054,-10.5199736,1.9782861330000001
8367,83.72916362,-1.2346325679999999,-10.36788986,2.117197266
8368,83.73917062,-1.30109436,-10.17179764,2.200424194
8369,83.74917762,-1.196761322,-10.0369281,2.275118866
8370,83.75918462,-0.9395960998999999,-10.05893234,2.268981628
8371,83.76919262,-0.8306227112000001,-10.03138962,2.0591180419999997
8372,83.77919962,-0.6982978821,-9.935139771000001,2.073039093
8373,83.78920662,-0.3417393494,-9.786049805,2.206112366
8374,83.79921362,0.07439529419,-9.597591705,2.3927742
8375,83.80922062,0.41882904049999997,-9.416468352999999,2.7071205139999996
8376,83.81922862,0.7279362488,-9.403295746,2.9834458919999998
