"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.240000002E-3,9.715844393E-1,6.623721719E-1,-6.870557088E-3
1.622400001E-2,8.881012797E-1,3.574860096E-1,2.870447934E-2
2.620800001E-2,6.767731309E-1,-1.272089500E-2,4.645232856E-2
3.619300001E-2,4.628805518E-1,-1.084045470E-1,6.448805332E-2
4.617700000E-2,3.111535013E-1,-7.986984402E-2,7.390528917E-2
5.616100000E-2,2.379703671E-1,1.818401739E-2,7.155504823E-2
6.614500000E-2,1.719783545E-1,-8.194620162E-2,9.207893163E-2
7.612900001E-2,1.282244921E-1,-8.365195245E-2,1.189225316E-1
8.611300000E-2,7.503581792E-2,-2.858369425E-2,1.207094491E-1
9.609700000E-2,-1.080718823E-2,3.645309806E-2,1.032345891E-1
1.060810000E-1,-1.340885311E-1,4.211246967E-2,8.461862803E-2
1.160660000E-1,-2.665246129E-1,2.747467346E-2,1.341768634E-2
1.260500000E-1,-3.821956813E-1,2.386863902E-2,-5.198642612E-2
1.360340000E-1,-4.683590531E-1,6.723741535E-3,-1.247565001E-1
1.460180000E-1,-5.015296936E-1,1.969637722E-2,-1.677659452E-1
1.560020000E-1,-4.957644641E-1,9.999388456E-2,-1.886408776E-1
1.659860000E-1,-4.024829865E-1,1.933568567E-1,-1.918694228E-1
1.759700000E-1,-2.865848839E-1,2.483527362E-1,-1.608087122E-1
1.859540000E-1,-1.614873856E-1,3.533461392E-1,-8.952738345E-2
1.959390000E-1,-6.679017097E-2,4.821928144E-1,2.300422080E-2
2.059230000E-1,-2.011033520E-2,6.133437157E-1,8.653444797E-2
2.159070000E-1,-8.583373390E-3,6.974085569E-1,1.164031327E-1
2.258910000E-1,-1.267298404E-2,7.264410257E-1,1.140005812E-1
2.358750000E-1,-1.534440089E-2,7.289358974E-1,7.222943008E-2
2.458590000E-1,-2.198345400E-2,7.502757311E-1,8.038284257E-3
2.558430000E-1,-6.331731379E-2,8.515426517E-1,-7.365844399E-2
2.658270000E-1,-1.389948279E-1,9.897276163E-1,-1.609459072E-1
2.758120000E-1,-2.310416698E-1,1.095833063E0,-2.226899564E-1
2.857960000E-1,-2.936441898E-1,1.087193370E0,-2.326686382E-1
