"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.534948000E-3,3.559311628E-1,1.305081010E0,2.962764263E0
1.004661500E-2,3.687143326E-1,1.325320959E0,2.947850466E0
1.255828200E-2,4.294343591E-1,1.293363094E0,2.929740906E0
1.506994800E-2,5.338301659E-1,1.311472535E0,2.788060904E0
1.758161500E-2,6.435523033E-1,1.456348419E0,2.543050289E0
2.009328200E-2,7.362302542E-1,1.555417895E0,2.241580725E0
2.260494800E-2,8.129292130E-1,1.473392606E0,1.888978601E0
2.511661500E-2,8.789755702E-1,1.334908366E0,1.480982661E0
2.762828200E-2,9.077376723E-1,1.142095685E0,1.033571959E0
3.013994800E-2,8.928239942E-1,8.576703072E-1,6.021401882E-1
3.265161500E-2,8.448871374E-1,5.519396663E-1,2.261021882E-1
3.516328200E-2,7.735144496E-1,3.037332594E-1,-7.430212945E-2
3.767489600E-2,7.010765672E-1,1.524658352E-1,-2.798979878E-1
4.018656300E-2,6.328997016E-1,1.066595092E-1,-4.024032950E-1
4.269822900E-2,5.807017684E-1,1.418132037E-1,-4.364917278E-1
4.520989600E-2,5.519396663E-1,2.206427008E-1,-4.215780497E-1
4.772156300E-2,5.455480814E-1,3.047985137E-1,-3.768369853E-1
5.023322900E-2,5.572659969E-1,3.825627565E-1,-3.118558824E-1
5.274489600E-2,5.849628448E-1,4.581964612E-1,-2.500706017E-1
5.525656300E-2,6.147902012E-1,5.327649117E-1,-1.946769059E-1
5.776822900E-2,6.403565407E-1,6.083986163E-1,-1.510011107E-1
6.027989600E-2,6.478133798E-1,6.946849823E-1,-1.190432012E-1
6.279156300E-2,6.392912865E-1,7.617965937E-1,-9.134634584E-2
6.530322900E-2,6.105291843E-1,8.012113571E-1,-7.536739111E-2
6.781484400E-2,5.519396663E-1,8.193207979E-1,-7.217160612E-2
7.032651100E-2,4.741754234E-1,8.246471286E-1,-7.962844521E-2
7.283817700E-2,3.889543414E-1,8.278428912E-1,-1.126516163E-1
7.534984400E-2,2.962764204E-1,8.310387135E-1,-1.723063737E-1
7.786151100E-2,1.982721686E-1,8.321039677E-1,-2.511358857E-1
8.037317700E-2,9.387634695E-2,8.352997899E-1,-3.374222219E-1
8.288484400E-2,-6.258423440E-3,8.203860521E-1,-4.024032950E-1
8.539651100E-2,-1.042626649E-1,7.799060345E-1,-4.450138509E-1
8.790817700E-2,-1.926795393E-1,7.415565848E-1,-4.673843682E-1
9.041984400E-2,-2.651174664E-1,7.309039235E-1,-4.961465001E-1
9.293151100E-2,-3.269027472E-1,7.436870933E-1,-5.302349329E-1
9.544317700E-2,-3.695132732E-1,7.543397546E-1,-5.579317808E-1
9.795479200E-2,-3.972101510E-1,7.319691777E-1,-5.696496964E-1
1.004664590E-1,-4.078627825E-1,6.893586516E-1,-5.600622892E-1
1.029781250E-1,-3.982754052E-1,6.488786340E-1,-5.430181026E-1
1.054897920E-1,-3.737743497E-1,6.083986163E-1,-5.185170174E-1
1.080014590E-1,-3.407511711E-1,5.796365142E-1,-4.940159619E-1
1.105131250E-1,-2.981406152E-1,5.636575818E-1,-4.695149064E-1
1.130247920E-1,-2.480732501E-1,5.551354289E-1,-4.439485669E-1
1.155364590E-1,-1.980058551E-1,5.508744121E-1,-4.109254181E-1
1.180481250E-1,-1.543300599E-1,5.476785898E-1,-3.736411929E-1
1.205597920E-1,-1.159805655E-1,5.370259881E-1,-3.289000988E-1
1.230714590E-1,-8.402266353E-2,4.922848940E-1,-2.884201109E-1
1.255831250E-1,-5.419528112E-2,4.432827830E-1,-2.468748242E-1
1.280947920E-1,-2.543316595E-2,4.209122360E-1,-2.074600756E-1
1.306064070E-1,-7.323686965E-3,4.209122360E-1,-1.712411046E-1
1.331180730E-1,7.590002380E-3,4.336954057E-1,-1.456747800E-1
1.356297400E-1,2.037316561E-2,4.518049061E-1,-1.286305636E-1
1.381414070E-1,3.209106252E-2,4.720448852E-1,-1.254347861E-1
1.406530730E-1,4.487422481E-2,4.965459704E-1,-1.360874176E-1
1.431647400E-1,4.913527891E-2,5.189164877E-1,-1.584579498E-1
1.456764070E-1,5.126580596E-2,5.391564965E-1,-1.882853210E-1
1.481880730E-1,4.593949020E-2,5.604617596E-1,-2.223737538E-1
1.506997400E-1,4.061317071E-2,5.870933533E-1,-2.607232332E-1
1.532114070E-1,3.528685495E-2,6.009417772E-1,-2.980074584E-1
1.557230730E-1,2.463421971E-2,6.052028537E-1,-3.406180143E-1
1.582347400E-1,1.504684705E-2,6.083986163E-1,-3.821632862E-1
1.607463540E-1,3.328948515E-3,6.083986163E-1,-4.269043505E-1
1.632580210E-1,-9.321055841E-4,6.009417772E-1,-4.673843682E-1
1.657696880E-1,-3.062632633E-3,6.020070314E-1,-5.067991018E-1
1.682813540E-1,-9.454214014E-3,5.956154466E-1,-5.398222804E-1
1.707930210E-1,-3.062632633E-3,5.924196839E-1,-5.696496964E-1
1.733046880E-1,5.459475331E-3,6.009417772E-1,-5.824328065E-1
1.758163540E-1,8.655265905E-3,6.201165318E-1,-5.866938829E-1
1.783280210E-1,1.078579295E-2,6.456828713E-1,-5.771065354E-1
1.808396880E-1,1.504684705E-2,6.733797193E-1,-5.600622892E-1
1.833513540E-1,2.463421971E-2,7.064028978E-1,-5.430181026E-1
1.858630210E-1,4.487422481E-2,7.554050088E-1,-5.259738564E-1
1.883746880E-1,6.298370659E-2,8.129292130E-1,-5.025380850E-1
1.908863020E-1,7.576686889E-2,8.310387135E-1,-4.705801606E-1
1.933979690E-1,8.961529285E-2,7.809713483E-1,-4.279696345E-1
1.959096360E-1,1.109205633E-1,7.095986605E-1,-3.597927690E-1
1.984213020E-1,1.482047886E-1,6.755102277E-1,-2.692453563E-1
2.009329690E-1,2.078595459E-1,6.584660411E-1,-1.701758504E-1
2.034446360E-1,2.856237888E-1,6.350302100E-1,-7.856318355E-2
2.059563020E-1,3.580617011E-1,6.094638705E-1,4.527369980E-3
2.084679690E-1,4.273038208E-1,6.083986163E-1,7.909581810E-2
2.109796360E-1,4.805670083E-1,6.169207096E-1,1.632516384E-1
2.134913020E-1,5.082638860E-1,6.392912865E-1,2.335590273E-1
2.160029690E-1,5.242428184E-1,7.032070756E-1,2.836264074E-1
2.185146360E-1,5.231775641E-1,7.735144496E-1,3.134537935E-1
2.210262500E-1,5.189164877E-1,8.342344761E-1,3.347590566E-1
2.235379170E-1,5.135901570E-1,8.736492395E-1,3.518032730E-1
2.260495840E-1,4.976112247E-1,8.938892484E-1,3.475422263E-1
2.285612500E-1,4.773712158E-1,9.077376723E-1,3.400853872E-1
2.310729170E-1,4.390217364E-1,9.343692660E-1,3.379548490E-1
2.335845840E-1,3.932153881E-1,9.727187753E-1,3.475422263E-1
2.360962500E-1,3.356911540E-1,9.972198009E-1,3.699127734E-1
2.386079170E-1,2.845585048E-1,1.000415564E0,3.869569898E-1
2.411195840E-1,2.430132478E-1,9.769797921E-1,3.901527524E-1
2.436312500E-1,1.982721686E-1,9.364997745E-1,3.816306591E-1
2.461429170E-1,1.535311043E-1,8.811060786E-1,3.656516969E-1
2.486545840E-1,1.119858250E-1,8.203860521E-1,3.390201032E-1
2.511662500E-1,7.150581479E-2,7.713839412E-1,3.059969544E-1
2.536778650E-1,4.061317071E-2,7.436870933E-1,2.623211443E-1
2.561895320E-1,1.291632000E-2,7.149249911E-1,2.165148109E-1
2.587011980E-1,-9.454214014E-3,6.819018126E-1,1.781653315E-1
2.612128650E-1,-2.436790243E-2,6.488786340E-1,1.419463605E-1
2.637245320E-1,-2.756369300E-2,6.020070314E-1,1.153147742E-1
2.662361980E-1,-2.649842948E-2,5.444828272E-1,9.400950372E-2
2.687478650E-1,-2.010684833E-2,4.880238473E-1,6.524739414E-2
2.712595320E-1,-1.051947754E-2,4.294343591E-1,3.861580417E-2
2.737711980E-1,8.655265905E-3,3.751059175E-1,1.331579406E-3
2.762828650E-1,3.741738200E-2,3.314301074E-1,-4.234422371E-2
2.787945320E-1,6.298370659E-2,3.026680052E-1,-9.241160750E-2
2.813061980E-1,8.961529285E-2,2.909500897E-1,-1.414137334E-1
2.838178130E-1,1.173121482E-1,2.760364115E-1,-1.818937510E-1
2.863294790E-1,1.311605722E-1,2.845585048E-1,-2.117211223E-1
2.888411980E-1,1.343563646E-1,3.079943061E-1,-2.298306078E-1
2.913530730E-1,1.300953031E-1,3.324953914E-1,-2.436790317E-1
2.938650000E-1,1.141163558E-1,3.346258998E-1,-2.522011399E-1
2.963769270E-1,9.281108528E-2,3.229080141E-1,-2.564621866E-1
2.988888540E-1,7.044055313E-2,3.005374670E-1,-2.575274706E-1
3.014008340E-1,4.380896315E-2,2.739058733E-1,-2.596579790E-1
3.039127610E-1,2.783001028E-2,2.483395636E-1,-2.681801021E-1
3.064246880E-1,2.250369266E-2,2.312953472E-1,-2.788327336E-1
3.089366150E-1,1.717737503E-2,2.387521863E-1,-2.969422042E-1
3.114485420E-1,1.291632000E-2,2.589921951E-1,-3.129211664E-1
3.139604690E-1,9.720529430E-3,2.802974582E-1,-3.331611753E-1
3.164724480E-1,6.524738856E-3,3.016027212E-1,-3.544664383E-1
3.189843750E-1,-4.127896391E-3,3.101248443E-1,-3.789674938E-1
3.214963020E-1,-2.010684833E-2,3.197122216E-1,-3.960117102E-1
3.240082290E-1,-4.141211882E-2,3.431480229E-1,-4.183822572E-1
3.265201570E-1,-7.230476290E-2,3.697795868E-1,-4.450138509E-1
3.290321360E-1,-1.031974033E-1,4.028027654E-1,-4.759064913E-1
3.315440630E-1,-1.319595128E-1,4.400869906E-1,-5.067991018E-1
3.340559900E-1,-1.617868990E-1,4.752406776E-1,-5.302349329E-1
3.365679170E-1,-1.958753318E-1,5.285038948E-1,-5.494096875E-1
3.390798440E-1,-2.246374488E-1,5.977460146E-1,-5.664538741E-1
3.415917710E-1,-2.480732501E-1,6.712491512E-1,-5.749759674E-1
3.441037500E-1,-2.683132589E-1,7.532744408E-1,-5.739107132E-1
3.466156770E-1,-2.906837761E-1,8.331692219E-1,-5.632581115E-1
3.491276040E-1,-3.141195774E-1,9.045419097E-1,-5.451486111E-1
3.516395320E-1,-3.290332854E-1,9.492829442E-1,-5.302349329E-1
