,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
10234,52.005982,1.007958889,3.062183857,8.896853447
10235,52.010986,1.098938584,3.129221678,8.796297073
10236,52.015991,1.218648672,3.205836058,8.676587105
10237,52.020996,1.362300754,3.3111810680000002,8.607154846
10238,52.026001,1.467645645,3.373430252,8.518569946
10239,52.031006,1.546654344,3.423708439,8.492233276
10240,52.036011,1.546654344,3.4452562330000003,8.50420475
10241,52.040955,1.529894829,3.476380825,8.63109684
10242,52.046021,1.48679924,3.3542766569999998,8.757989882999999
10243,52.052002,1.405396342,3.2465374469999997,8.992621422000001
10244,52.057007,1.30005157,3.155557871,9.18894577
10245,52.062988,1.2138602729999999,3.0478186610000004,9.440337181
10246,52.067993,1.146822572,2.978386879,9.564835548
10247,52.072998,1.122880578,2.97359848,9.629479408
10248,52.077942,1.125274777,2.961627483,9.631873131
10249,52.083008,1.125274777,2.9999346730000003,9.557653427
10250,52.088013,1.180341482,3.100491285,9.421183586
10251,52.093017,1.249773264,3.2202012539999996,9.277531624
10252,52.098022,1.321599364,3.318363667,9.121908187999999
10253,52.102966,1.3718775509999999,3.3590650560000004,8.947132111
10254,52.107971,1.431732655,3.373430252,8.767566681
10255,52.114014,1.455674648,3.313575268,8.681375504
10256,52.119018,1.4149732590000001,3.2489316460000004,8.765172005
10257,52.124023,1.4030021430000001,3.19865346,8.971074104
10258,52.128967,1.340752959,3.1723172660000003,9.246406555
10259,52.133972,1.3431471590000001,3.1100680830000003,9.459490776
10260,52.138977,1.362300754,3.095702887,9.615114212
10261,52.143982,1.405396342,3.0789434910000004,9.718064307999999
10262,52.148926,1.4077905419999999,3.1100680830000003,9.744400978
10263,52.153991,1.4269442559999999,3.145981073,9.679757118
10264,52.158935,1.453280449,3.205836058,9.54807663
10265,52.164001,1.517923832,3.277662039,9.308655738999999
10266,52.169006,1.577778935,3.330334663,9.071630478
10267,52.174011,1.59932673,3.349488258,8.853757858
10268,52.179016,1.604115129,3.3590650560000004,8.7843256
10269,52.184997,1.580173135,3.335123062,8.736441612
10270,52.190002,1.5682021380000002,3.2800562380000002,8.7843256
10271,52.194824,1.606509328,3.232172251,8.966285706
10272,52.200012,1.632845521,3.256114244,9.105149269
10273,52.205017,1.673547029,3.2752678389999996,9.208099365
10274,52.210022,1.7214310169999998,3.318363667,9.30386734
10275,52.216003,1.769315004,3.335123062,9.33020401
10276,52.221008,1.843535304,3.38300705,9.301473618
10277,52.225952,1.900996208,3.454833031,9.169792175
10278,52.231018,1.980004787,3.569754839,8.995016097999999
10279,52.236022,2.015917778,3.672705412,8.796297073
10280,52.242004,1.951274395,3.727771997,8.55448246
10281,52.247009,1.810016513,3.7205893989999996,8.413225173999999
10282,52.252014,1.606509328,3.600879431,8.358158112
10283,52.257995,1.383848548,3.488351822,8.288725852999999
10284,52.263,1.304839969,3.4524388310000003,8.274360657
10285,52.268005,1.254561663,3.435679436,8.262390137
10286,52.27301,1.223437071,3.4620156289999997,8.336610794
10287,52.278015,1.2138602729999999,3.423708439,8.410830498
10288,52.283019,1.261744261,3.4165258410000003,8.547300339
10289,52.288024,1.307234168,3.428496838,8.6957407
10290,52.292968,1.314416766,3.4404678339999997,8.762778282000001
10291,52.297973,1.321599364,3.483563423,8.748413086000001
10292,52.304015,1.33835876,3.548206806,8.650250435
10293,52.30902,1.367089152,3.584120035,8.528146743999999
10294,52.313964,1.4269442559999999,3.6367924210000004,8.384494781
10295,52.318969,1.477222443,3.730166197,8.24802494
10296,52.323974,1.520318031,3.770867586,8.135497093
10297,52.328979,1.575384736,3.818751812,8.049305916
10298,52.333984,1.589749932,3.811569214,8.049305916
10299,52.339965,1.5921441319999998,3.744531393,8.200140953
10300,52.34497,1.587355733,3.711012602,8.422801971
10301,52.349975,1.5705963369999998,3.6655228139999996,8.66940403
10302,52.35498,1.541865945,3.622427225,8.901641846
10303,52.359985,1.4987702369999998,3.574543238,9.045293808
10304,52.364989,1.3718775509999999,3.485957623,9.181763649
10305,52.369933,1.297657371,3.423708439,9.193734168999999
10306,52.374999,1.22583127,3.3542766569999998,9.117119789
10307,52.380004,1.209071875,3.347094059,8.975862503
10308,52.385009,1.22822547,3.361459255,8.808267593
10309,52.390014,1.290474772,3.3949780460000003,8.635885239
10310,52.395019,1.276109457,3.450044632,8.480262756
10311,52.400024,1.307234168,3.476380825,8.360552788
10312,52.404967,1.326387763,3.4691982269999997,8.336610794
10313,52.409972,1.4149732590000001,3.481169224,8.331821442
10314,52.414977,1.493981838,3.5290532110000004,8.425195694
10315,52.419982,1.508347034,3.5601780410000003,8.544905663
10316,52.424987,1.45088625,3.596091032,8.693346024
10317,52.429992,1.429338455,3.552995205,8.769960402999999
10318,52.435973,1.398213744,3.4452562330000003,8.839392662
10319,52.440978,1.3599065540000002,3.363853455,8.863334656000001
10320,52.445983,1.302445769,3.260902643,8.882488251
10321,52.450988,1.230619669,3.256114244,8.927978516
10322,52.455993,1.1827356820000001,3.201047659,8.983044624
10323,52.460997,1.101332784,3.1316158769999998,9.081207275
10324,52.465819,1.00556469,3.0573954580000002,9.184157372
10325,52.470824,0.9696516990999999,3.0286650660000003,9.200917244
10326,52.476012,0.9145850539,2.93768549,9.212887764
10327,52.481017,0.8954314590000001,2.8562827110000004,9.167398452999999
10328,52.486022,0.9097966552,2.82036972,9.15063858
10329,52.490966,0.9504981041,2.8323407169999997,9.191340446
10330,52.495971,1.051054597,2.906560898,9.287108421000001
10331,52.500975,1.146822572,2.9712042810000003,9.442731857
10332,52.50598,1.271321058,3.055001259,9.622296333
10333,52.510985,1.398213744,3.150769472,9.885659217999999
10334,52.51599,1.424550056,3.258508444,10.07001209
10335,52.520995,1.4077905419999999,3.34230566,10.10831928
10336,52.526,1.405396342,3.371036053,10.00776291
10337,52.531005,1.398213744,3.392583847,9.787496567
10338,52.53601,1.3718775509999999,3.375824451,9.490615845
10339,52.541014,1.247379065,3.3279404639999997,9.162610054
10340,52.546019,1.091755986,3.287238836,8.769960402999999
10341,52.551024,0.9696516990999999,3.27287364,8.47786808
10342,52.555968,0.8571242094,3.224989653,8.233659744
10343,52.560912,0.7230489254000001,3.186682463,8.039729118
10344,52.565856,0.5291185975,3.1100680830000003,7.793126582999999
10345,52.570983,0.39743748310000004,3.045424461,7.659051418
10346,52.575987,0.23942017559999998,2.93768549,7.539340973
10347,52.580992,0.107739076,2.82036972,7.536946774
10348,52.585997,0.117315881,2.7509377,7.812280178
10349,52.591979,0.2202665508,2.731784105,8.339004517000001
10350,52.596983,0.3256114423,2.710236311,8.755595207
10351,52.601988,0.42377370600000003,2.6886885169999997,9.143456459
10352,52.606993,0.5267243981,2.6886885169999997,9.54807663
10353,52.611937,0.6368576288000001,2.6791117190000002,9.907206535
10354,52.617003,0.7829039693000001,2.671929121,10.13465595
10355,52.622008,0.8451532125,2.626439333,10.18253994
10356,52.627013,0.8475474118999999,2.583343744,10.18972206
10357,52.631957,0.8164227605,2.511517525,10.10113716
10358,52.637022,0.7733271718000001,2.468421936,9.957485199
10359,52.641966,0.7158663273,2.4420857430000003,9.799467087
10360,52.646971,0.6727706790000001,2.427720547,9.639056206000001
10361,52.651976,0.7206547259999999,2.468421936,9.466673851
10362,52.656981,0.8331822157,2.549824715,9.323021889
10363,52.661986,1.007958889,2.683900118,9.143456459
10364,52.666991,1.194706678,2.839523315,8.975862503
10365,52.672972,1.431732655,2.954444885,8.889671326
10366,52.677977,1.493981838,2.983175278,8.827422142
10367,52.682982,1.455674648,2.964021683,8.865729332
10368,52.687987,1.3718775509999999,2.930502892,8.956708908
10369,52.693968,1.3599065540000002,2.9089550969999998,9.21528244
10370,52.698973,1.429338455,2.755726099,9.514557838
10371,52.703978,1.4437036509999999,2.604891539,9.646238327
10372,52.708983,1.400607944,2.432508945,9.746794701
