,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
9991,100.0020811,-0.9569550157,-0.6038354635000001,0.2894757986
9992,100.0120881,-1.107005477,-0.3235065937,0.2835465372
9993,100.02209509999999,-1.1438108679999999,0.04433894902,0.258482486
9994,100.0321031,-1.0638058190000002,0.3998943865,0.190072298
9995,100.04211009999999,-0.8951969743000001,0.7108517289,0.19107626379999998
9996,100.0521171,-0.6254326105,0.9376803637000001,0.2296779752
9997,100.06212409999999,-0.3591816425,0.9526851177,0.2624745667
9998,100.0721321,-0.105912365,0.9048360586,0.29528176780000004
9999,100.08213909999999,0.1189861521,0.8598326445000001,0.2680098414
10000,100.0921461,0.3465133011,0.7545291184999999,0.2695353031
10001,100.10215409999999,0.5156288743,0.6714323163,0.31670218710000003
10002,100.1121611,0.6285253763,0.8053168654,0.3329826295
10003,100.1221681,0.6879537106,1.050901771,0.30246874690000003
10004,100.1321761,0.6424437165,1.212795019,0.2541520894
10005,100.14218309999998,0.5475398302000001,1.30272603,0.2388053536
10006,100.1521901,0.43612757329999996,1.221703887,0.2743223011
10007,100.1621981,0.2615402639,0.9950830936,0.324696064
10008,100.1722051,0.06849969178,0.8276919723,0.39962249990000004
10009,100.18221209999999,-0.1082814708,0.7486931682,0.47514370079999996
10010,100.19222009999999,-0.2487450987,0.7284827232,0.5307376981
10011,100.2022271,-0.3397061825,0.7000854611,0.5416398048
10012,100.21223409999999,-0.4093478322,0.6011348963,0.5010593534000001
10013,100.22224109999999,-0.4518657327,0.48032093049999997,0.44790607689999995
10014,100.23224909999999,-0.4684202075,0.4499406517,0.419159919
10015,100.24225609999999,-0.48940873149999997,0.46462655070000003,0.4043926001
10016,100.2522631,-0.5135809183,0.4702886939,0.38391608
10017,100.26227109999999,-0.5326103568,0.5371770263000001,0.390735209
10018,100.2722781,-0.5362061262,0.5800813437,0.4104529917
10019,100.2822851,-0.5312410593,0.5595619678,0.4502643645
10020,100.2922931,-0.5184243321,0.5088726878000001,0.5126925707
10021,100.3023001,-0.5136932135,0.4305529594,0.5755159854999999
10022,100.3123071,-0.49869433049999995,0.34858164189999996,0.6148617864
10023,100.3223153,-0.4791262746,0.2864198685,0.6368731856000001
10024,100.3323223,-0.4743501544,0.2655864954,0.6259164214
