,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
9993,100.0020811,0.1480421448,-9.373807068,2.4084915159999998
9994,100.0120881,0.1462458801,-10.18137772,2.151625671
9995,100.02209509999999,-0.27422973629999997,-11.15615067,2.352358246
9996,100.0321031,-0.7619155884000001,-11.7701738,2.8054660030000003
9997,100.04211009999999,-1.261127472,-11.57438095,3.18492691
9998,100.0521171,-1.628164215,-10.96155533,3.480262756
9999,100.06212409999999,-1.990710297,-10.14185989,3.80508728
10000,100.0721321,-2.395318909,-9.317075043,3.812721405
10001,100.08213909999999,-2.499651947,-8.908275146,3.3811688230000003
10002,100.0921461,-2.412982178,-8.806187439,2.774181061
10003,100.10215409999999,-2.085163879,-8.65515152,2.142494659
10004,100.1121611,-1.2656181340000001,-8.713530121,1.176403656
10005,100.1221681,-0.4677772522,-9.059311066,0.4456233215
10006,100.1321761,-0.0043409729,-9.400751038,0.2749781799
10007,100.14218309999998,-0.0383203125,-9.547745361,0.5972579956
10008,100.1521901,-0.4050576782,-9.483079834,1.1096424870000001
10009,100.1621981,-0.586330719,-9.302854614,1.4337185669999999
10010,100.1722051,-0.8375083923000001,-9.061257019,1.348246307
10011,100.18221209999999,-0.9134005737,-8.910370789,1.242266693
10012,100.19222009999999,-0.7144642639,-8.893905028999999,1.3726455690000001
10013,100.2022271,-0.229921875,-9.066346436,1.70360733
10014,100.21223409999999,0.4568499756,-9.295819244,2.0227436830000003
10015,100.22224109999999,1.0759625240000001,-9.495503998,2.163600769
10016,100.23224909999999,1.3522879030000001,-9.596244507,2.113754425
10017,100.24225609999999,1.305884399,-9.613608398,1.925895081
10018,100.2522631,1.311871948,-9.752369843,1.839674377
10019,100.26227109999999,1.227148132,-9.949060822,1.698218536
10020,100.2722781,0.8842112731999999,-9.967173157000001,1.744771729
10021,100.2822851,0.519868927,-9.958491211,2.06525528
10022,100.2922931,0.14444961550000002,-9.737850037000001,2.305954742
10023,100.3023001,-0.1128652954,-9.526489563,2.50399292
10024,100.3123071,-0.187559967,-9.449699249,2.5780888369999997
10025,100.3223153,-0.1923500061,-9.458081818,2.564766541
10026,100.3323223,-0.1079255676,-9.586065674,2.450404358
10027,100.34232929999999,0.0209564209,-9.734706572999999,2.161056061
10028,100.3523363,0.08038284302,-9.717342682,1.8935623169999998
10029,100.3623443,0.009580078125,-9.590556335,1.974244537
10030,100.37235129999999,0.054037628170000004,-9.483678589,2.231858826
10031,100.38235829999999,0.12289443970000001,-9.280850372,2.596201172
10032,100.39236629999999,0.13681549070000001,-8.930728455,2.9867390439999997
10033,100.40237330000001,0.09789642333999998,-8.572822723,3.3760794069999998
10034,100.4123803,0.055085449220000006,-8.250093842,3.672612762
10035,100.4223883,-0.055085449220000006,-7.989934845,3.8565802
10036,100.4323953,-0.2628533936,-7.88051239,3.8020935060000003
10037,100.4424023,-0.5095404053,-7.894433441,3.5832485960000002
10038,100.4524103,-0.7030879211,-8.061186676,3.446283417
10039,100.4624173,-0.7562274170000001,-8.324489136,3.309767303
10040,100.4724243,-0.5917195129,-8.628656616,3.2325279239999998
10041,100.4824323,-0.2255809021,-8.962761841,3.1678623960000003
10042,100.49243929999999,0.1829196167,-9.235045624,3.14166687
10043,100.5024463,0.44173141479999994,-9.474397888,3.1892678830000003
10044,100.51245329999999,0.7461982726999999,-9.564809875,3.3750315860000004
10045,100.5224613,1.4771282959999998,-9.569749603,3.52307373
10046,100.53246829999999,1.9784358219999998,-9.186696167000001,3.633843384
10047,100.5424753,2.1433927919999998,-8.546627197000001,3.9691461180000003
10048,100.55248329999999,2.270029449,-7.916587372,4.1758662410000005
10049,100.5624903,2.584974518,-7.23116272,4.127217407
10050,100.5724973,2.7837611389999997,-6.497089233,3.9597157289999996
10051,100.5825053,2.9171337889999998,-6.321654053,3.586841125
10052,100.5925123,2.896776123,-6.734046478,3.150947571
10053,100.6025193,2.624192963,-7.18431015,2.630629578
10054,100.6125273,2.220332794,-7.483088837,2.0020866390000003
10055,100.6225343,1.707349548,-8.427025909,1.6552578740000001
10056,100.6325413,0.7801776123,-10.16341507,1.525178375
10057,100.6425483,-0.7491920471,-12.61441818,1.460961914
10058,100.6525563,-2.723436584,-15.49891983,1.668729858
10059,100.66256329999999,-4.242477722,-17.47241592,2.054178314
10060,100.6725703,-4.3074426269999995,-17.66506531,1.832489319
10061,100.68257829999999,-3.9818696589999996,-17.01811066,0.5643264771000001
10062,100.6925853,-3.4709820560000004,-16.16997437,-0.840352478
10063,100.70259229999999,-2.651136932,-15.45206726,-1.3599220280000002
10064,100.7126003,-1.7800982669999998,-14.52953568,-0.9949809265
10065,100.72260729999999,-0.8455915833,-13.52272934,-0.3350033569
10066,100.7326143,0.1257385254,-12.66321671,0.2109114075
10067,100.7426223,0.9496252440999999,-12.25247086,0.9969268799
10068,100.7526293,1.7046551509999999,-12.08452011,1.084794159
10069,100.7626363,2.432142334,-11.86792053,-0.132923584
10070,100.7726443,3.4720298769999998,-11.24012604,-2.192939758
10071,100.7826513,4.785398712,-10.25472519,-5.261109467
10072,100.7926583,5.454058227999999,-8.863967285,-4.903503113
10073,100.80266529999999,5.1766850280000005,-7.41243576,-1.10919342
10074,100.8126733,4.338428192,-6.755302277,0.7934999084000001
10075,100.8226803,2.847378845,-6.178401947,0.9590556334999999
10076,100.8326873,1.541494446,-6.155499572999999,1.158890076
10077,100.8426953,0.60025177,-6.585106201,1.941612396
10078,100.85270229999999,-0.0173638916,-7.012018433,2.7083180239999995
10079,100.8627093,-0.610430603,-7.299121399,3.553759918
10080,100.87271729999999,-1.216819611,-7.711364136,4.449497223
10081,100.8827243,-1.643881531,-8.216862946000001,5.278323669
10082,100.8927313,-2.001936951,-8.719667357999999,5.85163147
10083,100.9027393,-1.967658234,-9.126072235,5.895789642
10084,100.9127463,-1.792223053,-9.242829437000001,4.9540979
10085,100.9227533,-1.553170166,-8.9991362,3.3558714289999996
10086,100.9327613,-1.0972183229999999,-8.865015106,2.092947693
10087,100.9427683,-0.6950047302,-9.04598877,1.8119819640000001
10088,100.9527753,-0.34967285159999995,-9.029972076,1.6745677190000001
10089,100.9627823,0.1062789917,-8.889863434,1.679657135
10090,100.9727903,0.5191204834,-8.694819031,1.7139358519999999
10091,100.9827973,0.9060658264,-8.428223419,1.818867645
10092,100.99280429999999,1.13269455,-8.160280608999999,2.010469208
10093,101.0028123,1.296154633,-8.023465117999999,2.3222708130000003
10094,101.0128193,1.4477893069999999,-7.975714417000001,2.755020905
10095,101.02282629999999,1.5745756530000001,-7.927514648,3.1864237980000003
10096,101.0328343,1.734293518,-8.004454651,3.5411860660000003
10097,101.04284129999999,1.9249969480000002,-8.17884201,3.774101715
10098,101.0528483,2.143093414,-8.323141937,3.8664596560000004
10099,101.06285629999999,2.3719674680000002,-8.437055054,3.8520895389999996
10100,101.0728633,2.649490356,-8.562194824,3.660637665
10101,101.0828703,2.8846513369999998,-8.734336853,3.314707031
10102,101.0928783,2.962489471,-8.880133667,3.117417297
10103,101.1028853,2.838247833,-8.854237518,3.2636631769999997
10104,101.1128923,2.625091095,-8.785680084,3.76182724
10105,101.1228993,2.4284001159999997,-8.808283081,4.353397064
10106,101.1329073,2.3429278559999998,-8.808283081,4.899611206
