"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.577268750E-1,-5.907952189E-1,-2.042225838E0,-1.090269566E0
8.676718750E-1,8.366816491E-2,-9.559449553E-1,-1.283889413E0
8.776168750E-1,9.757606387E-1,2.054593265E-1,-1.677729964E0
8.875608750E-1,1.375169873E0,6.971232891E-1,-2.175555944E0
8.975058750E-1,1.563045740E0,1.262733936E0,-2.691670656E0
9.074508750E-1,1.801110983E0,1.846300125E0,-2.961997986E0
9.173948750E-1,2.069668293E0,2.538584948E0,-2.991928339E0
9.273398750E-1,1.834628940E0,2.982038498E0,-2.909546614E0
9.372848750E-1,1.491570234E0,2.841033220E0,-2.687197685E0
9.472288750E-1,1.337888598E0,2.488744974E0,-2.403910398E0
9.571738750E-1,1.492738128E0,1.977312446E0,-2.180487394E0
9.671188750E-1,1.842373013E0,1.302594900E0,-2.042283058E0
9.770628750E-1,2.230958223E0,6.401202083E-1,-1.973384500E0
9.870078750E-1,2.576444387E0,1.760417372E-1,-1.929392457E0
9.969528750E-1,2.830789089E0,-2.788477950E-2,-1.925017953E0
1.006896875E0,3.019958258E0,-9.198176675E-3,-1.956110597E0
1.016841875E0,3.207992554E0,5.742836371E-2,-1.990178227E0
1.026786875E0,3.389608860E0,1.068800688E-1,-1.998033762E0
1.036730875E0,3.507699490E0,1.053996086E-1,-1.963434935E0
1.046675875E0,3.484333515E0,6.450942159E-2,-1.880802035E0
1.056620875E0,3.355121613E0,-6.231040508E-2,-1.744996071E0
1.066564875E0,3.213444471E0,-4.184599817E-1,-1.632963181E0
1.076509875E0,3.016780138E0,-7.263489962E-1,-1.607162356E0
1.086454875E0,2.755604744E0,-8.009084463E-1,-1.590654492E0
1.096398875E0,2.532566547E0,-7.032071352E-1,-1.580449581E0
1.106343875E0,2.420360088E0,-5.566490889E-1,-1.611934781E0
1.116288875E0,2.436770201E0,-4.260109365E-1,-1.657648444E0
1.126232875E0,2.549788475E0,-3.589128554E-1,-1.661602497E0
1.136177875E0,2.729579210E0,-4.247731864E-1,-1.572939873E0
1.146122875E0,2.925697327E0,-7.198847532E-1,-1.334778905E0
1.156066875E0,3.035157919E0,-1.206566811E0,-9.968796372E-1
1.166011875E0,2.984821320E0,-1.649699330E0,-6.967752576E-1
1.175956875E0,2.766080856E0,-1.906761765E0,-5.151299238E-1
1.185900875E0,2.466586590E0,-1.854367495E0,-4.378167391E-1
1.195845875E0,2.183575630E0,-1.483106852E0,-4.100374579E-1
1.205790875E0,1.907700181E0,-8.838534951E-1,-3.920789659E-1
1.215734875E0,1.653107047E0,-2.423475683E-1,-3.589012921E-1
1.225679875E0,1.476321101E0,3.226231337E-1,-2.977692187E-1
1.235624875E0,1.423597574E0,7.657224536E-1,-2.248913944E-1
1.245568875E0,1.462802529E0,9.854103923E-1,-1.475457400E-1
1.255513875E0,1.534603477E0,8.927164674E-1,-3.303255886E-2
1.265458875E0,1.571975350E0,5.137952566E-1,1.382819414E-1
1.275402875E0,1.498036742E0,-2.937951311E-2,3.169963956E-1
1.285347875E0,1.324932814E0,-5.573027134E-1,4.258352816E-1
1.295292875E0,1.141020417E0,-8.808655739E-1,4.176195860E-1
1.305236875E0,1.002944589E0,-9.504795074E-1,2.886488140E-1
1.315181875E0,9.011159539E-1,-8.801377416E-1,1.122547910E-1
1.325126875E0,8.329728842E-1,-7.480859160E-1,-6.003442407E-2
1.335070875E0,7.614034414E-1,-5.488222837E-1,-1.628808081E-1
1.345015875E0,6.957250834E-1,-2.757470310E-1,-1.452754438E-1
1.354960875E0,6.484485269E-1,7.022063434E-2,-2.795036882E-2
1.364904875E0,6.044446230E-1,4.567640722E-1,8.096279204E-2
1.374849875E0,5.182796121E-1,8.216954470E-1,1.219325960E-1
1.384794875E0,3.868609071E-1,1.042952538E0,8.283527195E-2
1.394739875E0,2.661766410E-1,1.053264618E0,-1.411331352E-2
1.404683875E0,2.196328193E-1,8.795692325E-1,-1.154188886E-1
1.414628875E0,2.877326608E-1,5.637474656E-1,-1.574407518E-1
1.424573875E0,3.938082457E-1,1.428663135E-1,-1.243224740E-1
1.434517875E0,4.544432461E-1,-3.317314088E-1,-4.514482990E-2
