"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.028071642E0,6.101470470E0,7.962646484E0
2.503020000E-3,-1.008907795E0,6.166148663E0,7.941086769E0
4.977031000E-3,-9.609982371E-1,6.142193794E0,7.845267296E0
7.451041000E-3,-9.298570752E-1,6.132611752E0,7.778193951E0
9.954062000E-3,-9.106932282E-1,6.127820969E0,7.727889061E0
1.245708300E-2,-8.508062959E-1,6.125425339E0,7.720702648E0
1.496010400E-2,-8.651791215E-1,6.084702492E0,7.696747780E0
1.746312500E-2,-8.771564364E-1,6.108656883E0,7.660815716E0
1.996614500E-2,-8.963204026E-1,6.180521488E0,7.574578762E0
2.246916600E-2,-8.843429685E-1,6.149380207E0,7.557810307E0
2.497218700E-2,-9.035068154E-1,6.144589424E0,7.526668549E0
2.747520800E-2,-8.627836108E-1,6.132611752E0,7.514691353E0
2.997828100E-2,-8.460153937E-1,6.132611752E0,7.502714157E0
3.248130200E-2,-8.076875806E-1,6.123029709E0,7.481154442E0
3.499791600E-2,-8.100830913E-1,6.135007381E0,7.545832634E0
3.750093700E-2,-8.172696233E-1,6.084702492E0,7.509900570E0
4.000401000E-2,-7.669644952E-1,6.108656883E0,7.497922897E0
4.250703100E-2,-7.166594863E-1,6.046374321E0,7.521878242E0
4.501005200E-2,-7.070775628E-1,6.017629147E0,7.390126705E0
4.751307300E-2,-6.639589667E-1,6.032001972E0,7.435640812E0
5.001609300E-2,-6.687498689E-1,6.039188385E0,7.375753403E0
5.251911400E-2,-6.495861411E-1,6.051165581E0,7.387731075E0
5.502213500E-2,-6.927047372E-1,6.039188385E0,7.438035965E0
5.752515600E-2,-6.903092265E-1,6.077516079E0,7.447618008E0
6.002817700E-2,-7.142639756E-1,6.043979168E0,7.464386463E0
6.253119800E-2,-7.430097461E-1,6.053560734E0,7.502714157E0
6.503390600E-2,-7.549870610E-1,6.053560734E0,7.473968029E0
6.753692700E-2,-7.382187247E-1,6.029606342E0,7.553019047E0
7.004000000E-2,-7.621735930E-1,6.022419930E0,7.488340855E0
7.254302000E-2,-8.052921891E-1,6.024815559E0,7.459595680E0
7.504604100E-2,-8.436198831E-1,6.020024300E0,7.471572399E0
7.754906200E-2,-8.388288617E-1,6.041583538E0,7.473968029E0
8.005208300E-2,-8.460153937E-1,6.024815559E0,7.433245182E0
8.255510400E-2,-8.795519471E-1,6.029606342E0,7.418871880E0
8.505812500E-2,-8.939248919E-1,5.996069431E0,7.402103901E0
8.756114500E-2,-9.538118243E-1,5.993673801E0,7.380544662E0
9.006416600E-2,-1.047235489E0,5.981697083E0,7.382940292E0
9.256718700E-2,-1.028071642E0,5.991278648E0,7.356590271E0
9.512755200E-2,-1.073585749E0,6.027210712E0,7.323052883E0
9.763052000E-2,-1.102331400E0,6.012837887E0,7.335030556E0
1.001335410E-1,-1.095145226E0,5.957741737E0,7.337426186E0
1.026366140E-1,-1.150241137E0,5.993673801E0,7.363776207E0
1.051396350E-1,-1.190964222E0,6.027210712E0,7.373358250E0
1.076426560E-1,-1.202941656E0,6.024815559E0,7.351799011E0
1.101456770E-1,-1.234082937E0,6.017629147E0,7.380544662E0
1.126486980E-1,-1.250851154E0,6.015233517E0,7.435640812E0
1.151517180E-1,-1.279597044E0,6.027210712E0,7.428453922E0
1.176547390E-1,-1.281992435E0,6.003255844E0,7.440431595E0
1.201578120E-1,-1.246060133E0,6.024815559E0,7.428453922E0
1.226607810E-1,-1.253246546E0,6.065538406E0,7.450013638E0
1.250973950E-1,-1.267619371E0,6.084702492E0,7.505109787E0
1.276004160E-1,-1.253246546E0,6.087098122E0,7.536250591E0
1.301034370E-1,-1.231687307E0,6.082306862E0,7.512296200E0
1.326064580E-1,-1.181382418E0,6.127820969E0,7.488340855E0
1.351095310E-1,-1.174195766E0,6.144589424E0,7.497922897E0
1.376125520E-1,-1.140659332E0,6.132611752E0,7.519482613E0
1.401155730E-1,-1.147845507E0,6.115843296E0,7.553019047E0
1.426185930E-1,-1.150241137E0,6.163753033E0,7.557810307E0
1.451216140E-1,-1.073585749E0,6.154170990E0,7.524273396E0
1.476246870E-1,-1.042444706E0,6.194894314E0,7.560205460E0
1.501276560E-1,-1.020885229E0,6.214057922E0,7.632070065E0
1.526306770E-1,-1.018489838E0,6.194894314E0,7.627279282E0
1.551450520E-1,-9.993259311E-1,6.221244335E0,7.679979801E0
1.576480730E-1,-1.030467033E0,6.266758442E0,7.703934193E0
1.601511450E-1,-1.013698816E0,6.297899723E0,7.756634712E0
1.626541660E-1,-1.049630880E0,6.293108940E0,7.778193951E0
1.651571870E-1,-1.099936008E0,6.317063808E0,7.890781403E0
1.676602080E-1,-1.126286268E0,6.288318157E0,7.919527054E0
1.701632290E-1,-1.095145226E0,6.271549225E0,7.962646484E0
1.726662500E-1,-1.150241137E0,6.283526897E0,8.048883438E0
1.751692700E-1,-1.171800375E0,6.252386093E0,8.115956306E0
1.776722910E-1,-1.183777809E0,6.278736115E0,8.166261673E0
1.801753120E-1,-1.174195766E0,6.271549225E0,8.206985474E0
1.826783850E-1,-1.176591396E0,6.230826378E0,8.271662712E0
1.852140620E-1,-1.205337048E0,6.264362812E0,8.314781189E0
1.877170310E-1,-1.202941656E0,6.218848705E0,8.355504036E0
1.902200520E-1,-1.229291916E0,6.235617638E0,8.345922470E0
1.927231250E-1,-1.162218571E0,6.226035595E0,8.379459381E0
1.952261450E-1,-1.111913443E0,6.216453552E0,8.379459381E0
1.977291660E-1,-1.123890877E0,6.216453552E0,8.362690926E0
2.002321870E-1,-1.068794966E0,6.173335075E0,8.362690926E0
2.027352080E-1,-1.011303425E0,6.158961773E0,8.367482185E0
2.052382290E-1,-9.370434880E-1,6.151775837E0,8.348318100E0
2.077412500E-1,-8.412243724E-1,6.130216599E0,8.321968079E0
2.102443230E-1,-7.549870610E-1,6.130216599E0,8.233335495E0
2.127472910E-1,-7.166594863E-1,6.197289944E0,8.142306328E0
2.152359890E-1,-6.591679454E-1,6.197289944E0,8.123143196E0
2.177389580E-1,-6.208403707E-1,6.202080727E0,8.060860634E0
2.202419790E-1,-6.352131963E-1,6.170939445E0,8.015346527E0
2.227450000E-1,-5.777217746E-1,6.144589424E0,8.012950897E0
2.252480730E-1,-6.016765237E-1,6.166148663E0,7.960250854E0
2.277510930E-1,-6.951002479E-1,6.190103531E0,7.885990143E0
2.302541140E-1,-7.190549970E-1,6.175730228E0,7.936295509E0
2.327571350E-1,-7.525916696E-1,6.182917118E0,7.967436790E0
2.352601560E-1,-7.717555165E-1,6.187707901E0,7.936295509E0
2.377631770E-1,-7.957102656E-1,6.194894314E0,7.938691139E0
2.402661980E-1,-8.268515468E-1,6.218848705E0,7.962646484E0
2.427692180E-1,-8.436198831E-1,6.166148663E0,7.953063965E0
2.452463540E-1,-9.130887389E-1,6.199685574E0,7.936295509E0
2.477493230E-1,-9.250661731E-1,6.182917118E0,7.950668335E0
2.502523950E-1,-9.442300200E-1,6.166148663E0,7.945878029E0
2.527554160E-1,-9.633937478E-1,6.158961773E0,7.921922684E0
2.552584370E-1,-1.037653685E0,6.144589424E0,7.890781403E0
2.577614580E-1,-1.018489838E0,6.163753033E0,7.893177032E0
2.602644790E-1,-9.897440076E-1,6.175730228E0,7.830894470E0
2.627675000E-1,-1.013698816E0,6.151775837E0,7.816521645E0
2.652705730E-1,-1.023280859E0,6.206871986E0,7.823708534E0
2.677735410E-1,-1.032862663E0,6.163753033E0,7.771007538E0
2.702765620E-1,-9.753710628E-1,6.180521488E0,7.790171623E0
2.727795830E-1,-9.322524667E-1,6.168543816E0,7.785380363E0
2.755404160E-1,-9.322524667E-1,6.209267139E0,7.699142933E0
2.780433850E-1,-9.226706624E-1,6.156566620E0,7.723098278E0
2.805464060E-1,-9.322524667E-1,6.168543816E0,7.727889061E0
2.830494790E-1,-9.250661731E-1,6.182917118E0,7.708724976E0
