"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-5.197192383E-1,5.793701935E0,7.544161835E0
1.010200003E-2,-3.935316467E-1,5.797294464E0,7.580536194E0
2.020299999E-2,-3.902384949E-1,5.836812286E0,7.599696350E0
3.018200002E-2,-3.219804382E-1,5.735173645E0,7.630232849E0
4.013099999E-2,-2.118095398E-1,5.664520569E0,7.682324524E0
5.011000001E-2,-1.664538574E-1,5.643414459E0,7.774832153E0
6.008899998E-2,-1.489402771E-1,5.608686676E0,7.831713867E0
7.006900001E-2,-1.553768921E-1,5.567073212E0,7.824079742E0
8.001700003E-2,-1.749861145E-1,5.541177063E0,7.888894958E0
8.999700000E-2,-2.980302429E-1,5.563181305E0,8.076903992E0
9.997600003E-2,-3.692820740E-1,5.618416443E0,8.304430847E0
1.099250000E-1,-3.968247986E-1,5.653293915E0,8.388705597E0
1.199040000E-1,-3.396437073E-1,5.587879944E0,8.287366333E0
1.298830000E-1,-2.788700867E-1,5.546266479E0,8.193960571E0
1.398620000E-1,-2.160008240E-1,5.526058502E0,8.072563019E0
1.498110000E-1,-2.727328491E-1,5.554349670E0,8.094716949E0
1.597900000E-1,-3.950285339E-1,5.547164612E0,8.179740143E0
1.697700000E-1,-4.083508301E-1,5.582790527E0,8.097561035E0
1.797490000E-1,-4.014651489E-1,5.556595001E0,8.081694031E0
1.896970000E-1,-3.830534363E-1,5.510640564E0,8.293503571E0
1.996770000E-1,-3.778143311E-1,5.449118500E0,8.398135986E0
2.096560000E-1,-2.561174011E-1,5.318739624E0,8.363408203E0
2.196050000E-1,-2.612068176E-1,5.260061646E0,8.261470184E0
2.295840000E-1,-2.258802795E-1,5.233417053E0,8.250093842E0
2.395630000E-1,-1.678010559E-1,5.148543549E0,8.196804657E0
2.495420000E-1,-1.245410156E-1,5.091063080E0,8.172255707E0
2.594910000E-1,-1.634600830E-1,5.035079498E0,8.159232788E0
2.694700000E-1,-2.630030823E-1,5.103038177E0,8.499924316E0
2.794500000E-1,-5.019062805E-1,5.132676544E0,8.647218018E0
2.894290000E-1,-5.608836365E-1,5.084476776E0,8.522078247E0
2.993780000E-1,-4.754113770E-1,4.992717590E0,8.503217468E0
3.093570000E-1,-3.426374817E-1,4.896617432E0,8.506510620E0
3.193360000E-1,-3.673361206E-1,4.895569611E0,8.568481750E0
3.292850000E-1,-2.561174011E-1,4.811145172E0,8.401129761E0
3.392640000E-1,-2.763253784E-1,4.694986725E0,8.282875671E0
3.492430000E-1,-1.767823792E-1,4.649481354E0,8.379424896E0
3.592230000E-1,-2.088157654E-1,4.655917969E0,8.453969879E0
3.691710000E-1,-3.989204407E-1,4.741240540E0,8.746012573E0
3.791510000E-1,-2.935395813E-1,4.718787231E0,8.781788177E0
3.891300000E-1,-2.210902405E-1,4.481829987E0,8.585695953E0
3.991090000E-1,-2.357597351E-1,4.440964966E0,8.604407043E0
4.090580000E-1,-2.839595032E-1,4.552483063E0,8.749156036E0
4.190370000E-1,-2.875520325E-1,4.556824036E0,8.606203308E0
4.290160000E-1,-1.922003174E-1,4.368365936E0,8.405021667E0
4.389960000E-1,-2.097138977E-1,4.317771149E0,8.327333221E0
4.489440000E-1,-1.848655701E-1,4.222868500E0,8.336913300E0
4.589240000E-1,-1.588197327E-1,4.054768066E0,8.273894348E0
4.689030000E-1,-1.061293030E-1,3.913611603E0,8.327333221E0
4.788520000E-1,-2.477348328E-1,3.997437286E0,8.677904205E0
4.888310000E-1,-3.932322693E-1,4.141288147E0,9.116791534E0
4.988100000E-1,-3.549119568E-1,4.111949158E0,9.206455078E0
5.087890000E-1,-3.763174438E-1,4.067940674E0,9.017996979E0
5.187380000E-1,-4.315525818E-1,4.034260712E0,8.930279388E0
5.287170000E-1,-4.824467468E-1,4.008214874E0,8.938961334E0
5.386970000E-1,-4.808001709E-1,3.953877869E0,8.870553589E0
5.486760000E-1,-4.007167053E-1,3.848796387E0,8.621321869E0
5.586250000E-1,-2.878514099E-1,3.754193115E0,8.397986298E0
5.686040000E-1,-2.811154175E-1,3.683989105E0,8.335865479E0
5.785830000E-1,-3.231779480E-1,3.625610504E0,8.575517120E0
5.885320000E-1,-3.309617615E-1,3.594774628E0,8.928333435E0
5.985110000E-1,-5.328918457E-1,3.575764160E0,9.328002319E0
6.084900000E-1,-5.598358154E-1,3.645818481E0,9.393715668E0
6.184690000E-1,-5.791456604E-1,3.649710388E0,9.144633636E0
6.284180000E-1,-5.641767883E-1,3.492986298E0,8.966653748E0
6.383970000E-1,-6.342311096E-1,3.297792206E0,9.328750763E0
6.483770000E-1,-5.845344543E-1,3.134032745E0,9.688003693E0
6.583560000E-1,-5.343887329E-1,2.958148499E0,9.574090576E0
6.683050000E-1,-6.780899048E-1,2.945874023E0,9.635462952E0
6.782840000E-1,-8.032296753E-1,2.979553986E0,9.746981049E0
6.882630000E-1,-7.768844604E-1,3.025957489E0,9.690698090E0
6.982120000E-1,-6.240522766E-1,3.038381653E0,9.581125946E0
7.081910000E-1,-5.843847656E-1,3.004402313E0,9.468560028E0
7.181700000E-1,-7.286846924E-1,2.979853363E0,9.382638702E0
7.281500000E-1,-8.896000671E-1,2.970872040E0,9.344019012E0
7.380980000E-1,-9.132508850E-1,2.897973633E0,9.218879242E0
7.480780000E-1,-9.580078125E-1,2.948269043E0,9.266180878E0
7.580570000E-1,-1.065334625E0,2.936743011E0,9.383686523E0
7.680360000E-1,-1.150806885E0,2.885549469E0,9.469607849E0
7.779850000E-1,-1.250649261E0,2.831960907E0,9.474697266E0
7.879640000E-1,-1.426683197E0,2.759960632E0,9.545500031E0
7.979430000E-1,-1.447789307E0,2.707719269E0,9.519753571E0
8.079230000E-1,-1.410666504E0,2.694396973E0,9.424102478E0
8.178710000E-1,-1.358724518E0,2.709216156E0,9.439071350E0
8.278510000E-1,-1.241667938E0,2.737207947E0,9.515262909E0
8.378300000E-1,-1.106349335E0,2.781964874E0,9.579329681E0
8.477793750E-1,-1.083446960E0,2.769391022E0,9.672436066E0
8.577583750E-1,-1.212179260E0,2.706671448E0,9.791737976E0
8.677373750E-1,-1.372346191E0,2.660717010E0,9.925260315E0
8.777163750E-1,-1.395098877E0,2.635718994E0,1.014694931E1
8.876653750E-1,-1.299747162E0,2.635120239E0,1.011820908E1
8.976443750E-1,-1.262624359E0,2.647544403E0,9.982740784E0
9.076243750E-1,-1.311273193E0,2.626138916E0,9.791438599E0
9.176033750E-1,-1.294957123E0,2.656974792E0,9.459728394E0
9.275523750E-1,-1.265618134E0,2.643951874E0,9.327253876E0
9.375313750E-1,-1.215023346E0,2.616409149E0,9.373956757E0
9.475103750E-1,-1.104702759E0,2.621199188E0,9.317374420E0
9.574593750E-1,-1.054107971E0,2.600542145E0,9.193731537E0
9.674383750E-1,-9.521699524E-1,2.612367554E0,9.356592865E0
9.774173750E-1,-9.268725586E-1,2.708168335E0,9.357191620E0
9.873963750E-1,-8.409512329E-1,2.719694366E0,9.144933014E0
9.973453750E-1,-7.719447327E-1,2.691552887E0,9.098978577E0
1.007324375E0,-7.655081177E-1,2.687062225E0,8.890162811E0
1.017304375E0,-8.577163696E-1,2.578986969E0,8.826545105E0
1.027283375E0,-1.018931122E0,2.461181946E0,8.954678650E0
1.037232375E0,-1.110690308E0,2.347119141E0,8.926986237E0
1.047211375E0,-1.155297546E0,2.354154510E0,9.077423401E0
1.057190375E0,-9.403445435E-1,2.548450470E0,9.344468079E0
1.067169375E0,-8.282276917E-1,2.804118805E0,9.516610107E0
1.077118375E0,-5.971083069E-1,2.819686432E0,9.493707733E0
1.087097375E0,-4.013154602E-1,2.808160400E0,9.242679749E0
1.097077375E0,-5.709127808E-1,2.807262268E0,8.993747406E0
1.107025375E0,-5.933660889E-1,3.063679047E0,9.064550171E0
1.117005375E0,-6.394702148E-1,3.055446167E0,9.153914337E0
1.126984375E0,-5.013075256E-1,2.852019196E0,8.812773743E0
1.136963375E0,-3.288661194E-1,2.711012421E0,8.479416962E0
1.146912375E0,-5.589376831E-1,2.731968842E0,8.448581085E0
1.156891375E0,-1.219963074E0,2.819836121E0,9.162596283E0
1.166870375E0,-1.647623749E0,2.841091919E0,1.033091675E1
1.176850375E0,-1.438658295E0,2.542462921E0,1.100765945E1
1.186798375E0,-1.085692291E0,2.386337585E0,1.076022400E1
1.196778375E0,-5.397775269E-1,2.375410309E0,1.032867142E1
1.206757375E0,-2.215393066E-2,2.435585175E0,1.005369324E1
1.216736375E0,2.327659607E-1,2.576442261E0,9.832902374E0
1.226685375E0,4.825964355E-1,2.647394714E0,1.011237122E1
1.236664375E0,5.640270996E-1,2.613864441E0,1.042971130E1
1.246643375E0,7.339237976E-1,2.569855957E0,1.112935638E1
1.256592375E0,1.706002350E0,2.819985809E0,1.180325500E1
1.266571375E0,3.188519440E0,2.817441101E0,1.217223770E1
1.276551375E0,4.133803711E0,2.639910278E0,9.628128204E0
1.286530375E0,3.045716400E0,1.903890839E0,6.155499573E0
1.296479375E0,8.301736450E-1,1.299896851E0,6.056854706E0
1.306458375E0,-1.745071106E0,8.008346558E-1,5.202431488E0
1.316437375E0,-4.141737213E0,1.384470978E0,6.133195953E0
1.326416375E0,-2.954855347E-1,2.473306732E0,8.697663116E0
1.336365375E0,1.426832886E0,2.405198364E0,8.371042328E0
1.346344375E0,1.361718292E0,2.132465515E0,7.571255493E0
1.356323375E0,1.776056671E0,1.874851227E0,7.119345245E0
1.366272375E0,1.916913757E0,1.480122070E0,7.118746490E0
1.376251375E0,1.985321503E0,8.970845032E-1,7.626191254E0
1.386231375E0,2.426154785E0,4.228706360E-1,8.201145630E0
1.396210375E0,2.805016937E0,7.304809570E-2,8.069269867E0
1.406159375E0,2.976111145E0,-3.670367432E-1,7.983797607E0
1.416138375E0,2.993175659E0,-1.028960266E0,8.367599487E0
1.426117375E0,3.426374817E0,-1.767374725E0,8.855435028E0
1.436096375E0,4.245770874E0,-2.725232849E0,9.222621460E0
1.446045375E0,4.966671753E0,-3.242557068E0,9.319470062E0
1.456024375E0,4.533173218E0,-2.566263428E0,9.237440643E0
1.466004375E0,3.316652985E0,-1.414708099E0,9.478289795E0
1.475983375E0,2.283501434E0,-8.120613098E-1,9.812395020E0
1.485932375E0,1.639989624E0,-9.398954773E-1,9.541907501E0
1.495911375E0,1.231339417E0,-9.740245056E-1,9.645492096E0
1.505890375E0,1.177002411E0,-7.915539551E-1,9.975555725E0
1.515839375E0,1.433868256E0,-7.544311523E-1,1.056143738E1
1.525818375E0,1.956431580E0,-8.324189758E-1,1.071726334E1
1.535797375E0,2.589315491E0,-8.900491333E-1,1.061307999E1
1.545777375E0,2.800825653E0,-9.624984741E-1,1.140657990E1
1.555725375E0,2.234852600E0,-1.134939880E0,1.186372925E1
1.565705375E0,1.713935852E0,-1.249152374E0,1.173185349E1
1.575684375E0,1.347198486E0,-1.372645569E0,1.202195023E1
1.585663375E0,6.602769470E-1,-1.463356934E0,1.241233841E1
1.595612375E0,5.212161255E-1,-1.428479462E0,1.243628860E1
1.605591375E0,1.058149567E0,-1.022673340E0,1.234602631E1
1.615570375E0,2.067949677E0,-6.749464417E-1,1.211730194E1
1.625550375E0,2.979553986E0,-3.805087280E-1,1.152034332E1
1.635498375E0,3.000959473E0,-2.424957275E-1,1.049931656E1
1.645478375E0,2.215093689E0,-1.474433899E-1,9.505832520E0
1.655457375E0,1.512754211E0,-3.086581421E-1,9.253008270E0
1.665406375E0,1.245110779E0,-5.237608337E-1,9.374705200E0
1.675385375E0,1.050964508E0,-7.093748474E-1,9.751920776E0
1.685364375E0,7.867639160E-1,-8.297245789E-1,9.782756653E0
1.695343375E0,5.047503662E-1,-5.508544922E-1,8.812624054E0
1.705292375E0,4.995112610E-1,8.217910767E-2,7.283853149E0
1.715271375E0,1.435664520E0,4.438270569E-1,6.045777740E0
1.725250375E0,2.541115723E0,5.972579956E-2,6.071374512E0
1.735230375E0,2.841391296E0,-5.423222351E-1,6.519841919E0
1.745178375E0,2.516866150E0,-1.310674438E0,6.025270386E0
