"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.023958000E-3,-1.597895324E-1,3.796332777E-1,-4.643217325E-1
7.535937000E-3,-1.427453160E-1,3.806985617E-1,-4.717785716E-1
1.004791700E-2,-1.161137223E-1,3.796332777E-1,-5.037364960E-1
1.255989600E-2,-9.374319017E-2,3.615238070E-1,-5.207806826E-1
1.507187500E-2,-7.989476621E-2,3.327617049E-1,-5.111933351E-1
1.758390600E-2,-7.137265801E-2,2.986732721E-1,-4.941491187E-1
2.009588500E-2,-6.391581148E-2,2.549974620E-1,-4.781701565E-1
2.260786400E-2,-6.178528443E-2,1.985384822E-1,-4.707133174E-1
2.511984400E-2,-6.178528443E-2,1.346226782E-1,-4.579301476E-1
2.763182300E-2,-5.858949572E-2,7.390265912E-2,-4.430164695E-1
3.014380200E-2,-6.178528443E-2,2.383527160E-2,-4.281027913E-1
3.265578100E-2,-6.711160392E-2,-1.131842472E-2,-4.099932909E-1
3.516781200E-2,-8.096002787E-2,-3.049316816E-2,-3.972101510E-1
3.767979200E-2,-8.948213607E-2,-3.581948578E-2,-3.897532821E-1
4.019177100E-2,-9.267792851E-2,-5.286370218E-2,-3.886880279E-1
4.270375000E-2,-9.161266685E-2,-8.056055754E-2,-3.940143585E-1
4.521572900E-2,-9.161266685E-2,-1.061268821E-1,-4.004059136E-1
4.772770800E-2,-9.054739773E-2,-1.253016293E-1,-4.089280367E-1
5.023968700E-2,-8.415582031E-2,-1.498026848E-1,-4.206459224E-1
5.275166700E-2,-8.841687441E-2,-1.615205854E-1,-4.302332997E-1
5.526369800E-2,-7.989476621E-2,-1.679121703E-1,-4.451470077E-1
5.777567700E-2,-6.711160392E-2,-1.785648018E-1,-4.547343552E-1
6.028765600E-2,-5.965475738E-2,-1.838911176E-1,-4.696480632E-1
6.279963500E-2,-4.048001394E-2,-1.796300560E-1,-4.803006947E-1
6.531161400E-2,-2.343579754E-2,-1.668469012E-1,-4.973449111E-1
6.782359400E-2,-2.130527049E-3,-1.508679539E-1,-5.143890977E-1
7.033557300E-2,2.876211517E-2,-1.284974068E-1,-5.303680897E-1
