"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.738679409E0,7.283103943E0,4.990186691E0
3.970313000E-3,-2.930081606E0,7.297919273E0,5.264801979E0
7.940625000E-3,-3.112117529E0,7.306576729E0,5.528470039E0
1.191093800E-2,-3.301029444E0,7.301060677E0,5.870343208E0
1.588281300E-2,-3.463576555E0,7.281983376E0,6.177107334E0
1.985156300E-2,-3.559392691E0,7.266555309E0,6.485882759E0
2.382343800E-2,-3.624629974E0,7.252084732E0,6.733864784E0
2.779218800E-2,-3.670148373E0,7.255628586E0,7.011668682E0
3.176562500E-2,-3.690547228E0,7.240506172E0,7.224130154E0
3.573437500E-2,-3.675875187E0,7.241147995E0,7.342049122E0
3.970468800E-2,-3.617926121E0,7.254153252E0,7.425453663E0
4.367500000E-2,-3.532165766E0,7.260426044E0,7.506071091E0
4.764687500E-2,-3.451280117E0,7.231686115E0,7.566395283E0
5.161562500E-2,-3.367665052E0,7.164916515E0,7.612527370E0
5.558593800E-2,-3.209130526E0,7.025287151E0,7.685579300E0
5.955781300E-2,-3.070908546E0,6.939670563E0,7.612632275E0
6.352812500E-2,-3.001227617E0,6.903412819E0,7.555439949E0
6.749843800E-2,-2.911511898E0,6.818504333E0,7.608859539E0
7.146875000E-2,-2.861779690E0,6.735301495E0,7.695672989E0
7.543906300E-2,-2.880473614E0,6.641697407E0,7.736546993E0
7.940937500E-2,-2.993470430E0,6.525578499E0,7.739190102E0
8.338125000E-2,-3.059416294E0,6.458808899E0,7.922585964E0
8.735156300E-2,-3.018178463E0,6.395822525E0,8.037795067E0
9.132187500E-2,-2.948334932E0,6.325212955E0,8.143838882E0
9.529218800E-2,-2.889121532E0,6.253089905E0,8.270031929E0
9.926250000E-2,-2.873204947E0,6.180315495E0,8.450871468E0
1.032328130E-1,-2.879008293E0,6.137181759E0,8.556877136E0
1.072046880E-1,-2.905670166E0,6.096873283E0,8.551973343E0
1.111734380E-1,-2.961675406E0,6.058853149E0,8.358752251E0
1.151453130E-1,-3.033118486E0,6.022480488E0,8.052859306E0
1.191156250E-1,-3.146421671E0,6.018438816E0,7.692685127E0
1.230859380E-1,-3.221225977E0,6.037860870E0,7.379925728E0
1.270562500E-1,-3.300100565E0,6.049630165E0,7.086415291E0
1.310265630E-1,-3.295982599E0,5.982439518E0,6.607891083E0
1.349968750E-1,-3.199658871E0,5.894993782E0,6.086414814E0
1.389671880E-1,-3.032170057E0,5.852664471E0,5.719843864E0
1.429390630E-1,-2.857479811E0,5.840358257E0,5.522638321E0
1.469093750E-1,-2.699318886E0,5.841440201E0,5.446406841E0
1.508796880E-1,-2.728029966E0,5.871204853E0,5.486437321E0
1.548500000E-1,-2.871730089E0,5.876922131E0,5.561357021E0
1.588203130E-1,-3.139449596E0,5.847885609E0,5.654529572E0
1.627906250E-1,-3.465587854E0,5.767440319E0,5.778673649E0
1.667625000E-1,-3.716050148E0,5.703812122E0,5.899437428E0
1.707312500E-1,-3.975686789E0,5.671681404E0,6.113038540E0
1.747031250E-1,-4.121732712E0,5.679908276E0,6.212829113E0
1.786734380E-1,-4.169521332E0,5.606310368E0,6.419170856E0
1.826421880E-1,-4.274770737E0,5.541782379E0,6.291282177E0
1.866140630E-1,-4.300905704E0,5.580510616E0,6.104400158E0
1.905843750E-1,-4.161658764E0,5.727447987E0,6.103940487E0
1.945546880E-1,-4.044228077E0,5.828980923E0,6.017864227E0
1.985265630E-1,-4.121819496E0,5.835856915E0,5.728194714E0
2.024968750E-1,-4.439865112E0,5.835483551E0,5.472800255E0
2.064671880E-1,-4.769919872E0,5.889008522E0,5.328401566E0
2.104375000E-1,-5.064081669E0,5.939171791E0,5.155444145E0
2.144078130E-1,-5.188359261E0,6.047695637E0,4.969950676E0
2.183781250E-1,-5.286540985E0,6.137353897E0,4.673941612E0
2.223484380E-1,-5.382146358E0,6.213671684E0,4.359189987E0
2.263203130E-1,-5.522369862E0,6.284904003E0,3.951859951E0
2.302937500E-1,-5.672610760E0,6.335096359E0,3.611011744E0
2.342609380E-1,-5.760899544E0,6.378842831E0,3.344584942E0
2.382312500E-1,-5.839640141E0,6.377195835E0,3.039352894E0
2.422015630E-1,-5.815371990E0,6.374351501E0,2.774104118E0
2.461734380E-1,-5.709759235E0,6.340726852E0,2.650505781E0
2.501421880E-1,-5.555141449E0,6.340870380E0,2.633621931E0
2.541140630E-1,-5.373632431E0,6.331974030E0,2.774180651E0
2.580843750E-1,-5.209610462E0,6.287805557E0,2.855727196E0
2.620531250E-1,-5.102091789E0,6.250063419E0,2.942866564E0
2.660250000E-1,-4.993011951E0,6.215108395E0,3.168381214E0
2.699953130E-1,-4.855642319E0,6.176992893E0,3.518020868E0
2.739656250E-1,-4.748037338E0,6.152868748E0,3.848765373E0
2.779359380E-1,-4.681018353E0,6.155205250E0,4.222615242E0
2.819062500E-1,-4.680501461E0,6.186712742E0,4.492211819E0
2.858765630E-1,-4.784352303E0,6.215280533E0,4.614766121E0
2.898484380E-1,-4.932285309E0,6.259784222E0,4.597968578E0
2.938187500E-1,-5.199401855E0,6.357342720E0,4.446128368E0
2.977890630E-1,-5.545191288E0,6.458014011E0,4.221293449E0
3.017593750E-1,-5.927985668E0,6.589130402E0,4.035819530E0
3.057296880E-1,-6.408684254E0,6.740396023E0,3.762813568E0
3.097000000E-1,-6.822612762E0,6.806303501E0,3.341041565E0
3.136718750E-1,-6.614307404E0,6.831423759E0,2.751703739E0
3.176421880E-1,-6.640395164E0,6.742857456E0,1.756453395E0
3.216125000E-1,-6.604185104E0,6.633337021E0,4.742338955E-1
