"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,4.307080805E-2,9.083752632E0,3.422334671E0
1.022927100E-2,9.678967595E-1,9.802796364E0,3.192025423E0
1.269807300E-2,1.116251707E0,1.001336479E1,2.895315409E0
1.520526000E-2,1.207777262E0,1.022393322E1,2.487937450E0
1.771244800E-2,1.154536963E0,9.984650612E0,2.621935368E0
2.021968700E-2,8.578268886E-1,9.903294563E0,3.330809116E0
2.272687500E-2,7.334001660E-1,1.046381378E1,3.498904943E0
2.523411400E-2,9.487541914E-1,1.069830990E1,3.000599623E0
2.774130200E-2,1.202393413E0,1.099561787E1,2.080559254E0
3.024848900E-2,1.063609719E0,1.090469074E1,2.669791937E0
3.275567700E-2,1.332203984E0,1.081795120E1,2.631506681E0
3.526291700E-2,1.566700578E0,1.086161995E1,2.061416626E0
3.777010400E-2,1.619342685E0,1.099083233E1,1.328614831E0
4.011385400E-2,1.518844128E0,1.072702408E1,1.869990945E0
4.262104200E-2,1.537986755E0,1.038245773E1,1.836491346E0
4.512822900E-2,1.614557028E0,1.034417248E1,1.074377418E0
4.763541700E-2,1.384846091E0,1.033938694E1,1.290329576E0
5.014265600E-2,1.260419369E0,1.024307537E1,1.414756417E0
5.264984400E-2,1.336989641E0,1.019043350E1,1.429113269E0
5.515703100E-2,1.279561877E0,1.007557774E1,1.543968797E0
5.766427100E-2,1.289133191E0,9.979865074E0,1.634896040E0
6.017145800E-2,1.427916884E0,9.908080101E0,1.496112347E0
6.267864600E-2,1.222134113E0,1.010429192E1,1.400399446E0
6.518588500E-2,7.477570772E-1,1.023828983E1,1.826920033E0
6.769307300E-2,5.940182209E-1,1.028136063E1,2.262413740E0
6.996041700E-2,6.610172391E-1,1.016650486E1,2.224128723E0
7.246760400E-2,8.434699774E-1,1.033938694E1,1.965703845E0
7.497479200E-2,1.073180914E0,1.084247780E1,1.793420553E0
7.748203100E-2,7.381857634E-1,1.062652493E1,3.120240688E0
7.998921900E-2,9.152546525E-1,1.039681435E1,2.962314367E0
8.249640600E-2,9.870393276E-1,1.038245773E1,2.645863533E0
8.500364600E-2,8.913264275E-1,1.021436119E1,2.770290375E0
8.751083300E-2,8.769695163E-1,1.007557774E1,2.688934565E0
9.001802100E-2,6.323033571E-1,9.711270332E0,2.947957516E0
9.252520800E-2,5.988038778E-1,9.342776299E0,2.574079037E0
9.503244800E-2,6.999006271E-1,9.256634712E0,2.061416626E0
9.753963500E-2,6.227321029E-1,9.227322578E0,1.956132531E0
9.980427100E-2,8.482556343E-1,9.505488396E0,1.266401410E0
1.023114580E-1,1.173679471E0,9.682557106E0,1.160519004E0
1.048186460E-1,9.391828775E-1,9.212965012E0,2.147558212E0
1.073258850E-1,1.217348576E0,8.690732002E0,1.932204247E0
1.098330730E-1,1.528415442E0,8.609375954E0,1.376471281E0
1.123402600E-1,1.734198213E0,8.720044136E0,1.290329576E0
1.148475000E-1,2.673381090E0,9.083752632E0,6.000002623E-1
1.173546870E-1,3.272184849E0,9.404989243E0,8.733802438E-1
1.198618750E-1,3.296113253E0,8.830113411E0,1.744965911E0
1.223690620E-1,3.765704632E0,8.067999840E0,1.812563181E0
1.248763020E-1,3.972085476E0,7.588837147E0,1.520040631E0
1.273834890E-1,3.957728624E0,7.564908981E0,1.069591761E0
1.296480730E-1,4.187439442E0,7.823931694E0,9.403793216E-1
1.321552600E-1,3.445066452E0,7.344769001E0,2.003988981E0
1.346624480E-1,3.445066452E0,6.760322094E0,1.884347796E0
1.371696870E-1,3.593421459E0,6.597609997E0,1.812563181E0
1.396768750E-1,3.708276987E0,6.956533432E0,1.529611826E0
1.421840620E-1,3.938585997E0,7.526623726E0,1.936989903E0
1.446913020E-1,2.913261652E0,7.162914753E0,3.278167009E0
1.471984890E-1,2.678166628E0,6.812964439E0,2.712862730E0
1.497056770E-1,2.534597397E0,7.301698208E0,2.727219582E0
1.522128640E-1,1.983649969E0,7.938787460E0,2.698505640E0
1.547201040E-1,1.633699656E0,8.504091263E0,2.497508526E0
1.572272920E-1,1.628913999E0,9.026325226E0,2.243271112E0
1.594919270E-1,1.581057549E0,8.892327309E0,1.721037745E0
1.619991140E-1,1.413560033E0,9.337990761E0,1.548754454E0
1.645063020E-1,1.447059512E0,9.538987160E0,2.008774519E0
1.670135420E-1,1.576271892E0,9.342776299E0,2.181057930E0
1.695207290E-1,1.873580098E0,9.232108116E0,1.999203324E0
1.720279170E-1,2.060220242E0,9.131608963E0,1.677966833E0
1.745351560E-1,2.031506538E0,9.040681839E0,1.083948612E0
1.770423440E-1,2.002792597E0,9.088538170E0,6.669993401E-1
1.795495310E-1,2.151147604E0,9.093324661E0,3.032902777E-1
1.820567190E-1,2.304886341E0,9.203393936E0,-1.100698471E0
1.845639580E-1,1.940579176E0,9.869794846E0,-5.736792088E-1
1.870711460E-1,1.782652855E0,1.005643559E1,-2.859423161E-1
1.893357810E-1,2.112862349E0,9.979865074E0,-3.529413342E-1
1.918429690E-1,2.443670034E0,9.898509026E0,-4.779663086E-1
1.943501560E-1,2.496312141E0,9.970293999E0,-6.693921089E-1
1.968573960E-1,2.338385820E0,1.016171932E1,-9.038887620E-1
1.993645830E-1,2.419741869E0,1.014736271E1,-8.416753411E-1
2.018717710E-1,2.515454769E0,1.019043350E1,-9.810572863E-1
2.043790100E-1,2.467598438E0,1.022393322E1,-1.148554921E0
2.068861980E-1,2.620738983E0,1.005643559E1,-2.269592285E0
2.093933850E-1,2.357528448E0,1.100040436E1,-1.402194023E0
2.119005730E-1,2.098505497E0,1.111525917E1,-8.991031051E-1
2.144078120E-1,2.141576290E0,1.106740284E1,-9.086744189E-1
2.169150000E-1,2.098505497E0,1.101476097E1,-9.858429432E-1
2.191795830E-1,1.974078655E0,1.115832996E1,-9.427721500E-1
2.216867710E-1,1.782652855E0,1.122054386E1,-9.523434043E-1
2.241939580E-1,1.729412556E0,1.146520996E1,-8.991031051E-1
2.267011980E-1,1.576271892E0,1.180499077E1,-9.379864931E-1
2.292083850E-1,1.432702541E0,1.199701500E1,-8.608179688E-1
2.317155730E-1,1.356132269E0,1.210708427E1,-7.698906660E-1
2.342228120E-1,9.966106415E-1,1.236072350E1,-8.081758618E-1
2.367300000E-1,8.338986635E-1,1.246660614E1,-7.124629617E-1
2.392371870E-1,7.477570772E-1,1.239422321E1,-6.598208547E-1
2.417443750E-1,8.961120844E-1,1.225065327E1,-5.641079545E-1
2.442516140E-1,1.159322619E0,1.204008579E1,-4.636093974E-1
2.467588020E-1,1.365703583E0,1.178106213E1,-4.492524564E-1
2.490233850E-1,1.581057549E0,1.169970608E1,-3.864408433E-1
2.515305730E-1,1.749153376E0,1.168056393E1,-5.018945336E-1
2.540377600E-1,1.983649969E0,1.161356449E1,-5.497509837E-1
2.565450000E-1,2.242074728E0,1.153699398E1,-7.411768436E-1
2.590521870E-1,2.491526604E0,1.155135155E1,-8.512466550E-1
2.615593750E-1,2.659024239E0,1.149870968E1,-1.019342422E0
2.640666140E-1,2.999403238E0,1.137428284E1,-1.119840980E0
2.665738020E-1,3.238685369E0,1.125882912E1,-1.119840980E0
2.690809890E-1,3.497708559E0,1.123968601E1,-1.277767301E0
2.715881770E-1,3.004188776E0,1.146520996E1,-1.263410330E0
2.740954170E-1,2.749951363E0,1.171406364E1,-1.292124271E0
2.766026040E-1,2.505883455E0,1.212144089E1,-1.555932879E0
2.788672390E-1,1.724626899E0,1.262931824E1,-1.541576028E0
2.813744270E-1,9.487541914E-1,1.322333622E1,-1.723430514E0
2.838816140E-1,-3.302095234E-1,1.395613766E1,-2.020738840E0
2.863888540E-1,-6.899106026E0,1.714218140E1,-4.205385685E0
2.888960420E-1,-1.280638695E1,2.311167526E1,-8.186444283E0
2.914032290E-1,-8.920442581E0,2.261396790E1,-4.780261517E0
2.939104690E-1,-6.630511761E0,1.941356850E1,-2.327019930E0
2.964176560E-1,-4.862813950E0,1.647159195E1,-2.859423161E-1
2.989248440E-1,-2.888735056E0,1.331904888E1,1.189232826E0
3.014320310E-1,-1.092323542E0,1.071745300E1,2.492722988E0
3.039392710E-1,-7.178468257E-2,8.647661209E0,3.661616802E0
3.064464580E-1,-1.483550072E-1,7.325626373E0,4.112065792E0
3.087110940E-1,-7.136593461E-1,6.631109715E0,4.054637909E0
3.112182810E-1,-1.278963685E0,6.185446739E0,4.131208420E0
3.137254690E-1,-1.264606714E0,5.629713535E0,4.346562386E0
3.162327080E-1,-5.030909777E-1,4.886742115E0,4.567300320E0
3.187398960E-1,1.044467092E0,3.957728624E0,4.830510616E0
3.212470830E-1,2.807379246E0,3.123830080E0,4.284348965E0
3.237543230E-1,4.149154663E0,2.716451883E0,3.441477060E0
3.262615100E-1,4.566103935E0,2.414956331E0,1.146162033E0
3.287686980E-1,4.489533424E0,2.879761934E0,1.026520967E0
3.312758850E-1,3.924229145E0,3.507279873E0,9.212366939E-1
3.337831250E-1,3.387638569E0,4.393222332E0,8.255237937E-1
3.362903120E-1,2.985046148E0,5.030909538E0,3.032902777E-1
3.385549480E-1,2.682952404E0,5.341976643E0,-4.253242314E-1
3.410621350E-1,2.687737942E0,5.677569866E0,-8.081758618E-1
3.435693230E-1,2.903690338E0,6.056233883E0,-1.000199914E0
3.460765620E-1,3.238685369E0,6.348158360E0,-1.100698471E0
3.485837500E-1,3.430709362E0,6.707680225E0,-1.062413216E0
3.510909370E-1,3.502494097E0,6.990033150E0,-9.230313301E-1
3.535981770E-1,3.650849104E0,7.306483746E0,-8.129615188E-1
3.561053640E-1,3.837489367E0,7.531409264E0,-5.928218365E-1
3.586125520E-1,4.034298897E0,7.742575645E0,-4.013960063E-1
3.611197390E-1,4.244867325E0,7.953144073E0,-2.763710022E-1
3.636269790E-1,3.909872293E0,8.034500122E0,-9.451649338E-2
3.661341670E-1,4.398007870E0,8.134998322E0,1.399801224E-1
3.683988020E-1,4.604389191E0,8.293522835E0,3.272185028E-1
3.709059890E-1,4.599603176E0,8.370093346E0,5.330012441E-1
