"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-8.855860233E-1,4.191751003E0,8.814529419E0
2.504115000E-3,-1.134717941E0,4.373808861E0,8.579770088E0
1.251213600E-2,-1.163463950E0,4.445673943E0,8.622888565E0
1.501625000E-2,-1.187419057E0,4.445673943E0,8.570187569E0
1.752036500E-2,-1.264075041E0,4.479210854E0,8.574978828E0
2.002474000E-2,-1.345522046E0,4.522329807E0,8.622888565E0
2.252906300E-2,-1.388641000E0,4.531911850E0,8.603725433E0
2.503317700E-2,-1.479670048E0,4.594194889E0,8.651635170E0
2.753729200E-2,-1.537161946E0,4.608568192E0,8.728290558E0
3.004140600E-2,-1.594653964E0,4.680432796E0,8.809738159E0
3.254552100E-2,-1.671309948E0,4.752297878E0,8.828902245E0
3.504963600E-2,-1.704846978E0,4.733133793E0,8.857647896E0
3.755375000E-2,-1.680891991E0,4.752297878E0,8.862439156E0
4.005786500E-2,-1.752756953E0,4.766671181E0,8.886393547E0
4.256203100E-2,-1.747966051E0,4.809790134E0,8.929512978E0
4.506614600E-2,-1.604236007E0,4.848117828E0,8.996586800E0
4.757026100E-2,-1.489251971E0,4.809790134E0,9.106780052E0
5.007437500E-2,-1.383849978E0,4.833745003E0,9.111571312E0
5.204354200E-2,-1.455714941E0,4.766671181E0,9.073243141E0
5.454765600E-2,-1.565907955E0,4.704388142E0,9.226554871E0
5.705177100E-2,-1.671309948E0,4.742715836E0,9.274464607E0
5.955588600E-2,-1.700055957E0,4.781044006E0,9.221763611E0
6.206000000E-2,-1.642564058E0,4.776253223E0,9.178645134E0
6.456411500E-2,-1.575489998E0,4.795416832E0,9.111571312E0
6.706828100E-2,-1.546743989E0,4.819372177E0,8.991795540E0
6.957239600E-2,-1.580281019E0,4.819372177E0,8.895976067E0
7.207651100E-2,-1.647354960E0,4.795416832E0,8.852856636E0
7.458062500E-2,-1.666519046E0,4.752297878E0,8.800155640E0
7.708474000E-2,-1.604236007E0,4.766671181E0,8.828902245E0
7.958885400E-2,-1.589862943E0,4.785834789E0,8.838483810E0
8.159567700E-2,-1.594653964E0,4.809790134E0,8.804946899E0
8.409979200E-2,-1.575489998E0,4.742715836E0,8.800155640E0
8.660390600E-2,-1.618608952E0,4.757089138E0,8.800155640E0
8.910802100E-2,-1.594653964E0,4.709178925E0,8.656426430E0
9.161213600E-2,-1.599444985E0,4.670851231E0,8.517486572E0
9.411625000E-2,-1.604236007E0,4.666059971E0,8.459995270E0
9.662041700E-2,-1.508416057E0,4.622941017E0,8.436039925E0
9.912453100E-2,-1.522789001E0,4.646895885E0,8.335429192E0
1.016286460E-1,-1.517997980E0,4.680432796E0,8.349802017E0
