"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,-1.362229437E-1,4.264712036E-1,1.823868975E-2
3.968750000E-3,-1.273043156E-1,4.772253633E-1,-8.761553094E-3
7.939063000E-3,-1.091703475E-1,5.509655476E-1,-3.296926990E-2
1.191093800E-2,-8.248426020E-2,6.329436302E-1,-4.380776361E-2
1.588125000E-2,-4.689699784E-2,7.179062963E-1,-4.420918971E-2
1.985156300E-2,-2.251474652E-3,7.949974537E-1,-3.933972120E-2
2.382187500E-2,5.377359316E-2,8.626638651E-1,-3.070034087E-2
2.779218800E-2,1.142841578E-1,9.143256545E-1,-2.031563222E-2
3.176406300E-2,1.826312542E-1,9.592503905E-1,-9.180432186E-3
3.573437500E-2,2.540152073E-1,9.973160625E-1,4.084070213E-3
3.970468800E-2,3.317870796E-1,1.020336986E0,2.186897583E-2
4.367500000E-2,4.122991264E-1,1.052642941E0,3.944443911E-2
4.764531300E-2,4.889889061E-1,1.107568502E0,6.192428246E-2
5.161562500E-2,5.566902161E-1,1.190209866E0,9.292133152E-2
5.558750000E-2,6.226811409E-1,1.309311152E0,1.288576573E-1
5.955781300E-2,6.975033879E-1,1.452393174E0,1.674468815E-1
6.352656300E-2,7.898662090E-1,1.611619592E0,2.065597177E-1
6.749843800E-2,8.967326880E-1,1.776553154E0,2.406809032E-1
7.146875000E-2,1.023077130E0,1.960947275E0,2.717303038E-1
7.543906300E-2,1.170539975E0,2.177560091E0,2.956238687E-1
7.940937500E-2,1.331651330E0,2.415413618E0,3.132866025E-1
8.337968800E-2,1.509343266E0,2.681017637E0,3.282789886E-1
8.735000000E-2,1.702411652E0,2.971353292E0,3.388207555E-1
9.132187500E-2,1.894240737E0,3.276035309E0,3.450166881E-1
9.529218800E-2,2.084324598E0,3.556282759E0,3.488913178E-1
9.926093800E-2,2.268561602E0,3.818658113E0,3.548777997E-1
1.032328130E-1,2.440808058E0,4.054102898E0,3.582462668E-1
1.072031250E-1,2.585670471E0,4.248410702E0,3.501130342E-1
1.111734380E-1,2.702659845E0,4.432298660E0,3.269001544E-1
1.151453130E-1,2.779820681E0,4.589413166E0,2.951002717E-1
1.191156250E-1,2.812737703E0,4.703191280E0,2.562841475E-1
1.230843750E-1,2.805511951E0,4.793110371E0,1.940631568E-1
1.270562500E-1,2.751703501E0,4.831315517E0,1.243721619E-1
1.310265630E-1,2.657176495E0,4.821856022E0,6.180210784E-2
1.349968750E-1,2.540448904E0,4.779339790E0,2.317797206E-2
1.389671880E-1,2.409357309E0,4.695250034E0,1.415462047E-2
1.429375000E-1,2.273238897E0,4.556374073E0,4.326671362E-2
1.469078130E-1,2.140524149E0,4.389799595E0,1.026253626E-1
1.508796880E-1,2.011195183E0,4.201950073E0,1.866455078E-1
1.548500000E-1,1.882529616E0,4.005478382E0,2.716255784E-1
1.588203130E-1,1.767372727E0,3.818623304E0,3.312984109E-1
1.627906250E-1,1.671082973E0,3.635119438E0,3.635520935E-1
1.667609380E-1,1.605633140E0,3.466852188E0,3.736226261E-1
1.707312500E-1,1.566153765E0,3.354924202E0,3.655592203E-1
1.747031250E-1,1.545785785E0,3.292755604E0,3.417703807E-1
1.786734380E-1,1.536099195E0,3.275075436E0,3.036523759E-1
1.826421880E-1,1.527878642E0,3.262980223E0,2.505245507E-1
1.866140630E-1,1.519117117E0,3.232471943E0,1.872912794E-1
1.905843750E-1,1.509448051E0,3.158435106E0,1.099906489E-1
1.945546880E-1,1.494595289E0,3.056752205E0,3.380702808E-2
1.985265630E-1,1.475064993E0,2.944003820E0,-2.668608353E-2
2.024953130E-1,1.445289731E0,2.834013224E0,-7.361798733E-2
2.064671880E-1,1.404867887E0,2.731614828E0,-1.022762954E-1
2.104375000E-1,1.356085896E0,2.631450415E0,-1.121548563E-1
2.144078130E-1,1.296709776E0,2.531739712E0,-1.129053459E-1
2.183781250E-1,1.232586384E0,2.427142143E0,-1.088910922E-1
2.223484380E-1,1.163785577E0,2.314393759E0,-1.004611477E-1
2.263187500E-1,1.097689867E0,2.204298496E0,-9.314822406E-2
2.302906250E-1,1.034962773E0,2.102859974E0,-8.492772281E-2
2.342593750E-1,9.686577320E-1,1.978644848E0,-7.328637689E-2
2.382312500E-1,8.892452717E-1,1.831984878E0,-5.942846090E-2
2.422015630E-1,7.851014733E-1,1.637031555E0,-4.194026068E-2
2.461718750E-1,6.536607146E-1,1.410121322E0,-3.827507049E-2
2.501421880E-1,5.107182264E-1,1.185741782E0,-4.982915148E-2
2.541125000E-1,3.723310828E-1,1.029744267E0,-5.843362212E-2
2.580828130E-1,2.671924531E-1,9.360200763E-1,-5.766567960E-2
2.620531250E-1,1.909913868E-1,8.727518916E-1,-5.593780056E-2
2.660250000E-1,1.520181745E-1,8.240746856E-1,-6.585127115E-2
2.699953130E-1,1.394518018E-1,7.731285095E-1,-9.162978828E-2
