"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.030282974E0,8.971074104E0,9.121908545E-1
1.983643000E-3,-2.078166962E0,9.006986618E0,1.079784989E0
3.967285000E-3,-2.123656988E0,9.042900085E0,1.249773264E0
6.011963000E-3,-2.178723574E0,9.071630478E0,1.405396342E0
8.056641000E-3,-2.226607561E0,9.088389397E0,1.525106430E0
1.004028300E-2,-2.296039343E0,9.093177795E0,1.601720929E0
1.205444300E-2,-2.377442360E0,9.088389397E0,1.659181833E0
1.403808600E-2,-2.449268341E0,9.081207275E0,1.704671621E0
1.605224600E-2,-2.516305923E0,9.081207275E0,1.721431017E0
1.803588900E-2,-2.604891539E0,9.093177795E0,1.711854219E0
2.005004900E-2,-2.686294317E0,9.095572472E0,1.690306425E0
2.203369100E-2,-2.743755102E0,9.074024200E0,1.642422318E0
2.401733400E-2,-2.789244890E0,9.038111687E0,1.582567334E0
2.600097700E-2,-2.806004286E0,8.999804497E0,1.515529633E0
2.798461900E-2,-2.760514498E0,8.966285706E0,1.446097851E0
2.996826200E-2,-2.657563925E0,8.937555313E0,1.369483352E0
3.198242200E-2,-2.561795712E0,8.927978516E0,1.280897856E0
3.396606500E-2,-2.552218914E0,8.937555313E0,1.280897856E0
3.594970700E-2,-2.628833532E0,8.911218643E0,1.410184860E0
3.793335000E-2,-2.698265314E0,8.858546257E0,1.561019540E0
3.991699200E-2,-2.676717520E0,8.827422142E0,1.654393315E0
4.190063500E-2,-2.571372509E0,8.829815865E0,1.702277422E0
4.388427700E-2,-2.418143749E0,8.844181061E0,1.740584612E0
4.589843800E-2,-2.279279947E0,8.870517731E0,1.764526606E0
4.788208000E-2,-2.147598982E0,8.908824921E0,1.769315004E0
4.989624000E-2,-2.066195965E0,8.949525833E0,1.757344007E0
5.187988300E-2,-2.056619167E0,8.992621422E0,1.766920805E0
5.389404300E-2,-2.030282974E0,9.028534889E0,1.800439715E0
5.587768600E-2,-1.956062794E0,9.066842079E0,1.800439715E0
5.789184600E-2,-1.884236693E0,9.102754593E0,1.786074519E0
5.987548800E-2,-1.843535304E0,9.148244858E0,1.764526606E0
6.188964900E-2,-1.790862918E0,9.210494041E0,1.714248419E0
6.387329100E-2,-1.680729628E0,9.270348549E0,1.613691926E0
6.588745100E-2,-1.563413739E0,9.334992409E0,1.472434044E0
6.787109400E-2,-1.508347034E0,9.385271072E0,1.379060149E0
6.988525400E-2,-1.467645645E0,9.430760384E0,1.343147159E0
7.186889700E-2,-1.426944256E0,9.466673851E0,1.328781962E0
7.388305700E-2,-1.376665950E0,9.512163162E0,1.312022567E0
7.586669900E-2,-1.304839969E0,9.562441826E0,1.283292055E0
7.788085900E-2,-1.233013868E0,9.586383820E0,1.252167463E0
7.986450200E-2,-1.185129881E0,9.595960617E0,1.228225470E0
8.187866200E-2,-1.146822572E0,9.610325813E0,1.216254473E0
8.386230500E-2,-1.106121182E0,9.641449928E0,1.197100878E0
8.587646500E-2,-1.082179189E0,9.686940193E0,1.185129881E0
8.786010700E-2,-1.063025594E0,9.730035782E0,1.185129881E0
8.987426800E-2,-1.017535686E0,9.763554573E0,1.165976286E0
9.185791000E-2,-9.600749016E-1,9.787496567E0,1.125274777E0
9.387207000E-2,-9.193734527E-1,9.801861763E0,1.096544385E0
9.585571300E-2,-9.002198577E-1,9.801861763E0,1.084573388E0
9.786987300E-2,-8.954314590E-1,9.811438560E0,1.072602391E0
