,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
5495,55.00934367,0.4307219386,0.02116215415,-0.2884922922
5496,55.01935167,0.6172412038,-0.1485235542,-0.4076277614
5497,55.02935867,0.7816354036,-0.22175051269999999,-0.5722007155
5498,55.03936567,0.8995987773,-0.2024716288,-0.7828301191
5499,55.04937267,0.9944087863,-0.2505119741,-1.055835724
5500,55.05938067,1.077463865,-0.285667032,-1.36807251
5501,55.06938767,1.152553797,-0.2486890852,-1.648628831
5502,55.07939467,1.190511584,-0.05787172914,-1.842171192
5503,55.08940267,1.191017389,0.23267415170000003,-1.8727566
5504,55.09940967,1.164466143,0.592700243,-1.685565948
5505,55.10941667,1.2109823229999999,0.7609072924,-1.2605780359999998
5506,55.11942367,1.1842169759999999,0.5092755556,-0.8218505383
5507,55.12943167,1.074099541,-0.06426947563999999,-0.5059362054
5508,55.13943867,1.007089257,-0.5500638485,-0.1464022398
5509,55.14944567,1.0751645570000001,-0.8149841428,0.2105692178
5510,55.15945367,1.306208134,-1.109407425,0.45066437130000003
5511,55.16946067,1.620917916,-1.52445507,0.5177339315
5512,55.17946767,2.007676601,-2.122360945,0.46679458020000003
5513,55.18947467,2.31755352,-2.650411367,0.2799818814
5514,55.19948267,2.355600834,-2.652857542,-0.02946917526
5515,55.20948967,2.014714718,-1.6732425690000001,-0.36728858950000004
5516,55.21949667,1.559980989,-0.1447807401,-0.5992171764
5517,55.22950467,1.278017521,0.43267542119999997,-0.6924630404000001
5518,55.23951167,0.9665959477,0.07680812477999999,-0.8185924887999999
5519,55.24951867,0.5749899149000001,-0.2921192348,-0.8749182224
5520,55.25952567,0.18945235010000003,-0.48642668130000005,-0.8536915183
5521,55.26953367,-0.14555586869999998,-0.5600680709,-0.7962424754999999
5522,55.27954067,-0.3634293675,-0.6208099723,-0.6948210597
5523,55.28954767,-0.4444574714,-0.6928552984999999,-0.6172599196
5524,55.29955467,-0.4654735327,-0.7458463311,-0.5866578221000001
5525,55.30956267,-0.38589891789999997,-0.8360010386,-0.5247406363
5526,55.31956967,-0.1791377664,-0.9092313051,-0.4420793056
5527,55.32957667,0.06503022462000001,-0.8623441458,-0.38989296560000003
5528,55.33958467,0.33954489229999996,-0.6456957459,-0.38079294560000004
5529,55.34959167,0.6344515681,-0.250395298,-0.339050442
5530,55.35959867,0.8811721802,0.011800092639999999,-0.2699986696
5531,55.36960567,1.015832305,0.052447702740000005,-0.185607031
5532,55.37961367,1.013315082,-0.06277875602,-0.08266095817
5533,55.38962067,0.894554913,-0.261973083,0.02285295352
5534,55.39962767,0.7115374206999999,-0.4556962252,0.12999884779999998
5535,55.40963567,0.5174581409000001,-0.5808495879,0.2372227609
5536,55.41964267,0.3515040576,-0.6220470667,0.3279025853
5537,55.42964967,0.2089858949,-0.6115029453999999,0.4074713886
5538,55.43965667,0.0958231315,-0.5904714464999999,0.44266614320000003
5539,55.44966467,0.01139286533,-0.6152133346,0.46714127060000005
5540,55.45967167,-0.1016777605,-0.5484595895000001,0.49716869
5541,55.46967867,-0.20035272839999999,-0.4683098793,0.5049803257
5542,55.47968667,-0.2841421664,-0.40499374270000005,0.49854639170000004
5543,55.48969367,-0.3581399322,-0.34854230280000004,0.4784018993
5544,55.49970067,-0.43911120299999995,-0.2787078321,0.46541738509999997
5545,55.50970767,-0.5227326751,-0.22475109989999997,0.4622178972
5546,55.51971567,-0.5871034265,-0.2456486523,0.45311549310000004
5547,55.52972267,-0.6098750234,-0.3124789,0.4400937259
5548,55.53972967,-0.5869026184,-0.39720100159999994,0.4195716679
5549,55.54973667,-0.5313802361,-0.4800808728,0.3844840527
5550,55.55974467,-0.4480837286,-0.5076270103,0.3655399382
5551,55.56975167,-0.3296081126,-0.4522711933,0.36029699439999996
5552,55.57975867,-0.1965893507,-0.3499578536,0.34883663060000003
5553,55.58976667,-0.05002779886,-0.30245465039999997,0.3259295523
5554,55.59977367,0.09980404377,-0.3880443871,0.2941066623
5555,55.60978067,0.23484645780000002,-0.5218566656,0.24767112730000002
5556,55.61978767,0.3502736986,-0.5836012363,0.1973893195
5557,55.62979567,0.4651402235,-0.5200216174,0.1442081183
5558,55.63980267,0.5681603551,-0.35632988810000005,0.07781337947000001
5559,55.64980967,0.65107584,-0.15866211060000002,-0.005827904679
5560,55.65981767,0.6612153053000001,0.06498349458,-0.06891392916
5561,55.66982467,0.5490980744,0.3124597073,-0.08076757938
5562,55.67983167,0.3261739314,0.3919220567,-0.03123810515
5563,55.68983867,0.04243377968999999,0.2046111822,0.053200583899999994
5564,55.69984667,-0.2154081464,-0.1018827111,0.1574449688
5565,55.70985367,-0.4086280465,-0.4149287939,0.2589529753
5566,55.71986067,-0.5460157393999999,-0.6557536721,0.3739229739
5567,55.72986867,-0.649148643,-0.8421993256,0.4090500772
5568,55.73987567,-0.6728568673,-1.06515491,0.250906527
5569,55.74988267,-0.5708716511999999,-1.1677708629999999,-0.010791770179999998
5570,55.75988967,-0.4324453175,-0.9842777252,-0.3249784708
5571,55.76989767,-0.2937295735,-0.5110931396,-0.5042372942
5572,55.77990467,-0.2162779272,-0.04008777812,-0.5005775689999999
5573,55.78991167,-0.2635861337,0.2097582072,-0.5134467483
5574,55.79991967,-0.5520700812,0.3201486468,-0.4301582575
5575,55.80992667,-0.9293245077,0.31566104289999997,-0.3444173634
5576,55.81993367,-1.130070329,0.1624885201,-0.3007394075
5577,55.82994067,-1.172580838,-0.001462671207,-0.2537463605
5578,55.83994867,-1.190368652,-0.11843056980000001,-0.2202506959
5579,55.84995567,-1.232829571,-0.19481499489999998,-0.22300665079999998
5580,55.85996267,-1.300432801,-0.2031674683,-0.2345613092
5581,55.86997067,-1.3485955,-0.1509465426,-0.2487035245
5582,55.87997767,-1.31817472,-0.05252250284,-0.2597921193
5583,55.88998467,-1.13138175,0.1740374714,-0.2065641731
5584,55.89999267,-0.8451916575,0.5264911056,-0.11854963
5585,55.90999967,-0.5506256818999999,0.7621414065000001,0.03385591507
5586,55.92000667,-0.36390215159999995,0.4795339704,0.1716422886
5587,55.93001367,-0.2580200434,0.07397194207,0.2782708108
5588,55.94002167,-0.19571459289999998,-0.1764110029,0.42544135450000004
5589,55.95002867,-0.1684577018,-0.2337477803,0.5550559163000001
5590,55.96003567,-0.07888256012999999,-0.06961502879999999,0.6295655966
5591,55.97004367,0.03151387349,0.21502304079999998,0.6249667406
5592,55.98005067,0.1390661597,0.5433314443,0.5410316586
5593,55.99005767,0.1918162704,0.8067439795,0.4052476585
5594,56.00006467,0.1848326623,1.040607572,0.24553440510000002
5595,56.01007267,0.1001985967,1.255814075,0.09548407048
5596,56.02007967,-0.03671424463,1.4016128780000001,-0.01224212814
5597,56.03008667,-0.1136372685,1.408132434,-0.06402858347
5598,56.04009467,-0.1479060352,1.276512146,-0.0682938993
5599,56.05010167,-0.12529404460000002,1.077078819,0.003639482195
5600,56.06010867,-0.03427225351,0.8998425006999999,0.1019676477
5601,56.07011567,0.1116688326,0.7754746675,0.24111077190000002
5602,56.08012367,0.2477004379,0.579870522,0.41096505520000004
5603,56.09013067,0.3362640738,0.35963112119999996,0.5563505292
5604,56.10013767,0.354404211,0.17268307510000003,0.6533058882
5605,56.11014567,0.3076949716,0.06295979022999999,0.7029148936
5606,56.12015267,0.1989879459,0.046082273130000004,0.7020773292
5607,56.13015967,0.01283735596,0.1408059895,0.6786108017
5608,56.14016667,-0.2355085313,0.2669103742,0.6417007446
5609,56.15017467,-0.46719414,0.3350520432,0.6007694602
5610,56.16018167,-0.5968037843999999,0.2735058367,0.5941624045
5611,56.17018867,-0.6407297254,0.1753752232,0.5628606677
5612,56.18019667,-0.5997937918,0.21471010149999997,0.5426547527000001
5613,56.19020367,-0.5466212034000001,0.3135858476,0.5249680281
5614,56.20021067,-0.5084258914,0.3958183825,0.5227083564
5615,56.21021867,-0.5155394077000001,0.4422995746,0.5404001474
5616,56.22022567,-0.5465103388,0.46986302729999996,0.5888755322
5617,56.23023267,-0.5932235122,0.4557869136,0.6398623586
5618,56.24023967,-0.6258163452000001,0.4339628518,0.696873188
5619,56.25024767,-0.6351845264,0.48045673969999997,0.7500674129000001
5620,56.26025467,-0.6372956038,0.5143702626,0.7938415408
5621,56.27026167,-0.6303585768,0.5493302941,0.8167121409999999
5622,56.2802695,-0.6256719232,0.6008054614,0.8116664886
5623,56.2902765,-0.6203656197,0.6605992913000001,0.7710754275
5624,56.3002835,-0.5990523696,0.7007285953,0.6994563341
5625,56.3102905,-0.5764232278,0.7280067204999999,0.6071802974
5626,56.3202985,-0.5400449634000001,0.7908490895999999,0.512642622
5627,56.3303055,-0.5142333508,0.8273586034999999,0.425838083
