"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.695893860E0,7.253915405E0,6.553222504E0
9.917999996E-3,-2.647095337E0,7.136559448E0,6.529272308E0
1.983599999E-2,-2.754871216E0,7.066804504E0,6.514602814E0
2.975399999E-2,-2.789000244E0,7.146289215E0,6.479425964E0
3.967199998E-2,-2.732268219E0,7.199279022E0,6.574328613E0
4.959099999E-2,-2.689756622E0,7.119944000E0,6.609355774E0
5.950899998E-2,-2.551893311E0,7.040758667E0,6.659202118E0
6.942700001E-2,-2.418520660E0,6.943760376E0,6.655010834E0
7.931500001E-2,-2.419418793E0,7.012766876E0,6.755002899E0
8.923300001E-2,-2.594853973E0,7.072043610E0,6.675218811E0
9.915100000E-2,-2.726280670E0,7.195237427E0,6.645281067E0
1.090690000E-1,-2.740201721E0,7.223378906E0,6.535559235E0
1.189880000E-1,-2.792143707E0,7.203320618E0,6.493347015E0
1.289060000E-1,-2.914589081E0,7.335346069E0,6.468049622E0
1.388240000E-1,-3.357368317E0,7.616760864E0,6.534960480E0
1.487420000E-1,-3.806135101E0,7.932454376E0,6.614445190E0
1.586600000E-1,-3.117267609E0,8.109685822E0,6.970854034E0
1.685790000E-1,-2.609373779E0,7.931855621E0,7.028933258E0
1.784660000E-1,-2.340832214E0,6.877597961E0,7.493267670E0
1.883850000E-1,-2.375559998E0,6.008954315E0,7.904163208E0
1.983030000E-1,-2.230511627E0,5.510790253E0,8.414601746E0
2.082210000E-1,-1.828298035E0,5.263803864E0,8.401429138E0
2.181390000E-1,-1.865271149E0,5.306764526E0,8.337212677E0
2.280570000E-1,-2.376907196E0,5.391488342E0,8.348888397E0
2.379760000E-1,-2.853815460E0,5.856421509E0,8.477770386E0
2.478940000E-1,-2.318977661E0,6.397396545E0,7.916886749E0
2.578120000E-1,-1.634301453E0,6.098917236E0,7.368277588E0
2.677300000E-1,-1.073717194E0,5.460644531E0,6.730304260E0
2.776480000E-1,-5.421725464E-1,5.484894104E0,7.337292023E0
2.875360000E-1,-6.491999817E-1,5.498366089E0,8.481063538E0
2.974540000E-1,-1.402283936E0,5.175786896E0,8.378526764E0
3.073730000E-1,-1.102756805E0,4.298012238E0,8.060138855E0
3.172910000E-1,2.694396973E-2,3.483555908E0,8.023165741E0
3.272090000E-1,7.828720093E-1,3.392545166E0,6.653064880E0
3.371270000E-1,1.170266418E0,4.293222198E0,6.993906097E0
3.470450000E-1,3.022065582E0,3.151995392E0,3.168760529E0
3.569640000E-1,2.186203766E0,2.266885986E0,5.818400574E0
3.668820000E-1,4.282594299E-1,2.343227234E0,9.955347748E0
3.768000000E-1,3.052153015E-1,2.756667480E0,9.745334473E0
3.867180000E-1,1.059646454E0,2.865191803E0,7.067253571E0
3.966370000E-1,7.747888184E-1,3.049907684E0,5.663323059E0
4.065240000E-1,-1.530866547E0,4.805307312E0,6.327342224E0
4.164420000E-1,-2.902763672E0,4.446952515E0,8.362061005E0
4.263610000E-1,-1.363664246E-1,1.334774323E0,7.166197815E0
4.362790000E-1,1.536255341E0,2.110910339E0,7.884853363E0
4.461970000E-1,1.534608765E0,1.392853546E0,8.635991364E0
4.561150000E-1,1.055754547E0,6.837780762E-1,8.777596893E0
4.660340000E-1,2.394869843E0,5.381309509E-1,9.017398224E0
4.759520000E-1,4.358187103E0,-2.803669739E-1,7.670648804E0
4.858700000E-1,5.739963684E0,9.280700684E-3,6.780899048E0
4.957880000E-1,8.143066406E0,-2.177970886E-1,6.736291809E0
5.057060000E-1,7.048392792E0,-1.052012329E0,5.076094208E0
5.156250000E-1,4.656067657E0,-2.491718445E0,3.067570953E0
5.255430000E-1,4.257745972E0,-3.104244690E0,2.905308380E0
5.354610000E-1,4.046235809E0,-3.986809387E0,4.775668945E0
5.453490000E-1,3.934867401E0,-4.537364502E0,4.929848328E0
5.552670000E-1,4.256997528E0,-5.029840393E0,4.213138733E0
5.651850000E-1,5.142406311E0,-5.455255737E0,3.263812866E0
5.751030000E-1,5.062173157E0,-5.863456879E0,2.433339844E0
5.850220000E-1,5.123844910E0,-6.214327240E0,1.703607330E0
5.949400000E-1,5.792654114E0,-6.269861755E0,1.646426239E0
6.048580000E-1,7.368277588E0,-5.926625519E0,9.515711975E-1
6.147760000E-1,6.846013641E0,-7.063211975E0,2.028132477E0
6.246940000E-1,6.411018219E0,-7.115153961E0,2.789748688E0
6.346130000E-1,6.528374176E0,-7.796986084E0,2.143991547E0
6.445310000E-1,5.467679901E0,-8.911119232E0,2.320324860E0
6.544190000E-1,5.629643097E0,-9.800120544E0,4.584217072E0
6.643370000E-1,4.594994659E0,-1.166988235E1,5.528603210E0
6.742550000E-1,6.232140198E0,-1.341555222E1,8.046666870E0
6.841730000E-1,7.034471741E0,-1.368589005E1,1.037732025E1
6.940910000E-1,8.218509521E0,-1.359428055E1,1.171433990E1
