"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
-1.415000000E-3,-2.312369198E-1,1.843163669E-1,7.994395494E-2
8.620000000E-3,-3.301970661E-1,2.056966573E-1,6.833751500E-2
1.858800000E-2,-4.206051230E-1,2.527332604E-1,4.145944118E-2
2.863900000E-2,-4.755829871E-1,2.893851995E-1,1.274877787E-2
3.865600000E-2,-4.798590541E-1,2.820548117E-1,1.142337918E-3
4.860600000E-2,-4.334332943E-1,2.289095372E-1,6.029259413E-3
5.855700000E-2,-3.625729382E-1,1.501079053E-1,1.580310240E-2
6.870100000E-2,-2.972103357E-1,7.924754173E-2,1.519223675E-2
7.862500000E-2,-2.550606430E-1,3.404351324E-2,-4.355449229E-3
8.866700000E-2,-2.458976805E-1,4.076302797E-2,-2.451400273E-2
9.858000000E-2,-2.630018890E-1,9.329743683E-2,-4.528342187E-2
1.085940000E-1,-2.996537983E-1,1.549948305E-1,-6.666370481E-2
1.185400000E-1,-3.473013043E-1,2.118052989E-1,-8.315706253E-2
1.285710000E-1,-3.692924380E-1,2.313529849E-1,-1.027047560E-1
1.387250000E-1,-3.271427453E-1,2.111944407E-1,-1.265285015E-1
1.485470000E-1,-3.057624698E-1,2.802222073E-1,-1.155329272E-1
1.586660000E-1,-3.369165957E-1,3.345892131E-1,-9.476350248E-2
1.685810000E-1,-3.900618553E-1,3.749063313E-1,-8.621139079E-2
1.786530000E-1,-4.572570324E-1,4.323276579E-1,-6.971803308E-2
1.886910000E-1,-5.519411564E-1,4.359928370E-1,-1.412929408E-2
1.985410000E-1,-5.330043435E-1,4.011735320E-1,5.314722657E-4
2.087610000E-1,-4.939089715E-1,3.846801817E-1,2.557694912E-2
2.185800000E-1,-4.651982784E-1,3.614673018E-1,5.856367201E-2
2.292770000E-1,-4.505375326E-1,3.706302643E-1,8.544173837E-2
2.385740000E-1,-4.633657038E-1,4.292733371E-1,1.178176031E-1
2.485830000E-1,-5.159001350E-1,4.976902306E-1,1.526369154E-1
2.586430000E-1,-6.044756174E-1,5.593876243E-1,1.587455571E-1
2.686060000E-1,-6.875532866E-1,6.522391438E-1,1.337001026E-1
2.785920000E-1,-7.602462173E-1,7.964032888E-1,9.521558136E-2
2.886310000E-1,-8.280522823E-1,9.039155841E-1,6.955924630E-2
2.985420000E-1,-8.775323629E-1,9.112460017E-1,5.612020940E-2
3.087280000E-1,-8.970800638E-1,8.354986906E-1,5.734194070E-2
3.186270000E-1,-8.708128333E-1,6.864475608E-1,7.444616407E-2
3.285790000E-1,-7.981199026E-1,4.885272682E-1,1.001025066E-1
3.385650000E-1,-6.887750030E-1,2.851091325E-1,1.147632673E-1
3.485750000E-1,-5.531629324E-1,1.207863763E-1,1.153741404E-1
3.585550000E-1,-4.089986980E-1,2.243707329E-2,1.043785587E-1
3.686300000E-1,-2.758300602E-1,1.056788489E-3,8.849606663E-2
3.785320000E-1,-1.707612574E-1,4.015216231E-2,7.261357456E-2
3.885760000E-1,-1.078421324E-1,1.158994511E-1,7.078097761E-2
3.985630000E-1,-9.867915511E-2,1.965336800E-1,7.811135799E-2
4.086860000E-1,-1.414397210E-1,2.466246188E-1,8.788520098E-2
4.185500000E-1,-2.868256569E-1,2.783896029E-1,1.367544234E-1
4.285800000E-1,-3.497447670E-1,3.333674967E-1,1.581346989E-1
4.385870000E-1,-3.906727433E-1,3.571912348E-1,1.648542285E-1
4.486540000E-1,-4.065552354E-1,3.840692937E-1,1.587455571E-1
4.586020000E-1,-4.047226310E-1,4.182777703E-1,1.385870278E-1
4.686040000E-1,-3.900618553E-1,4.445449710E-1,1.019350961E-1
4.787180000E-1,-3.754011095E-1,4.555405378E-1,6.406145543E-2
