"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.962000000E-3,-4.244158864E-1,-3.146531284E-1,-1.123593003E-1
1.992300000E-2,-4.168897867E-1,-3.810385466E-1,-9.192805737E-2
2.988500000E-2,-3.752403855E-1,-4.484177828E-1,-9.236335009E-2
3.984700000E-2,-3.270243704E-1,-5.183952451E-1,-1.319400519E-1
4.980900000E-2,-2.932612002E-1,-6.354463696E-1,-2.054188550E-1
5.977000000E-2,-2.938465774E-1,-7.762833834E-1,-2.969282568E-1
6.973200000E-2,-3.105818629E-1,-8.953824639E-1,-3.862914145E-1
7.969400000E-2,-3.129885495E-1,-9.681466818E-1,-4.468983114E-1
8.965600000E-2,-3.042881787E-1,-9.940547347E-1,-5.179403424E-1
9.961800000E-2,-2.624347210E-1,-9.775511026E-1,-5.801928043E-1
1.095790000E-1,-1.918998957E-1,-9.341714978E-1,-6.133808494E-1
1.195410000E-1,-1.258990318E-1,-9.390623569E-1,-6.372113228E-1
1.295030000E-1,-9.443613142E-2,-9.810049534E-1,-6.727227569E-1
1.394650000E-1,-1.037486717E-1,-1.100059986E0,-7.002204061E-1
1.494260000E-1,-1.186454967E-1,-1.287427664E0,-7.137736082E-1
1.593880000E-1,-1.250836849E-1,-1.499946356E0,-7.267735600E-1
1.693500000E-1,-1.008485332E-1,-1.638919830E0,-7.559414506E-1
1.793120000E-1,-5.712874979E-2,-1.660854459E0,-7.895354033E-1
1.892730000E-1,1.003994234E-2,-1.550344825E0,-8.352016807E-1
1.992350000E-1,9.205491841E-2,-1.358134985E0,-8.892310858E-1
2.091970000E-1,1.841409057E-1,-1.135222316E0,-9.335311651E-1
2.191590000E-1,2.784599364E-1,-9.030504823E-1,-9.649943113E-1
2.291210000E-1,3.624138236E-1,-7.101016045E-1,-9.887733459E-1
2.390820000E-1,4.223908782E-1,-5.404265523E-1,-9.875267148E-1
2.490440000E-1,4.691958725E-1,-3.861642480E-1,-9.623272419E-1
2.590060000E-1,5.256836414E-1,-2.032695264E-1,-9.637259245E-1
2.689680000E-1,5.895981193E-1,1.304322667E-2,-9.903638959E-1
2.789290000E-1,6.380189061E-1,2.729246020E-1,-1.012850046E0
2.888910000E-1,6.658396125E-1,5.601208210E-1,-1.078833699E0
2.988530000E-1,6.894706488E-1,8.067236543E-1,-1.162091732E0
3.088150000E-1,7.048932910E-1,9.867661595E-1,-1.276981711E0
3.187770000E-1,6.879720688E-1,1.112025499E0,-1.413165927E0
3.287380000E-1,6.508933902E-1,1.341595531E0,-1.534694791E0
3.387000000E-1,6.486473083E-1,1.528654575E0,-1.668197393E0
3.486620000E-1,6.459364891E-1,1.725334406E0,-1.845220447E0
3.586240000E-1,5.967263579E-1,1.889662385E0,-2.043045998E0
3.685850000E-1,5.526616573E-1,1.914995551E0,-2.260920525E0
3.785470000E-1,4.763733149E-1,1.791086555E0,-2.491015196E0
3.885090000E-1,3.628762364E-1,1.579804659E0,-2.677649975E0
3.984710000E-1,2.478039861E-1,1.209966898E0,-2.887128115E0
4.084320000E-1,1.430909932E-1,8.709157109E-1,-3.083093166E0
4.183940000E-1,1.537340581E-1,7.949362397E-1,-3.286653996E0
4.283560000E-1,9.857755899E-2,6.763703227E-1,-3.246377468E0
4.383180000E-1,-1.117546409E-1,4.205383062E-1,-3.053132057E0
4.482800000E-1,-2.125622034E-1,3.098661304E-1,-2.897146463E0
4.582410000E-1,-1.871913224E-1,4.536315501E-1,-2.837457895E0
4.682030000E-1,-1.133429259E-1,6.204407811E-1,-2.811586142E0
4.781650000E-1,-5.435631424E-2,4.682030380E-1,-2.806970358E0
4.881270000E-1,-1.183383837E-1,1.274688840E-1,-2.780870914E0
4.980880000E-1,-2.640282214E-1,-1.141043305E-1,-2.733115435E0
5.080500000E-1,-3.419395983E-1,-1.640495956E-1,-2.684403181E0
5.180120000E-1,-2.646123171E-1,-9.316237271E-2,-2.648543358E0
5.279740000E-1,1.080745533E-1,-2.525330707E-2,-2.620029211E0
5.379360000E-1,4.749945104E-1,-2.064742297E-1,-2.664941549E0
5.478970000E-1,8.337665796E-1,-1.684589684E-1,-2.707348824E0
5.578590000E-1,8.228385448E-1,-3.184905350E-1,-2.695271969E0
5.678210000E-1,4.602601230E-1,-7.468064427E-1,-2.659393787E0
