"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.621100000E-1,-2.533723116E0,-6.532980800E-1,-8.789317608E-1
1.721190000E-1,-2.212840080E0,1.630305499E-1,-1.434175372E0
1.821290000E-1,-1.946353555E0,2.040087283E-1,-1.511088133E0
1.921080000E-1,-1.867399335E0,5.925393105E-2,-1.249462128E0
2.021180000E-1,-1.869180918E0,-1.170186773E-1,-8.738171458E-1
2.121280000E-1,-1.923955917E0,-5.375104547E-1,-5.402461290E-1
2.221070000E-1,-1.918715835E0,-7.414093018E-1,-1.553467363E-1
2.321170000E-1,-1.819231272E0,-9.040554762E-1,-1.670324206E-1
2.421270000E-1,-1.688157439E0,-1.144733191E0,-6.150572300E-1
2.521060000E-1,-1.663649201E0,-1.413252831E0,-9.930061102E-1
2.621160000E-1,-1.651064754E0,-1.737114310E0,-1.125042439E0
2.721250000E-1,-1.603585839E0,-1.816016674E0,-9.226152897E-1
2.821050000E-1,-1.378163099E0,-1.807610273E0,-3.574356437E-1
2.921140000E-1,-5.818369389E-1,-1.330831409E0,2.274855971E-1
3.021240000E-1,1.517700851E-1,-5.165564418E-1,8.396581411E-1
3.121030000E-1,6.839095950E-1,-3.707529008E-1,1.718688726E0
3.221130000E-1,7.626056671E-1,-9.224408865E-1,2.130425692E0
3.321230000E-1,4.147262871E-1,-8.121511340E-1,1.614250779E0
3.421020000E-1,-5.411022902E-2,-5.105662346E-1,7.132027745E-1
3.521120000E-1,-3.772861362E-1,-4.859647751E-1,1.853903383E-1
3.621220000E-1,-7.594540715E-1,-3.424601853E-1,2.223928273E-1
3.721010000E-1,-1.208390117E0,-3.376030922E-1,-6.518905517E-3
3.821110000E-1,-1.649585485E0,-1.291652583E-2,-7.863662243E-1
3.921210000E-1,-2.033006430E0,3.488664329E-1,-1.604397178E0
4.021000000E-1,-2.339078426E0,6.397761703E-1,-1.883744001E0
4.121100000E-1,-2.406622410E0,9.649028778E-1,-1.587414145E0
4.221190000E-1,-2.196039677E0,1.127778530E0,-1.012370944E0
4.321290000E-1,-1.776238680E0,8.877177238E-1,-6.228780150E-1
4.421080000E-1,-1.017425418E0,3.364925981E-1,-6.146898270E-1
4.521180000E-1,-3.593788296E-2,-6.324511170E-1,-8.514041305E-1
4.621280000E-1,9.576045871E-1,-2.150588036E0,-1.202383637E0
4.721070000E-1,1.832377434E0,-3.765981674E0,-1.588212490E0
4.821170000E-1,2.511625051E0,-5.240319252E0,-1.732383132E0
4.921270000E-1,2.991726875E0,-6.372918129E0,-1.607323170E0
5.021060000E-1,3.275980234E0,-7.088867188E0,-1.241548657E0
5.121160000E-1,3.385437250E0,-7.344172955E0,-7.300361395E-1
5.221250000E-1,3.275976419E0,-7.331007004E0,-1.234542727E-1
5.321050000E-1,2.841525078E0,-7.316089153E0,6.406673193E-1
5.421140000E-1,2.100077391E0,-7.127701759E0,1.345550776E0
5.521240000E-1,9.877020717E-1,-6.816647530E0,1.825424433E0
5.621030000E-1,-3.208837211E-1,-6.090214729E0,2.332741976E0
5.721130000E-1,-1.523666620E0,-5.302686214E0,2.978139162E0
5.821230000E-1,-2.352241278E0,-4.930335522E0,3.655091763E0
5.921020000E-1,-2.733205795E0,-5.086280346E0,4.175440788E0
6.021120000E-1,-2.780655622E0,-5.503439903E0,4.633963108E0
6.120862500E-1,-2.793301582E0,-5.705797195E0,5.053754330E0
6.220652500E-1,-3.060156584E0,-5.619328976E0,5.374687672E0
6.320752500E-1,-3.671688795E0,-5.218988895E0,5.743210316E0
6.420852500E-1,-4.570981979E0,-4.349030018E0,6.108240604E0
6.520942500E-1,-5.517953396E0,-3.444994450E0,6.481537342E0
6.620742500E-1,-6.362636566E0,-2.527307987E0,6.893939972E0
6.720832500E-1,-6.622847557E0,-1.553444743E0,7.093124866E0
6.820932500E-1,-6.534341812E0,-1.018346623E-1,7.481535912E0
6.920722500E-1,-6.587963581E0,1.030521631E0,7.602739811E0
7.020822500E-1,-6.640653610E0,1.300596476E0,7.487636566E0
7.120922500E-1,-6.283919334E0,4.668679833E-1,6.938655853E0
7.220712500E-1,-5.002100945E0,-4.677186310E-1,5.970793247E0
7.320812500E-1,-2.763451099E0,-1.401331663E0,4.916947842E0
7.420912500E-1,-8.066493869E-1,-1.769386053E0,4.321481705E0
7.520702500E-1,-1.072183400E-1,-4.511239529E-1,4.370790482E0
7.620802500E-1,-8.763933778E-1,2.801031113E0,4.989559174E0
7.720892500E-1,-2.507067204E0,6.388769150E0,5.902336121E0
7.820692500E-1,-4.148599625E0,8.467259407E0,6.222389221E0
7.920782500E-1,-4.744313240E0,8.286916733E0,5.869630814E0
8.020882500E-1,-4.214809418E0,7.816640854E0,5.228549957E0
