"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.179547119E0,5.131928101E0,7.868836670E0
9.961000000E-3,-1.284927979E0,5.164560242E0,7.871082001E0
1.992200000E-2,-1.275796967E0,5.138215027E0,8.015082550E0
2.988300000E-2,-1.327289886E0,5.043911133E0,8.193511505E0
3.984400000E-2,-1.412612457E0,5.014422455E0,8.579858093E0
4.980500000E-2,-1.441652069E0,5.110971680E0,8.767418060E0
5.976600000E-2,-1.557211761E0,4.760999451E0,9.004075928E0
6.972700000E-2,-1.475781097E0,4.845872955E0,9.128167877E0
7.968800000E-2,-1.562899933E0,5.411546631E0,8.684939575E0
8.964900000E-2,-1.564995575E0,5.341641998E0,8.359815674E0
9.961000000E-2,-1.548829193E0,5.226381683E0,8.013585663E0
1.095710000E-1,-1.382974091E0,5.281018066E0,7.766150208E0
1.195320000E-1,-1.192869415E0,5.215155029E0,7.763156433E0
1.294930000E-1,-1.086740112E0,5.121300201E0,7.758665771E0
1.394540000E-1,-1.009351044E0,5.026098175E0,7.793992310E0
1.494150000E-1,-8.241860962E-1,4.824018402E0,7.690707092E0
1.593760000E-1,-6.388714600E-1,4.767436066E0,7.411238251E0
1.693360000E-1,-2.767744446E-1,4.825664978E0,6.998995514E0
1.792970000E-1,-1.742376709E-1,4.730612640E0,6.696773987E0
1.892580000E-1,-2.983296204E-1,4.681065674E0,6.528523865E0
1.992190000E-1,-5.758525085E-1,4.666396179E0,6.634503479E0
2.091800000E-1,-8.993298340E-1,4.616849213E0,6.820865936E0
2.191410000E-1,-1.031205597E0,4.626878357E0,7.028484192E0
2.291020000E-1,-1.140927429E0,4.575385437E0,7.318730621E0
2.390630000E-1,-1.124761047E0,4.406686249E0,7.545958099E0
2.490240000E-1,-1.052311707E0,4.311783600E0,7.713609467E0
2.589850000E-1,-8.843609619E-1,4.132456512E0,7.845934296E0
2.689460000E-1,-7.114704895E-1,3.967948608E0,8.062683563E0
2.789070000E-1,-8.228388977E-1,4.209246826E0,8.512797546E0
2.888680000E-1,-1.391656036E0,6.926097107E0,9.318422241E0
2.988290000E-1,-2.694995728E0,4.908592529E0,7.838599548E0
3.087900000E-1,-2.147883453E0,2.700683899E0,7.896529083E0
3.187510000E-1,-1.301543427E0,3.762875061E0,7.830666046E0
3.287120000E-1,-5.484594727E-1,4.436773682E0,7.503296814E0
3.386720000E-1,-6.545887756E-1,3.305426331E0,7.314838715E0
3.486330000E-1,-6.866221619E-1,2.689756622E0,7.188950500E0
3.585940000E-1,-4.640350342E-1,3.072510681E0,7.190447388E0
3.685550000E-1,-6.014492798E-1,3.076552277E0,7.159910889E0
3.785160000E-1,-9.481283569E-1,2.834056549E0,7.196584625E0
3.884770000E-1,-1.293609924E0,2.584076385E0,7.297325134E0
3.984380000E-1,-1.510508881E0,2.430495758E0,7.340435486E0
4.083990000E-1,-1.743574219E0,2.566113739E0,7.455995178E0
4.183600000E-1,-2.162852325E0,2.649340668E0,7.647896118E0
4.283210000E-1,-2.533481598E0,2.615061951E0,8.006849670E0
4.382820000E-1,-2.775528259E0,2.413730621E0,8.312514038E0
4.482430000E-1,-2.949915619E0,2.123035126E0,8.552764435E0
4.582040000E-1,-3.002606049E0,1.963616638E0,8.718170471E0
4.681650000E-1,-3.646716614E0,1.789528656E0,8.979227600E0
4.781260000E-1,-3.996239777E0,1.211580505E0,9.350006561E0
4.880870000E-1,-3.262166290E0,7.924520874E-1,1.107052872E1
4.980480000E-1,-4.255949707E0,3.823049927E-1,1.103145996E1
5.080080000E-1,-4.470004578E0,6.803352356E-1,1.078671890E1
5.179690000E-1,-4.181404724E0,7.167095947E-1,1.118384308E1
5.279300000E-1,-4.395459595E0,4.131408691E-1,1.095721436E1
5.378910000E-1,-4.546046448E0,4.046086121E-1,1.052581146E1
5.478520000E-1,-4.848567352E0,4.572990417E-1,1.005668701E1
5.578130000E-1,-5.245691528E0,2.995271301E-1,9.324858856E0
5.677740000E-1,-5.506299591E0,1.972897339E-1,8.619226227E0
5.777350000E-1,-5.565726013E0,-3.823049927E-1,8.123307495E0
5.876960000E-1,-5.543721771E0,-1.691931610E0,8.215366058E0
5.976570000E-1,-4.922513580E0,-9.657916260E-1,8.456065521E0
6.076180000E-1,-4.540957031E0,6.905140686E-1,8.084238739E0
6.175790000E-1,-5.379513245E0,1.061143341E0,7.731871490E0
6.275400000E-1,-6.824907532E0,4.141886902E-1,8.045319672E0
6.375010000E-1,-6.527925110E0,-2.019300842E-1,6.789730682E0
6.474620000E-1,-6.554120636E0,-2.808160400E-1,7.849377136E0
6.574230000E-1,-5.881419525E0,-1.908531189E-1,7.784861298E0
6.673840000E-1,-5.657185822E0,2.576142883E-1,7.337741089E0
6.773450000E-1,-7.765401764E0,7.427554321E-1,8.875493317E0
6.873050000E-1,-9.391170959E0,9.695338440E-1,9.196276245E0
6.972660000E-1,-7.955207062E0,5.186714172E-1,7.449857941E0
7.072270000E-1,-6.738088074E0,1.679507446E-1,7.063211975E0
7.171880000E-1,-6.144572296E0,-2.243833923E-1,7.126979370E0
7.271490000E-1,-5.851332092E0,-6.215075684E-1,7.537725220E0
7.371100000E-1,-5.838758240E0,-9.692344666E-1,8.488997040E0
7.470741250E-1,-5.993087311E0,-8.217910767E-1,9.007219391E0
7.570351250E-1,-5.914051666E0,-7.837701416E-1,9.036857758E0
7.669961250E-1,-5.677693176E0,-1.079255676E0,8.671168213E0
7.769571250E-1,-5.696104889E0,-1.566492462E0,8.513246613E0
7.869181250E-1,-6.331982574E0,-1.672921143E0,7.653434601E0
7.968791250E-1,-6.455775146E0,-1.343905334E0,6.732100525E0
8.068401250E-1,-6.218668213E0,-1.182840271E0,6.646628265E0
8.168011250E-1,-6.544241180E0,-1.118773499E0,7.055727539E0
8.267621250E-1,-6.194418640E0,-1.109642487E0,7.476352844E0
8.367231250E-1,-5.195994873E0,-8.891510010E-2,8.308173065E0
8.466841250E-1,-6.501579895E0,-1.113684082E-1,7.712411957E0
8.566441250E-1,-6.955735474E0,-6.192622375E-1,7.198680267E0
8.666051250E-1,-6.170019379E0,-1.413061523E0,7.470514984E0
8.765661250E-1,-5.970035248E0,-2.054028625E0,7.610623627E0
8.865271250E-1,-5.666167145E0,-2.133812714E0,7.337890778E0
8.964881250E-1,-5.760171661E0,-1.525028687E0,7.525600433E0
9.064491250E-1,-5.627248077E0,-1.230441284E0,7.704777832E0
9.164101250E-1,-5.647905121E0,-1.410816193E0,7.797884216E0
9.263711250E-1,-5.574557648E0,-1.700164490E0,7.755073242E0
9.363321250E-1,-5.629942474E0,-2.095193024E0,7.275919647E0
9.462931250E-1,-5.811963959E0,-2.430196381E0,7.426805878E0
9.562541250E-1,-5.788313141E0,-2.001637573E0,7.600744171E0
9.662151250E-1,-5.769003296E0,-1.334474945E0,7.910150757E0
9.761761250E-1,-6.622528381E0,1.758692780E0,7.745343475E0
9.861371250E-1,-6.452032928E0,1.239123230E0,7.034471741E0
9.960981250E-1,-6.814429321E0,2.306852875E0,7.875273285E0
1.006059125E0,-1.204081100E1,1.916764069E0,1.686153625E1
1.016020125E0,-4.805906067E0,-8.412506104E-1,1.145388153E1
1.025980125E0,-5.690267029E0,-2.279609528E0,8.423583069E0
1.035941125E0,-5.190755768E0,-1.168021088E0,9.794731750E0
1.045902125E0,-4.477339325E0,3.384461975E-1,8.573571167E0
1.055863125E0,-5.218448181E0,1.182540894E-1,7.406148834E0
1.065824125E0,-5.195545807E0,3.600013733E-1,7.418872375E0
1.075785125E0,-5.230123901E0,2.766247559E-1,7.250023499E0
1.085746125E0,-5.362598419E0,3.867956543E-1,7.242838440E0
1.095707125E0,-5.586383057E0,9.234297180E-1,6.824757843E0
1.105668125E0,-5.817801819E0,1.508712616E0,6.149661713E0
1.115629125E0,-5.996380463E0,1.858535156E0,5.546116791E0
1.125590125E0,-6.228098602E0,2.159858551E0,5.351970520E0
1.135551125E0,-6.572382660E0,2.149979095E0,8.054899750E0
1.145512125E0,-6.487958221E0,2.108365631E0,6.188580780E0
1.155473125E0,-5.766608276E0,2.033072205E0,4.600533142E0
1.165434125E0,-5.991440735E0,2.508782959E0,5.244044952E0
1.175395125E0,-6.006259918E0,3.672762451E0,5.281317444E0
1.185355125E0,-5.827232208E0,4.460424500E0,5.204377441E0
1.195316125E0,-5.576353912E0,4.958738251E0,5.363945618E0
1.205277125E0,-5.050347748E0,5.310506744E0,4.972060547E0
1.215238125E0,-4.383185120E0,5.477559357E0,4.415817261E0
1.225199125E0,-3.764072571E0,5.531596985E0,3.818559265E0
1.235160125E0,-3.254382477E0,5.459596710E0,3.430416412E0
1.245121125E0,-3.005450134E0,5.274431763E0,3.484154663E0
1.255082125E0,-2.998265076E0,5.342989197E0,4.044439545E0
1.265043125E0,-3.160976715E0,5.651347961E0,5.064717865E0
1.275004125E0,-3.286116486E0,5.879922638E0,6.066584473E0
1.284965125E0,-3.290756836E0,6.050118713E0,7.053182831E0
1.294926125E0,-3.116968231E0,6.453829193E0,7.581434326E0
1.304887125E0,-2.727478180E0,6.857839050E0,7.751331024E0
1.314848125E0,-2.136806488E0,6.981032867E0,7.687713318E0
1.324809125E0,-1.632505188E0,7.021448822E0,7.429649963E0
1.334770125E0,-1.608405304E0,7.226672058E0,7.404651947E0
1.344731125E0,-2.067799988E0,7.522157593E0,8.027357025E0
1.354691125E0,-2.477498016E0,7.781268768E0,9.144483948E0
1.364652125E0,-2.897225189E0,8.184979248E0,1.035232224E1
1.374613125E0,-3.329077148E0,8.899742889E0,1.136257141E1
1.384574125E0,-3.664679260E0,9.535171509E0,1.198467773E1
1.394535125E0,-3.958667908E0,1.005758514E1,1.205607925E1
1.404496125E0,-4.118385773E0,1.035471725E1,1.202449493E1
1.414457125E0,-4.234993286E0,1.044917084E1,1.169862259E1
1.424418125E0,-4.363276520E0,1.065708847E1,1.126003464E1
1.434379125E0,-4.556824036E0,1.093206665E1,1.095062805E1
1.444340125E0,-4.895270233E0,1.102292770E1,1.060364960E1
1.454301125E0,-5.395529938E0,1.114911530E1,1.049048492E1
1.464262125E0,-5.963898010E0,1.142394379E1,1.056712555E1
1.474223125E0,-6.266119537E0,1.155731644E1,1.069810318E1
1.484184125E0,-6.394253082E0,1.121782242E1,1.068373306E1
1.494145125E0,-6.515950012E0,1.091649902E1,1.038181091E1
1.504106125E0,-6.594386902E0,1.070409073E1,1.005414230E1
1.514066125E0,-6.699468384E0,1.041549088E1,9.765093384E0
1.524027125E0,-6.749015350E0,1.002180954E1,9.448651428E0
1.533988125E0,-6.806944885E0,9.628277893E0,9.054221649E0
1.543949125E0,-6.913373566E0,9.394464111E0,8.763825531E0
1.553910125E0,-6.910978546E0,9.335636444E0,8.461304626E0
1.563871125E0,-6.897207184E0,9.173074493E0,8.060587921E0
1.573832125E0,-7.039112091E0,8.972641296E0,7.621401215E0
1.583793125E0,-7.194938049E0,8.964857483E0,7.198081512E0
1.593754125E0,-7.268435211E0,9.224866791E0,6.911277924E0
1.603715125E0,-7.107669525E0,9.353000336E0,6.517895966E0
1.613676125E0,-6.847809906E0,9.049581299E0,5.792354736E0
1.623637125E0,-6.450536041E0,8.522078247E0,4.892426147E0
1.633598125E0,-6.018534393E0,7.921377411E0,3.931424561E0
1.643559125E0,-5.593119049E0,7.336543579E0,3.113824768E0
1.653520125E0,-5.309159546E0,6.897656250E0,2.475402374E0
1.663481125E0,-5.100643158E0,6.580765228E0,2.176324310E0
1.673442125E0,-4.922962646E0,6.526877289E0,2.248773651E0
1.683402125E0,-4.889432373E0,6.854695587E0,2.434387665E0
1.693363125E0,-4.677173767E0,7.256460114E0,2.645598450E0
1.703324125E0,-4.432732086E0,7.579638062E0,2.673141174E0
1.713285125E0,-4.253854065E0,7.931556244E0,2.361189880E0
1.723246125E0,-4.066743164E0,8.115972748E0,2.053130493E0
1.733207125E0,-3.752396851E0,8.001760254E0,1.821262665E0
1.743164375E0,-3.420686646E0,7.763904877E0,1.854792938E0
1.753125375E0,-3.051404572E0,7.567064209E0,1.956431580E0
1.763086375E0,-2.684816895E0,7.510631561E0,2.105970612E0
1.773047375E0,-2.330653381E0,7.653733978E0,2.341131592E0
1.783008375E0,-2.045646057E0,8.100105743E0,2.599194946E0
1.792969375E0,-1.849104767E0,8.713679810E0,2.676584015E0
1.802930375E0,-1.585353241E0,9.166338501E0,2.841690674E0
1.812891375E0,-1.174308014E0,9.684261475E0,3.114273834E0
1.822852375E0,-8.515791321E-1,9.916578369E0,3.299139404E0
1.832813375E0,-5.417234802E-1,1.009665390E1,3.353775787E0
1.842773375E0,-3.071612549E-1,1.029544052E1,3.326233063E0
1.852734375E0,-1.880090332E-1,1.072175400E1,3.307971039E0
1.862695375E0,4.924758911E-2,1.122485779E1,3.618874512E0
1.872656375E0,2.582130432E-1,1.162302979E1,3.872896271E0
1.882617375E0,4.749623108E-1,1.172975784E1,3.906276855E0
1.892578375E0,6.110293579E-1,1.183633621E1,3.848347321E0
1.902539375E0,7.397616577E-1,1.206506058E1,3.880829773E0
1.912500375E0,8.665480042E-1,1.228570175E1,3.808230743E0
1.922461375E0,1.006357269E0,1.225426712E1,3.794309692E0
1.932422375E0,1.224753113E0,1.204081100E1,3.822451172E0
1.942383375E0,1.255289612E0,1.173978699E1,3.794160004E0
1.952344375E0,9.391470337E-1,1.131137787E1,3.806135101E0
1.962305375E0,5.809419250E-1,1.080198715E1,3.994593201E0
1.972266375E0,1.139131165E-1,1.056952057E1,4.117337952E0
1.982227375E0,-7.765850830E-1,1.108699448E1,1.701062622E0
1.992188375E0,-3.155288544E0,7.749684448E0,-1.277742920E0
2.002149375E0,-3.893553314E0,3.910318451E0,-3.553460541E0
2.012109375E0,-1.671424255E0,4.345313873E0,-1.368154907E0
2.022070375E0,-8.220904541E-1,8.874894562E0,5.614823914E-1
2.032031375E0,-2.584226074E0,1.042701691E1,1.067879333E0
2.041992375E0,-3.729195099E0,8.238567810E0,6.813830566E-1
2.051953375E0,-2.341131592E0,9.059011688E0,1.936672668E0
2.061914375E0,-6.691085815E-1,1.210323120E1,2.794089661E0
2.071875375E0,-2.257305908E-1,1.272054749E1,4.399950256E0
2.081836375E0,-1.619781647E0,1.135194351E1,6.565496979E0
2.091797375E0,-2.748883667E0,1.004141876E1,1.058089691E1
2.101758375E0,1.050665131E0,9.314530334E0,4.404740295E0
2.111719375E0,-2.270777893E-1,8.583450623E0,4.129313049E0
2.121680375E0,9.280700684E-2,7.732919312E0,3.616778870E0
2.131641375E0,4.834945679E-1,8.217611389E0,4.056863708E0
2.141602375E0,5.813909912E-1,9.025631104E0,4.831203461E0
2.151563375E0,7.966433716E-1,9.933942261E0,5.576952667E0
2.161524375E0,1.228495331E0,1.057460999E1,6.005062408E0
2.171484375E0,1.683099976E0,1.032492920E1,5.709277496E0
2.181445375E0,2.036065979E0,9.710906067E0,4.849914551E0
2.191406375E0,2.299368439E0,8.635691986E0,3.523223419E0
2.201367375E0,2.600242767E0,7.574099579E0,2.207309875E0
2.211328375E0,2.935545502E0,7.770191803E0,2.066153412E0
2.221289375E0,3.425626373E0,8.298592987E0,2.292333069E0
2.231250375E0,3.579207001E0,8.664132843E0,2.753224640E0
2.241211375E0,3.551514587E0,8.781788177E0,3.583547974E0
2.251172375E0,3.284170532E0,8.580007782E0,4.582720184E0
2.261133375E0,2.972668304E0,8.703351288E0,5.339696045E0
2.271094375E0,3.174598389E0,9.128616943E0,6.028114471E0
2.281055375E0,3.325185242E0,8.878786469E0,6.607409821E0
2.291016375E0,2.812950439E0,7.326664124E0,6.867568817E0
2.300977375E0,2.047292633E0,6.030359802E0,6.142925720E0
2.310938375E0,1.751956787E0,4.497247925E0,5.152435455E0
2.320899375E0,1.910177765E0,4.322710876E0,4.625231781E0
2.330860375E0,2.009571075E0,4.985831909E0,4.373155975E0
2.340821375E0,1.755848694E0,5.508095856E0,4.631967773E0
