,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
798,8.003047,0.6297425628,0.3182320595,-0.7627604008
799,8.013054,0.7876790762,0.397349745,-0.6367533803000001
800,8.023061,0.8244626522,0.2516974509,-0.5137928724
801,8.033068,0.7733154297,-0.01210862584,-0.4042495787
802,8.043075,0.6501634121000001,-0.3114037216,-0.27235305309999996
803,8.053082,0.5333707333,-0.5423695445000001,-0.1440998763
804,8.063089,0.45434781909999994,-0.667968452,-0.05493164807999999
805,8.073096,0.392238766,-0.7056722045,0.01320179738
806,8.083102,0.3398210704,-0.6593022943,0.05411221087
807,8.093109,0.2885430157,-0.5503779054,0.07745241374
808,8.103116,0.23811285199999999,-0.42482370140000003,0.08040159941000001
809,8.113123,0.1806253195,-0.3083293736,0.08631063252999999
810,8.12313,0.1014000028,-0.19705715780000002,0.0916018039
811,8.133137,0.0183275342,-0.08935103565,0.10637077689999999
812,8.143144,-0.052501097319999995,-0.01840575226,0.12023092810000001
813,8.153151,-0.1185737699,0.016993865369999996,0.134525761
814,8.163158,-0.1856920868,0.0295533333,0.1549684405
815,8.173165,-0.23930291829999997,0.015084926969999999,0.18119108679999998
816,8.183172,-0.27419459820000003,0.006017662119,0.20732416210000001
817,8.193179,-0.2786224186,-0.0068061645140000005,0.2432609648
818,8.203186,-0.2470199913,-0.04470454529,0.2946512103
819,8.213193,-0.2020872682,-0.1049841046,0.3413752317
820,8.2232,-0.159869507,-0.1735943109,0.38283690810000004
821,8.233207,-0.1218983084,-0.2686263323,0.4174652696
822,8.243214,-0.07401706278,-0.4089046121,0.4350754321
823,8.253221,-0.01749243215,-0.5479263067,0.4246077836
824,8.263228,0.04575125128,-0.6440182328,0.3828861713
825,8.273235,0.09265402704,-0.6854996681000001,0.3236218691
826,8.283242,0.1300349534,-0.7198453546,0.25403055550000003
827,8.293249,0.1504773647,-0.7528521418999999,0.1894018948
828,8.303256,0.12429262699999999,-0.7766664028,0.1205466688
829,8.313263,0.06631343067,-0.8056367040000001,0.04288221523
830,8.32327,0.040777709339999996,-0.8654925823,0.008323974906999999
831,8.333277,0.07210605592,-1.005518675,0.0041450583380000005
832,8.343284,0.17781224850000002,-1.149868369,0.04382668808
833,8.353291,0.35339704159999996,-1.018244743,0.16039441529999998
834,8.363298,0.49891161920000004,-0.6195833087,0.2630329132
835,8.373305,0.43268921969999996,-0.1949792802,0.2525721788
836,8.383312,0.06989262998,0.4975137115,0.262431711
837,8.393318,-0.4237641096,0.981343925,0.2514571548
838,8.403325,-0.7364887595,0.603433907,0.11499250679999999
839,8.413332,-0.8391500711,-0.2314890325,-0.238029018
840,8.423339,-0.8836144805,-0.7549554706,-0.48202836509999997
841,8.433346,-0.9125666022,-0.852597177,-0.3477453589
842,8.443353,-0.8829370737000001,-0.7778525948999999,-0.2099680454
843,8.45336,-0.7716236115,-0.6423879266,-0.07486066967
844,8.463367,-0.617608726,-0.36482584479999997,0.026941321789999997
845,8.473374,-0.4669783711,-0.02607237734,0.09700500220000001
846,8.483381,-0.3752047718,0.2361885309,0.15737247470000001
847,8.493388,-0.3868928254,0.38032042979999997,0.2173322439
848,8.503395,-0.5120273232,0.43069759009999997,0.2996068895
849,8.513402,-0.7000100017,0.42980974909999997,0.38759768009999995
850,8.523409,-0.885797143,0.40026462079999997,0.47166249159999996
851,8.533416,-1.040561557,0.3574411273,0.5549653769
852,8.543423,-1.174632549,0.2393680066,0.61956352
853,8.55343,-1.267509818,0.04814979061000001,0.6744788884999999
854,8.563437,-1.261870384,-0.1501600891,0.6792587042
855,8.573444,-1.139080048,-0.07004986703,0.6505841613000001
856,8.583451,-0.9088085294,0.2894635797,0.6052984595
857,8.593458,-0.6813076735,0.5654352903000001,0.5460583568
858,8.603465,-0.4929774106,0.6925881505,0.5129176974
859,8.613472,-0.339276731,0.7400841117,0.49985891579999997
860,8.623479,-0.2475119382,0.7376369237999999,0.5031785369
861,8.633486,-0.2011588663,0.679772079,0.499501884
862,8.643493,-0.1394049525,0.6211942434000001,0.4645316303
863,8.6535,-0.032644812020000004,0.6337388158,0.4082364738
864,8.663507,0.059954896570000006,0.6822757720999999,0.3419067264
865,8.673514,0.235567525,0.924636662,0.3075120449
866,8.683521,0.4254218638,1.0771828890000001,0.2644564509
867,8.693528,0.5795691013000001,1.108272433,0.2053309381
868,8.703535,0.7665538787999999,1.112507582,0.1648953706
869,8.713541,0.8262414336,1.07741034,0.1604914367
870,8.723548,0.5902457237,1.2641503809999999,0.22112867239999998
871,8.733555,0.1010374278,1.3776372669999999,0.4105268717
872,8.743562,-0.2752019763,0.9463161826,0.5969835520000001
873,8.753569,-0.4236179888,0.5459336042,0.7007957697
874,8.763576,-0.35362133380000005,0.4306187332,0.728009522
875,8.773583,-0.2556286752,0.4651733339,0.7261973619
876,8.78359,-0.21768954399999998,0.5872260332,0.7187117934
877,8.793597,-0.280381918,0.7054457068000001,0.7010627985
878,8.803604,-0.3733560741,0.8428424596999999,0.6844829917
879,8.813611958,-0.4671323895,0.8845198154,0.6866323352
