"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.276986250E-1,2.435435486E-1,5.319488068E0,6.515950012E0
9.376476250E-1,3.770658875E-1,5.422623596E0,6.218967590E0
9.476266250E-1,7.893086243E-1,5.299729156E0,6.145021362E0
9.576056250E-1,1.130299530E0,5.302722931E0,6.044280853E0
9.675856250E-1,1.448687439E0,5.525010681E0,6.130800934E0
9.775336250E-1,1.541644135E0,5.745202789E0,6.087840271E0
9.875136250E-1,1.587748260E0,5.791755981E0,5.812263336E0
9.974926250E-1,1.740730133E0,5.799689484E0,5.657036133E0
1.007471625E0,1.539249115E0,5.858517151E0,5.904770966E0
1.017420625E0,1.502276001E0,5.690865784E0,6.034401398E0
1.027399625E0,1.606010284E0,5.579796753E0,6.005960541E0
1.037378625E0,1.602118378E0,5.652994537E0,6.057603149E0
1.047327625E0,1.490450592E0,5.510041809E0,6.138285370E0
1.057306625E0,1.259181519E0,5.331163788E0,5.880521393E0
1.067286625E0,1.120569763E0,5.238955536E0,5.336253204E0
1.077265625E0,1.315314789E0,5.092110901E0,4.977898407E0
1.087214625E0,1.952988739E0,4.957091675E0,5.311255188E0
1.097193625E0,2.409239960E0,5.005740509E0,6.302493896E0
1.107172625E0,2.370769958E0,5.226830750E0,7.706125031E0
1.117151625E0,2.197879486E0,5.395829315E0,8.565487976E0
1.127100625E0,1.841171265E0,5.662724304E0,9.053024139E0
1.137079625E0,1.641037445E0,5.817652130E0,9.207802277E0
1.147058625E0,1.478625183E0,5.660478973E0,8.765771484E0
1.157038625E0,1.848805389E0,5.153183899E0,7.824229431E0
1.166986625E0,2.111808472E0,5.026098175E0,7.103029175E0
1.176966625E0,2.106269989E0,5.371879120E0,6.926845551E0
1.186945625E0,2.218835907E0,5.267396393E0,7.033423920E0
1.196924625E0,2.736459503E0,4.702770538E0,7.202721863E0
1.206873625E0,2.851570129E0,4.553231506E0,7.633376312E0
1.216852625E0,2.836002502E0,4.181255035E0,7.821834412E0
1.226831625E0,3.106190643E0,3.540287933E0,7.909552002E0
